name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
El Típico (Allentown),https://www.ubereats.com/allentown/food-delivery/el-tipico-allentown/ZapRarPESKOQwJEERSCIBA,macungie-pennsylvania,"['Latin American', 'Puerto Rican']",4.6,73,$,40.577338,-75.454546,+16107910822,18103,410 W Emmaus Ave,Allentown,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Allentown', 'addressRegion': 'PA', 'postalCode': '18103', 'addressCountry': 'US', 'streetAddress': '410 W Emmaus Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.577338, 'longitude': -75.454546}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '73'}"
Thai Halal on Main,https://www.ubereats.com/allentown/food-delivery/thai-halal-on-main/s87WxCw4RcO4MFSLmOKXxw,macungie-pennsylvania,"['Halal', 'Chicken', 'Middle Eastern']",4.5,50,$,40.6781483,-75.4879727,+16105155200,18067,961 Main St,Northampton,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Northampton', 'addressRegion': 'PA', 'postalCode': '18067', 'addressCountry': 'US', 'streetAddress': '961 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.6781483, 'longitude': -75.4879727}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '50'}"
Dunkin' (215 W. Hamilton St),https://www.ubereats.com/allentown/food-delivery/dunkin-215-w-hamilton-st/8ouFLe5PTvS-t4KoTliT9w,macungie-pennsylvania,"['Breakfast and Brunch', 'Donuts']",4.2,23,$,40.6058597,-75.4606676,+16104358355,18101,215 W. Hamilton St,Allentown,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Allentown', 'addressRegion': 'PA', 'postalCode': '18101', 'addressCountry': 'US', 'streetAddress': '215 W. Hamilton St'}","{'@type': 'GeoCoordinates', 'latitude': 40.6058597, 'longitude': -75.4606676}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '23'}"
Liu's House Asian and Sushi Cuisine,https://www.ubereats.com/allentown/food-delivery/lius-house-asian-and-sushi-cuisine/TILXub0bRwys9HgvwkezGA,macungie-pennsylvania,['Japanese'],,,$,40.59144269999999,-75.5485048,+16103667559,18104,4128 Tilghman St.,Allentown,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '15:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Allentown', 'addressRegion': 'PA', 'postalCode': '18104', 'addressCountry': 'US', 'streetAddress': '4128 Tilghman St.'}","{'@type': 'GeoCoordinates', 'latitude': 40.59144269999999, 'longitude': -75.5485048}",{}
Dunkin' (1427 W Tilghman St),https://www.ubereats.com/allentown/food-delivery/dunkin-1427-w-tilghman-st/hWm8RV_1RJGUAwunStSPyg,macungie-pennsylvania,"['Breakfast and Brunch', 'Donuts']",3.8,46,$,40.6078182,-75.49197889999999,+16104330773,18102,1427 W Tilghman St,Allentown,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '0:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '0:3', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Allentown', 'addressRegion': 'PA', 'postalCode': '18102', 'addressCountry': 'US', 'streetAddress': '1427 W Tilghman St'}","{'@type': 'GeoCoordinates', 'latitude': 40.6078182, 'longitude': -75.49197889999999}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '46'}"
Florence Italian Grille,https://www.ubereats.com/allentown/food-delivery/florence-italian-grille/ErEH3NKdQS2NQuwm13lLow,macungie-pennsylvania,"['Italian', 'Pasta']",4.1,18,,40.57601349999999,-75.6230365,+16108414000,18031,238 Sycamore Rd,Breinigsville,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '16:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Breinigsville', 'addressRegion': 'PA', 'postalCode': '18031', 'addressCountry': 'US', 'streetAddress': '238 Sycamore Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.57601349999999, 'longitude': -75.6230365}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '18'}"
Foundation Tavern,https://www.ubereats.com/allentown/food-delivery/foundation-tavern/MrPFgJGNR_G0sTbgNVd7lA,macungie-pennsylvania,"['American', 'Comfort Food', 'Salads', 'Vegetarian Friendly', 'Sandwich', 'Burgers']",,,$$$,40.55640386859599,-75.56785301132827,+16103910648,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '16:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '15:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '23:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.55640386859599, 'longitude': -75.56785301132827}",{}
Arooga's - Allentown,https://www.ubereats.com/allentown/food-delivery/aroogas-allentown/Kb3NXnakSXSp4zsQFhyNWw,macungie-pennsylvania,"['American', 'Burgers', 'Wings', 'Salads', 'Sandwich', 'Bar Food', 'Chicken']",4.0,47,$,40.5784161,-75.6215484,+18886229464,18106,327 Star Rd,Allentown,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Allentown', 'addressRegion': 'PA', 'postalCode': '18106', 'addressCountry': 'US', 'streetAddress': '327 Star Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.5784161, 'longitude': -75.6215484}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '47'}"
Chipotle Mexican Grill (1870 Airport Rd),https://www.ubereats.com/allentown/food-delivery/chipotle-mexican-grill-1870-airport-rd/dMjqa3w6RHaR6eOJyCW8Pg,macungie-pennsylvania,"['Healthy', 'Mexican']",4.3,200,$,40.6396211,-75.4349052,+14843531695,18109,1870 Airport Rd,Allentown,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Allentown', 'addressRegion': 'PA', 'postalCode': '18109', 'addressCountry': 'US', 'streetAddress': '1870 Airport Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.6396211, 'longitude': -75.4349052}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '200'}"
yaro poke bowl,https://www.ubereats.com/allentown/food-delivery/yaro-poke-bowl/7GnSVa9pR-CBsle0ux4F_g,macungie-pennsylvania,"['Rice-bowls', 'Ice Cream and Frozen Yogurt', 'Kids Friendly']",4.7,11,$,40.5921796,-75.59059490000001,+16103953825,18104,5831 Tilghman St 2,Allentown,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Allentown', 'addressRegion': 'PA', 'postalCode': '18104', 'addressCountry': 'US', 'streetAddress': '5831 Tilghman St 2'}","{'@type': 'GeoCoordinates', 'latitude': 40.5921796, 'longitude': -75.59059490000001}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '11'}"
