name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Clean Juice (121 Market Street),https://www.ubereats.com/philadelphia/food-delivery/clean-juice-121-market-street/qPFIPcGxSPyt9-qLUPqUJw,malvern-pennsylvania,"['Juice and Smoothies', 'Breakfast and Brunch', 'Vegetarian', 'Healthy']",4.0,23,$,40.1667813,-75.4786457,+14848546974,19426,121 Market St,Collegeville,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Collegeville', 'addressRegion': 'PA', 'postalCode': '19426', 'addressCountry': 'US', 'streetAddress': '121 Market St'}","{'@type': 'GeoCoordinates', 'latitude': 40.1667813, 'longitude': -75.4786457}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '23'}"
Outback Steakhouse (22 Anchor Parkway),https://www.ubereats.com/philadelphia/food-delivery/outback-steakhouse-22-anchor-parkway/SxEBAtgaQbqhBpWTfcpAyw,malvern-pennsylvania,"['Burgers', 'American', 'Sandwiches', 'Steak', 'Seafood', 'Salads', 'BBQ']",4.5,101,$,40.19375580000001,-75.52489489999999,+16107924300,19468,22 Anchor Parkway,Royersford,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Royersford', 'addressRegion': 'PA', 'postalCode': '19468', 'addressCountry': 'US', 'streetAddress': '22 Anchor Parkway'}","{'@type': 'GeoCoordinates', 'latitude': 40.19375580000001, 'longitude': -75.52489489999999}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '101'}"
Sunny & Fine's Breakfast Burritos,https://www.ubereats.com/philadelphia/food-delivery/sunny-%26-fines-breakfast-burritos/Gfp9D9d3TbaLZKB7paCGpA,malvern-pennsylvania,"['Mexican', 'Breakfast and Brunch']",,,$,39.9700733,-75.5677432,+16106929000,19382,1147,West Chester,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Chester', 'addressRegion': 'PA', 'postalCode': '19382', 'addressCountry': 'US', 'streetAddress': '1147'}","{'@type': 'GeoCoordinates', 'latitude': 39.9700733, 'longitude': -75.5677432}",{}
Playa Bowls (West Chester PA),https://www.ubereats.com/philadelphia/food-delivery/playa-bowls-west-chester-pa/U4rJwFj0To-Sz6FfNXFCCg,malvern-pennsylvania,"['Juice and Smoothies', 'Healthy']",5.0,15,$,39.9592488,-75.6042479,+14848878708,19382,22 S High Street,West Chester,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '16:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Chester', 'addressRegion': 'PA', 'postalCode': '19382', 'addressCountry': 'US', 'streetAddress': '22 S High Street'}","{'@type': 'GeoCoordinates', 'latitude': 39.9592488, 'longitude': -75.6042479}","{'@type': 'AggregateRating', 'ratingValue': 5, 'reviewCount': '15'}"
First Watch (Wayne),https://www.ubereats.com/philadelphia/food-delivery/first-watch-wayne/oDs6jIadRjWJTZSkS4A_sg,malvern-pennsylvania,"['American', 'Breakfast and Brunch', 'Juice and Smoothies', 'Healthy']",,,$$,40.0735353,-75.430049,+16106863800,19087,299 East Swedesford Rd,Wayne,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '14:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wayne', 'addressRegion': 'PA', 'postalCode': '19087', 'addressCountry': 'US', 'streetAddress': '299 East Swedesford Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.0735353, 'longitude': -75.430049}",{}
Tropical Smoothie Cafe (849 Paoli Pike),https://www.ubereats.com/philadelphia/food-delivery/tropical-smoothie-cafe-849-paoli-pike/uHa87HsoTUWLe82Hgxp8Pg,malvern-pennsylvania,"['Juice and Smoothies', 'Healthy', 'Sandwich', 'Chicken', 'Breakfast and Brunch', 'Salads', 'Sandwich']",4.4,16,$,39.96895689999999,-75.5874802,+16104417312,19380,849 Paoli Pike,West Chester,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Chester', 'addressRegion': 'PA', 'postalCode': '19380', 'addressCountry': 'US', 'streetAddress': '849 Paoli Pike'}","{'@type': 'GeoCoordinates', 'latitude': 39.96895689999999, 'longitude': -75.5874802}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '16'}"
Buena Vista Restaurant - Malvern,https://www.ubereats.com/philadelphia/food-delivery/buena-vista-restaurant-malvern/pXxgdhJcSqey_ZOnk3bjlQ,malvern-pennsylvania,"['Mexican', 'Salads', 'Chicken']",,,$,40.0415094,-75.5410485,+16106443982,19355,215 Lancaster Avenue,Malvern,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Malvern', 'addressRegion': 'PA', 'postalCode': '19355', 'addressCountry': 'US', 'streetAddress': '215 Lancaster Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 40.0415094, 'longitude': -75.5410485}",{}
Clean Juice (20 Liberty Blvd),https://www.ubereats.com/philadelphia/food-delivery/clean-juice-20-liberty-blvd/jy-59Ph5Tb2H3xcgIQ9ktA,malvern-pennsylvania,"['Healthy', 'Juice and Smoothies', 'Kids Friendly', 'Salads']",4.8,13,$$,40.0536347,-75.526719,+14843280362,19355,20 Liberty Blvd,Malvern,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Malvern', 'addressRegion': 'PA', 'postalCode': '19355', 'addressCountry': 'US', 'streetAddress': '20 Liberty Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 40.0536347, 'longitude': -75.526719}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '13'}"
Chipotle Mexican Grill (241 N Pottstown Pike),https://www.ubereats.com/philadelphia/food-delivery/chipotle-mexican-grill-241-n-pottstown-pike/vNDFPOQkS7SULehdGbiLbw,malvern-pennsylvania,"['Healthy', 'Mexican']",4.2,77,$,40.0326879,-75.63037849999999,+16109034735,19341,241 N Pottstown Pike,Exton,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '20:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Exton', 'addressRegion': 'PA', 'postalCode': '19341', 'addressCountry': 'US', 'streetAddress': '241 N Pottstown Pike'}","{'@type': 'GeoCoordinates', 'latitude': 40.0326879, 'longitude': -75.63037849999999}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '77'}"
"The Simple Greek - Wayne, PA",https://www.ubereats.com/philadelphia/food-delivery/the-simple-greek-wayne-pa/i_vBlHtfSreA2U9FP9058g,malvern-pennsylvania,"['Greek', 'Mediterranean', 'Sandwich', 'Rice-bowls']",4.7,36,$,40.0445087,-75.3797999,+14845808400,19087,313 E. Lancaster Ave.,Wayne,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wayne', 'addressRegion': 'PA', 'postalCode': '19087', 'addressCountry': 'US', 'streetAddress': '313 E. Lancaster Ave.'}","{'@type': 'GeoCoordinates', 'latitude': 40.0445087, 'longitude': -75.3797999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '36'}"
On the Border (102 Bartlett Avenue),https://www.ubereats.com/philadelphia/food-delivery/on-the-border-102-bartlett-avenue/ockLSqt8QxiHzXTyhDUE2A,malvern-pennsylvania,"['Mexican', 'Tex Mex', 'Salads', 'Family Meals']",4.2,59,$$,40.0222353,-75.6254914,+14848703181,19341,102 Bartlett Avenue,Exton,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Exton', 'addressRegion': 'PA', 'postalCode': '19341', 'addressCountry': 'US', 'streetAddress': '102 Bartlett Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 40.0222353, 'longitude': -75.6254914}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '59'}"
