name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
American Coffee Shop,https://www.ubereats.com/miami/food-delivery/american-coffee-shop/1-7JmPiFQ8mLIgmWCy86Wg,margate-florida,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",4.4,28,$,26.1817593,-80.1461947,+19547728850,33334,41 Northeast 44th Street,Oakland Park,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oakland Park', 'addressRegion': 'FL', 'postalCode': '33334', 'addressCountry': 'US', 'streetAddress': '41 Northeast 44th Street'}","{'@type': 'GeoCoordinates', 'latitude': 26.1817593, 'longitude': -80.1461947}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '28'}"
Burger King (9420 W Commercial Blvd),https://www.ubereats.com/miami/food-delivery/burger-king-9420-w-commercial-blvd/1Dp8sHcbSlK5O0zhBABGjw,margate-florida,"['American', 'burger', 'Fast Food']",4.1,47,$,26.1928886,-80.2773311,+17547558313,33351,9420 W Commercial Blvd,Sunrise,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sunrise', 'addressRegion': 'FL', 'postalCode': '33351', 'addressCountry': 'US', 'streetAddress': '9420 W Commercial Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 26.1928886, 'longitude': -80.2773311}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '47'}"
Hook Fish and Chicken (Deerfield Beach),https://www.ubereats.com/miami/food-delivery/hook-fish-and-chicken-deerfield-beach/sxEatnf9RW-1JFp2JA-SFQ,margate-florida,"['Seafood', 'Fast Food', 'Chicken', 'Family Meals']",4.4,428,$,26.3184407,-80.1055392,+19544261093,33441,244 W Hillsboro Blvd,Deerfield Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '2:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Deerfield Beach', 'addressRegion': 'FL', 'postalCode': '33441', 'addressCountry': 'US', 'streetAddress': '244 W Hillsboro Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 26.3184407, 'longitude': -80.1055392}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '428'}"
Huey Magoo's Chicken Tenders (Sunrise),https://www.ubereats.com/miami/food-delivery/huey-magoos-chicken-tenders-sunrise/WKbUGD2PS8ihADNZNbhyAQ,margate-florida,"['Wings', 'American', 'Fast Food', 'Burgers', 'Salads', 'Sandwich', 'Family Meals']",4.8,500,$,26.1930999,-80.278431,+19545183006,33351,9440 West Commercial Blvd.,Sunrise,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sunrise', 'addressRegion': 'FL', 'postalCode': '33351', 'addressCountry': 'US', 'streetAddress': '9440 West Commercial Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 26.1930999, 'longitude': -80.278431}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '500'}"
Rolls and Grill's Desserts ,https://www.ubereats.com/miami/food-delivery/rolls-and-grills-desserts/trwM1PFHTZ-gIU-_N4_wOw,margate-florida,"['Desserts', 'Bubble Tea', 'Ice Cream and Frozen Yogurt', 'Juice and Smoothies', 'Desserts', 'American', 'Kids Friendly']",,,$,26.243405,-80.195765,+19548429806,33063,1139 Banks Rd,Margate,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '14:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Margate', 'addressRegion': 'Florida', 'postalCode': '33063', 'addressCountry': 'US', 'streetAddress': '1139 Banks Rd'}","{'@type': 'GeoCoordinates', 'latitude': 26.243405, 'longitude': -80.195765}",{}
Innfield,https://www.ubereats.com/miami/food-delivery/innfield/wj7-2_k6Su6IiSje-q6HwA,margate-florida,"['Burgers', 'American', 'Sandwiches']",,,$,26.1691557,-80.3009618,+19547012727,33323,11439 W Oakland Park Blvd,Sunrise,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '11:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '17:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '13:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sunrise', 'addressRegion': 'FL', 'postalCode': '33323', 'addressCountry': 'US', 'streetAddress': '11439 W Oakland Park Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 26.1691557, 'longitude': -80.3009618}",{}
Five Guys FL-1296 6365 N. Andrews,https://www.ubereats.com/miami/food-delivery/five-guys-fl-1296-6365-n-andrews/FHatQ2cQRfeIbZkCZ-zlqQ,margate-florida,"['American', 'Burgers']",4.6,391,$,26.206183,-80.14811,+19546171000,US,6365 N Andrews,Ft Lauderdale,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ft Lauderdale', 'addressRegion': 'FL', 'postalCode': 'US', 'addressCountry': 'US', 'streetAddress': '6365 N Andrews'}","{'@type': 'GeoCoordinates', 'latitude': 26.206183, 'longitude': -80.14811}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '391'}"
Beehive Kitchen (Cypress Creek),https://www.ubereats.com/miami/food-delivery/beehive-kitchen-cypress-creek/is6ty_P8Qsib9d-7z4tgHw,margate-florida,"['Rice-bowls', 'Healthy', 'Vegetarian Friendly', 'Vegan Friendly']",4.7,500,$,26.2047662,-80.1474109,+19545418787,33309,6312 N Andrews Ave,Fort Lauderdale,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fort Lauderdale', 'addressRegion': 'FL', 'postalCode': '33309', 'addressCountry': 'US', 'streetAddress': '6312 N Andrews Ave'}","{'@type': 'GeoCoordinates', 'latitude': 26.2047662, 'longitude': -80.1474109}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '500'}"
Yummy BBQ,https://www.ubereats.com/miami/food-delivery/yummy-bbq/5phBUM1mQEmK3GC0gSjA6Q,margate-florida,['Chinese'],,,$,26.1537159,-80.2555314,+17547015823,33322,2350 N University Dr,Sunrise,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday'], 'opens': '11:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sunrise', 'addressRegion': 'Florida', 'postalCode': '33322', 'addressCountry': 'US', 'streetAddress': '2350 N University Dr'}","{'@type': 'GeoCoordinates', 'latitude': 26.1537159, 'longitude': -80.2555314}",{}
 Kouyou Japanese Buffet,https://www.ubereats.com/miami/food-delivery/kouyou-japanese-buffet/dCCiHLcUTWG_3-TnYUa66A,margate-florida,"['Chinese', 'Asian', 'Asian Fusion']",,,$,26.271724,-80.2337433,+19548408885,33065,8000 West Sample Road,Margate,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '17:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Margate', 'addressRegion': 'FL', 'postalCode': '33065', 'addressCountry': 'US', 'streetAddress': '8000 West Sample Road'}","{'@type': 'GeoCoordinates', 'latitude': 26.271724, 'longitude': -80.2337433}",{}
