name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Starbucks (Todos Santos Plaza),https://www.ubereats.com/san-francisco/food-delivery/starbucks-todos-santos-plaza/Ljk78Ho8QjulSdFUeABIhw,martinez-california,"['Cafe', 'Coffee & Tea', 'Breakfast and Brunch', 'Bakery']",4.7,59,$,37.9764268,-122.0336233,+19256895357,94520,2118 Willow Pass Road,Concord,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '5:30', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Concord', 'addressRegion': 'CA', 'postalCode': '94520', 'addressCountry': 'US', 'streetAddress': '2118 Willow Pass Road'}","{'@type': 'GeoCoordinates', 'latitude': 37.9764268, 'longitude': -122.0336233}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '59'}"
Vitality Bowls (1528 Locust St),https://www.ubereats.com/san-francisco/food-delivery/vitality-bowls-1528-locust-st/mPK8xssOTlGZI_by3su5ew,martinez-california,"['Vegan', 'Juice and Smoothies']",4.8,38,$,37.900222,-122.062188,+19254647607,94596,1528 Locust St,Walnut Creek,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Walnut Creek', 'addressRegion': 'CA', 'postalCode': '94596', 'addressCountry': 'US', 'streetAddress': '1528 Locust St'}","{'@type': 'GeoCoordinates', 'latitude': 37.900222, 'longitude': -122.062188}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '38'}"
Chipotle Mexican Grill (3518 Mt Diablo Blvd Ste F),https://www.ubereats.com/san-francisco/food-delivery/chipotle-mexican-grill-3518-mt-diablo-blvd-ste-f/K5PdG5PpQUWd1oPUEZPKgQ,martinez-california,"['Healthy', 'Mexican']",4.3,51,$,37.8932526,-122.1179655,+19252823977,94549,3518 Mt Diablo Blvd Ste F,Lafayette,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lafayette', 'addressRegion': 'CA', 'postalCode': '94549', 'addressCountry': 'US', 'streetAddress': '3518 Mt Diablo Blvd Ste F'}","{'@type': 'GeoCoordinates', 'latitude': 37.8932526, 'longitude': -122.1179655}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '51'}"
"El Pollo Loco (1551 Monument Blvd,3837)",https://www.ubereats.com/san-francisco/food-delivery/el-pollo-loco-1551-monument-blvd3837/Sgz3Ik81TeaDYn-iojep-w,martinez-california,"['Latin American', 'Mexican', 'New American', 'Family Meals']",4.5,33,$,37.9534509,-122.0437692,+15628108640,94520,1551 Monument Blvd,Concord,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Concord', 'addressRegion': 'CA', 'postalCode': '94520', 'addressCountry': 'US', 'streetAddress': '1551 Monument Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 37.9534509, 'longitude': -122.0437692}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '33'}"
Taqueria Y Carniceria Martinez,https://www.ubereats.com/san-francisco/food-delivery/taqueria-y-carniceria-martinez/bKgVyJMJTDeXxCFXTW-DsQ,martinez-california,"['Mexican', 'New Mexican', 'Comfort Food']",4.8,26,$,38.0089983,-122.0981089,+19256609770,94553,3830 Pacheco Blvd,Martinez,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '9:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '9:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '17:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '9:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '17:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Martinez', 'addressRegion': 'CA', 'postalCode': '94553', 'addressCountry': 'US', 'streetAddress': '3830 Pacheco Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 38.0089983, 'longitude': -122.0981089}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '26'}"
Mountain Mike's Pizza (1160 Arnold Drive),https://www.ubereats.com/san-francisco/food-delivery/mountain-mikes-pizza-1160-arnold-drive/Ka_I0wTxRASxLGevTuWoYg,martinez-california,"['American', 'Salads', 'Pizza']",4.8,19,$,37.9934047,-122.1022451,+19252299090,94553,1160 Arnold Drive,Martinez,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:15', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Martinez', 'addressRegion': 'CA', 'postalCode': '94553', 'addressCountry': 'US', 'streetAddress': '1160 Arnold Drive'}","{'@type': 'GeoCoordinates', 'latitude': 37.9934047, 'longitude': -122.1022451}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '19'}"
La Primavera Restaurant,https://www.ubereats.com/san-francisco/food-delivery/la-primavera-restaurant/2AHsXFJtSjeEsVNFD03akw,martinez-california,"['Mexican', 'Kids Friendly']",,,,38.01552,-122.12985,+19259182001,94553,1311 Pine Street Suite I,Martinez,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Martinez', 'addressRegion': 'CA', 'postalCode': '94553', 'addressCountry': 'US', 'streetAddress': '1311 Pine Street Suite I'}","{'@type': 'GeoCoordinates', 'latitude': 38.01552, 'longitude': -122.12985}",{}
Extreme Pizza - Hercules,https://www.ubereats.com/san-francisco/food-delivery/extreme-pizza-hercules/S0Me2JKtRXObvpuStIVG2Q,martinez-california,['Pizza'],4.4,18,$,38.0121629,-122.274619,+15109649990,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:45'}]",,"{'@type': 'GeoCoordinates', 'latitude': 38.0121629, 'longitude': -122.274619}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '18'}"
Taco Bell (700 Military West),https://www.ubereats.com/san-francisco/food-delivery/taco-bell-700-military-west/8kOaUX6HSpSQDpWQuuM_RA,martinez-california,"['Burritos', 'Fast Food', 'Mexican']",4.1,26,$,38.0587239,-122.1672557,+17077510877,94510,700 Military West,Benicia,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '10:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Benicia', 'addressRegion': 'CA', 'postalCode': '94510', 'addressCountry': 'US', 'streetAddress': '700 Military West'}","{'@type': 'GeoCoordinates', 'latitude': 38.0587239, 'longitude': -122.1672557}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '26'}"
Krispy Krunchy Chicken (1655 Tennessee),https://www.ubereats.com/san-francisco/food-delivery/krispy-krunchy-chicken-1655-tennessee/Dbm2UItIRNG5nzKpwkrsyQ,martinez-california,"['Comfort Food', 'Fried Chicken', 'Traditional American', 'Wings', 'Family Meals']",,,$,38.109329,-122.2385229,+17076534195,94590,1655 Tennessee St,Vallejo,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '19:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Vallejo', 'addressRegion': 'CA', 'postalCode': '94590', 'addressCountry': 'US', 'streetAddress': '1655 Tennessee St'}","{'@type': 'GeoCoordinates', 'latitude': 38.109329, 'longitude': -122.2385229}",{}
