name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Baraka Restaurant,https://www.ubereats.com/new-jersey/food-delivery/baraka-restaurant/sFN5ARhKSqCQ_ylJ7BYM_Q,maywood-new-jersey,['Middle Eastern'],3.9,34,$$,40.894422,-74.15951,+19732780091,07503,976 Main St,Paterson,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:50'}]","{'@type': 'PostalAddress', 'addressLocality': 'Paterson', 'addressRegion': 'NJ', 'postalCode': '07503', 'addressCountry': 'US', 'streetAddress': '976 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.894422, 'longitude': -74.15951}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '34'}"
Qdoba (26-31 Rt. 208),https://www.ubereats.com/new-jersey/food-delivery/qdoba-26-31-rt-208/uIzHPO-nSiS1MrPerT6uZQ,maywood-new-jersey,"['Mexican', 'Family Meals']",4.6,320,$,40.9435,-74.1297,+12017037903,7410,26-31 Rt. 208,Fair Lawn,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fair Lawn', 'addressRegion': 'NJ', 'postalCode': '7410', 'addressCountry': 'US', 'streetAddress': '26-31 Rt. 208'}","{'@type': 'GeoCoordinates', 'latitude': 40.9435, 'longitude': -74.1297}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '320'}"
Pho Saigon (296 Main St),https://www.ubereats.com/new-jersey/food-delivery/pho-saigon-296-main-st/1Dywq74gRmuQJ1t96DBrWA,maywood-new-jersey,"['Asian', 'South East Asian', 'Vietnamese']",4.6,233,$,40.88768109999999,-74.0407725,+12013423490,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:50'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.88768109999999, 'longitude': -74.0407725}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '233'}"
Grandpa's Treats,https://www.ubereats.com/new-jersey/food-delivery/grandpas-treats/1K4K1ZhHSACpOefy8pfj6Q,maywood-new-jersey,"['Ice Cream and Frozen Yogurt', 'American']",,,$,40.884878,-74.138446,+19738943062,07011,290 Lakeview Ave,Clifton,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '14:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Clifton', 'addressRegion': 'NJ', 'postalCode': '07011', 'addressCountry': 'US', 'streetAddress': '290 Lakeview Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.884878, 'longitude': -74.138446}",{}
Playa Bowls (Franklin Lakes),https://www.ubereats.com/new-jersey/food-delivery/playa-bowls-franklin-lakes/py_VzK_EQIGEkdSTtwdNXw,maywood-new-jersey,"['Juice and Smoothies', 'Healthy', 'Vegetarian Friendly', 'Healthy', 'Desserts', 'Family Meals']",4.6,69,$,40.9937932,-74.2144704,+12018242400,7417,833 Franklin Lake Rd,Franklin Lakes,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Franklin Lakes', 'addressRegion': 'NJ', 'postalCode': '7417', 'addressCountry': 'US', 'streetAddress': '833 Franklin Lake Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.9937932, 'longitude': -74.2144704}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '69'}"
The Jersey Market,https://www.ubereats.com/new-jersey/food-delivery/the-jersey-market/YypjwFOkSku17QPIvtwL6Q,maywood-new-jersey,"['Sandwiches', 'American', 'Healthy']",,,$,40.87444139999999,-74.02115300000001,+12017378567,07666,314 Queen Anne Rd,Teaneck,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Teaneck', 'addressRegion': 'NJ', 'postalCode': '07666', 'addressCountry': 'US', 'streetAddress': '314 Queen Anne Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.87444139999999, 'longitude': -74.02115300000001}",{}
Schnitzel +,https://www.ubereats.com/new-jersey/food-delivery/schnitzel-%2B/r2vsPi3fSWm0C3HBF9cfbg,maywood-new-jersey,"['Kosher', 'Burgers', 'Sandwich']",4.8,94,$$,40.9028914,-74.0046199,+12018332301,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.9028914, 'longitude': -74.0046199}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '94'}"
Pintxo y Tapas,https://www.ubereats.com/new-jersey/food-delivery/pintxo-y-tapas/KfExvVH3RjGAhVlMFvhvGg,maywood-new-jersey,"['Spanish', 'Seafood', 'Mediterranean']",,,$,40.895264,-73.97322299999999,+12015699999,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '20:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.895264, 'longitude': -73.97322299999999}",{}
Coffeecol Arepa Bar & Grill,https://www.ubereats.com/new-jersey/food-delivery/coffeecol-arepa-bar-%26-grill/dKYvraSTRu6BKMph--zcSg,maywood-new-jersey,"['Coffee and Tea', 'Salads', 'Vegetarian Friendly', 'Vegan Friendly']",4.7,67,$,40.89253,-74.00282,+12013572700,07666,1126,Teaneck,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:15', 'closes': '13:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Teaneck', 'addressRegion': 'NJ', 'postalCode': '07666', 'addressCountry': 'US', 'streetAddress': '1126'}","{'@type': 'GeoCoordinates', 'latitude': 40.89253, 'longitude': -74.00282}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '67'}"
Platters Corner,https://www.ubereats.com/new-jersey/food-delivery/platters-corner/-gljJ0gKRSaH1gaoAv-PVQ,maywood-new-jersey,['Mediterranean'],4.8,21,$$,40.8793504,-74.04115759999999,+12013433241,07601,60 River St,New Jersey,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Jersey', 'addressRegion': 'NJ', 'postalCode': '07601', 'addressCountry': 'US', 'streetAddress': '60 River St'}","{'@type': 'GeoCoordinates', 'latitude': 40.8793504, 'longitude': -74.04115759999999}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '21'}"
Blaze Pizza (65 Route 4),https://www.ubereats.com/new-jersey/food-delivery/blaze-pizza-65-route-4/vOhJ1iGURlCoJZEAzMt0Zw,maywood-new-jersey,"['Pizza', 'Family Meals', 'American']",4.5,170,$,40.9201983,-74.0659438,+12018432845,07652-2625,65 E State Rt 4,Paramus,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Paramus', 'addressRegion': 'NJ', 'postalCode': '07652-2625', 'addressCountry': 'US', 'streetAddress': '65 E State Rt 4'}","{'@type': 'GeoCoordinates', 'latitude': 40.9201983, 'longitude': -74.0659438}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '170'}"
Empire Szechuan Restaurant,https://www.ubereats.com/new-jersey/food-delivery/empire-szechuan-restaurant/Vv4Om4Y-TmCgZyDqt7hLXg,maywood-new-jersey,"['Chinese', 'Asian', 'Asian Fusion']",,,$,40.9405648,-73.9971896,+12013851666,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '15:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.9405648, 'longitude': -73.9971896}",{}
Goody Chinese & Spanish Restaurant,https://www.ubereats.com/new-jersey/food-delivery/goody-chinese-%26-spanish-restaurant/9avgK7Z5SKGHL0ZQyMjMJg,maywood-new-jersey,"['Chinese', 'Asian', 'Asian Fusion']",4.5,332,$,40.9201845,-74.1865416,+19733890888,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '23:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '23:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.9201845, 'longitude': -74.1865416}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '332'}"
Taka Japanese,https://www.ubereats.com/new-jersey/food-delivery/taka-japanese/elUjPGBfSqiya8c77XQUDQ,maywood-new-jersey,"['Japanese', 'Sushi']",4.3,58,$$,40.9559663,-74.22527699999999,+19736969559,7470,787 Hamburg Tpke,Wayne,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wayne', 'addressRegion': 'NJ', 'postalCode': '7470', 'addressCountry': 'US', 'streetAddress': '787 Hamburg Tpke'}","{'@type': 'GeoCoordinates', 'latitude': 40.9559663, 'longitude': -74.22527699999999}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '58'}"
Mazza Falafel,https://www.ubereats.com/new-jersey/food-delivery/mazza-falafel/2-ZQGSxgTIuskrjerJAaRg,maywood-new-jersey,"['Halal', 'Middle Eastern', 'Mediterranean']",4.8,28,$$,40.883479,-74.058925,+12016462992,07601,365 Essex St,Hackensack,New Jersey,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hackensack', 'addressRegion': 'New Jersey', 'postalCode': '07601', 'addressCountry': 'US', 'streetAddress': '365 Essex St'}","{'@type': 'GeoCoordinates', 'latitude': 40.883479, 'longitude': -74.058925}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '28'}"
Man Hing Chinese Restaurant,https://www.ubereats.com/new-jersey/food-delivery/man-hing-chinese-restaurant/a1_0QSTKRl2-VWJrRQVjVQ,maywood-new-jersey,['Chinese: Noodles & Dumplings'],,,$$,40.8366246,-74.1639387,+19733385753,07003,395 W Passaic Ave,New Jersey,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Jersey', 'addressRegion': 'NJ', 'postalCode': '07003', 'addressCountry': 'US', 'streetAddress': '395 W Passaic Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.8366246, 'longitude': -74.1639387}",{}
Dong Chun Hong,https://www.ubereats.com/new-jersey/food-delivery/dong-chun-hong/lSn1WNBpRYmHtty7pWsTrA,maywood-new-jersey,"['Chinese', 'Asian', 'Asian Fusion']",4.8,30,$$,40.850648,-73.967732,+12015920450,7024,144 Main St,Fort Lee,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fort Lee', 'addressRegion': 'NJ', 'postalCode': '7024', 'addressCountry': 'US', 'streetAddress': '144 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.850648, 'longitude': -73.967732}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '30'}"
Visentini Brothers,https://www.ubereats.com/new-jersey/food-delivery/visentini-brothers/vJo_peRpQFqfjBrnoSZhRg,maywood-new-jersey,"['Italian', 'Sandwich', 'Everyday Essentials', 'Convenience', 'Grocery', 'Snacks', 'Home & Personal Care']",4.9,34,$$,40.8721415,-74.0763904,+19737771427,07644,256 Union St,Lodi,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '17:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '11:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lodi', 'addressRegion': 'NJ', 'postalCode': '07644', 'addressCountry': 'US', 'streetAddress': '256 Union St'}","{'@type': 'GeoCoordinates', 'latitude': 40.8721415, 'longitude': -74.0763904}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '34'}"
Forest Dairy,https://www.ubereats.com/new-jersey/food-delivery/forest-dairy/VxYNz3_7S9-F_zZil6ymbQ,maywood-new-jersey,"['Salad / Sandwiches', 'Chicken', 'Comfort Food']",,,,40.8270098,-74.1040146,+12019359085,07070,10 Spring Dell,Rutherford,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rutherford', 'addressRegion': 'NJ', 'postalCode': '07070', 'addressCountry': 'US', 'streetAddress': '10 Spring Dell'}","{'@type': 'GeoCoordinates', 'latitude': 40.8270098, 'longitude': -74.1040146}",{}
"Lexington Diner (Clifton, NJ)",https://www.ubereats.com/new-jersey/food-delivery/lexington-diner-clifton-nj/Vck_UUptThuJq6gLTE05GQ,maywood-new-jersey,"['Breakfast and Brunch', 'American', 'Sandwiches']",4.3,14,$,40.87360260000001,-74.1310012,+19734782900,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:30', 'closes': '19:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.87360260000001, 'longitude': -74.1310012}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '14'}"
Railroad Cafe,https://www.ubereats.com/new-jersey/food-delivery/railroad-cafe/pGNarXabStSJtOcbzeMcjg,maywood-new-jersey,"['American', 'Sandwich', 'Salads']",,,$$,40.828455,-74.10019,+12012817092,07073,170 Union Ave,East Rutherford,New Jersey,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'East Rutherford', 'addressRegion': 'New Jersey', 'postalCode': '07073', 'addressCountry': 'US', 'streetAddress': '170 Union Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.828455, 'longitude': -74.10019}",{}
Dunkin' (31 Liberty St),https://www.ubereats.com/new-jersey/food-delivery/dunkin-31-liberty-st/FmuOrnghS82SGfMgtiSZMg,maywood-new-jersey,"['Breakfast & Brunch', 'Donuts']",,,$,40.8443054,-74.0427496,+12018141005,7643,31 Liberty St,Little Ferry,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:30', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Little Ferry', 'addressRegion': 'NJ', 'postalCode': '7643', 'addressCountry': 'US', 'streetAddress': '31 Liberty St'}","{'@type': 'GeoCoordinates', 'latitude': 40.8443054, 'longitude': -74.0427496}",{}
Mr. Parish Seafood Trap,https://www.ubereats.com/new-jersey/food-delivery/mr-parish-seafood-trap/nk5F_6IEQyyHaYIrcSBasA,maywood-new-jersey,"['Seafood', 'American', 'Southern']",,,$,40.8937296,-74.0431037,+12014882800,07601,98 Anderson St,Hackensack,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hackensack', 'addressRegion': 'NJ', 'postalCode': '07601', 'addressCountry': 'US', 'streetAddress': '98 Anderson St'}","{'@type': 'GeoCoordinates', 'latitude': 40.8937296, 'longitude': -74.0431037}",{}
