name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Tenka Ramen (Richmond),https://www.ubereats.com/richmond/food-delivery/tenka-ramen-richmond/_H4lo8YTQxyDSVed1Tfb7Q,mechanicsville-virginia,"['Ramen', 'Japanese', 'Comfort Food']",4.9,35,$,37.5417164,-77.43893729999999,+18047888177,23219,110 N 5th St,Richmond,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Richmond', 'addressRegion': 'VA', 'postalCode': '23219', 'addressCountry': 'US', 'streetAddress': '110 N 5th St'}","{'@type': 'GeoCoordinates', 'latitude': 37.5417164, 'longitude': -77.43893729999999}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '35'}"
Spice Of India,https://www.ubereats.com/richmond/food-delivery/spice-of-india/DRuLnJcARU-MyN-X5jJp9Q,mechanicsville-virginia,"['Indian', 'Vegetarian', 'Asian', 'Vegetarian Friendly', 'Family Meals']",4.7,200,$,37.5404353,-77.43734289999999,+18047750108,23219,106 N 7th,Richmond,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Richmond', 'addressRegion': 'VA', 'postalCode': '23219', 'addressCountry': 'US', 'streetAddress': '106 N 7th'}","{'@type': 'GeoCoordinates', 'latitude': 37.5404353, 'longitude': -77.43734289999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '200'}"
Pig & Brew,https://www.ubereats.com/richmond/food-delivery/pig-%26-brew/iEiojDgiTZ2xxPC8b7UQbA,mechanicsville-virginia,"['American', 'Burgers', 'Sandwiches']",4.4,56,$,37.5202764,-77.4453903,+18044472855,23224,1313 Hull St,Richmond,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '13:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Richmond', 'addressRegion': 'VA', 'postalCode': '23224', 'addressCountry': 'US', 'streetAddress': '1313 Hull St'}","{'@type': 'GeoCoordinates', 'latitude': 37.5202764, 'longitude': -77.4453903}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '56'}"
The Boathouse at Rocketts Landing,https://www.ubereats.com/richmond/food-delivery/the-boathouse-at-rocketts-landing/ymapUk37TCGbao6Lb8-cbA,mechanicsville-virginia,"['Seafood', 'American', 'Southern', 'Family Meals']",4.2,22,$,37.5181309,-77.4160028,+18046222628,23231,4708 Old Main St,Richmond,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '3:30', 'closes': '4:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Richmond', 'addressRegion': 'VA', 'postalCode': '23231', 'addressCountry': 'US', 'streetAddress': '4708 Old Main St'}","{'@type': 'GeoCoordinates', 'latitude': 37.5181309, 'longitude': -77.4160028}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '22'}"
"TGI Friday's (1889 - RICHMOND, VA)",https://www.ubereats.com/richmond/food-delivery/tgi-fridays-1889-richmond-va/LQTnYBHFQXGjiFAyTPV69Q,mechanicsville-virginia,"['American', 'Burgers', 'Bar Food', 'Family Meals']",3.9,200,$$,37.609441,-77.519581,+18046729477,23294,7023 W Broad St,Richmond,Virginia,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Richmond', 'addressRegion': 'Virginia', 'postalCode': '23294', 'addressCountry': 'US', 'streetAddress': '7023 W Broad St'}","{'@type': 'GeoCoordinates', 'latitude': 37.609441, 'longitude': -77.519581}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '200'}"
Subway (7999 Creighton Pkwy Ste A),https://www.ubereats.com/richmond/food-delivery/subway-7999-creighton-pkwy-ste-a/4qsSCzOCS1uRqM_0vGjhlA,mechanicsville-virginia,"['Fast Food', 'Sandwich', 'American']",,,$,37.6152433,-77.3184504,+18045594671,23111,7999 Creighton Pkwy Ste A,Mechanicsville,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mechanicsville', 'addressRegion': 'VA', 'postalCode': '23111', 'addressCountry': 'US', 'streetAddress': '7999 Creighton Pkwy Ste A'}","{'@type': 'GeoCoordinates', 'latitude': 37.6152433, 'longitude': -77.3184504}",{}
Soul taco,https://www.ubereats.com/richmond/food-delivery/soul-taco/lg-6-a7pQTaw3C5TuE-pbg,mechanicsville-virginia,"['Latin American', 'Mexican', 'Vegetarian']",4.6,200,$,37.5361813,-77.43347349999999,+12403534855,23219,1215 E Main St,Richmond,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Richmond', 'addressRegion': 'VA', 'postalCode': '23219', 'addressCountry': 'US', 'streetAddress': '1215 E Main St'}","{'@type': 'GeoCoordinates', 'latitude': 37.5361813, 'longitude': -77.43347349999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '200'}"
Chipotle Mexican Grill (8955 Staples Mill Rd),https://www.ubereats.com/richmond/food-delivery/chipotle-mexican-grill-8955-staples-mill-rd/HgUdnE9RQ7iatKmgDPzQOQ,mechanicsville-virginia,"['Healthy', 'Mexican']",4.5,124,$,37.6378205,-77.5116662,+18042004725,23228,8955 Staples Mill Rd,Richmond,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Richmond', 'addressRegion': 'VA', 'postalCode': '23228', 'addressCountry': 'US', 'streetAddress': '8955 Staples Mill Rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.6378205, 'longitude': -77.5116662}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '124'}"
McDonald's® (Richmond-Chamber),https://www.ubereats.com/richmond/food-delivery/mcdonalds-richmond-chamber/5wDqEPjMRsyfIo7B__3GjA,mechanicsville-virginia,"['American', 'Fast Food', 'Burgers']",4.1,181,$,37.562106,-77.442633,+18043213405,23222,2011 CHAMBERLAYNE AVE,RICHMOND,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '15:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '22:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '15:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '16:0', 'closes': '22:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '15:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '22:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'RICHMOND', 'addressRegion': 'VA', 'postalCode': '23222', 'addressCountry': 'US', 'streetAddress': '2011 CHAMBERLAYNE AVE'}","{'@type': 'GeoCoordinates', 'latitude': 37.562106, 'longitude': -77.442633}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '181'}"
New China House,https://www.ubereats.com/richmond/food-delivery/new-china-house/mxFj-gImSNO09qO0W_oTgw,mechanicsville-virginia,"['Chinese: Other', 'Chicken', 'Healthy']",,,,37.58749,-77.44302,+14129567685,15146,4309 Northern Pike,Monroeville,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Monroeville', 'addressRegion': 'PA', 'postalCode': '15146', 'addressCountry': 'US', 'streetAddress': '4309 Northern Pike'}","{'@type': 'GeoCoordinates', 'latitude': 37.58749, 'longitude': -77.44302}",{}
