name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Chipotle Mexican Grill (227 Alewife Brook Pkwy Spc B5),https://www.ubereats.com/boston/food-delivery/chipotle-mexican-grill-227-alewife-brook-pkwy-spc-b5/IR_c4fY_Sfe5lHGlRdF4Tg,medford-massachusetts,"['Healthy', 'Mexican']",4.6,247,$,42.3892633,-71.1434155,+16175009373,2138,227 Alewife Brook Pkwy Spc B5,Cambridge,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '20:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cambridge', 'addressRegion': 'MA', 'postalCode': '2138', 'addressCountry': 'US', 'streetAddress': '227 Alewife Brook Pkwy Spc B5'}","{'@type': 'GeoCoordinates', 'latitude': 42.3892633, 'longitude': -71.1434155}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '247'}"
3 amigos bar and grill,https://www.ubereats.com/boston/food-delivery/3-amigos-bar-and-grill/6wsMnj9mQQmkkdfNSaDwwg,medford-massachusetts,"['Mexican', 'Sandwich']",4.4,56,$$$,42.4258357,-71.0673463,+17816051191,2148,375 Main St,Malden,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '11:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Malden', 'addressRegion': 'MA', 'postalCode': '2148', 'addressCountry': 'US', 'streetAddress': '375 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 42.4258357, 'longitude': -71.0673463}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '56'}"
Nicks place11,https://www.ubereats.com/boston/food-delivery/nicks-place11/pdvvOm1GTYSVEhI5nimNHQ,medford-massachusetts,"['Burgers', 'American', 'Sandwiches']",4.8,14,$,42.39664,-71.1753063,+16174842020,02478,6 Channing Rd,Belmont,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Belmont', 'addressRegion': 'MA', 'postalCode': '02478', 'addressCountry': 'US', 'streetAddress': '6 Channing Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.39664, 'longitude': -71.1753063}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '14'}"
Lendy's Deli & Restaurant,https://www.ubereats.com/boston/food-delivery/lendys-deli-%26-restaurant/qt2AUBTdShG4iPlRomVI5w,medford-massachusetts,"['Deli', 'Sandwich', 'Breakfast and Brunch', 'Burgers', 'Salads', 'Desserts']",4.5,81,$,42.47913,-71.024496,+17812313180,01906,653 Broadway,Saugus,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Saugus', 'addressRegion': 'MA', 'postalCode': '01906', 'addressCountry': 'US', 'streetAddress': '653 Broadway'}","{'@type': 'GeoCoordinates', 'latitude': 42.47913, 'longitude': -71.024496}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '81'}"
Oliveira's Express (Medford),https://www.ubereats.com/boston/food-delivery/oliveiras-express-medford/UoU3SRbcSbus2h2dOyzO0w,medford-massachusetts,"['Breakfast and Brunch', 'American', 'Sandwiches']",,,$,42.4209222,-71.0981011,+19788761990,2155,295 Salem St,Medford,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '2:0', 'closes': '2:1'}]","{'@type': 'PostalAddress', 'addressLocality': 'Medford', 'addressRegion': 'MA', 'postalCode': '2155', 'addressCountry': 'US', 'streetAddress': '295 Salem St'}","{'@type': 'GeoCoordinates', 'latitude': 42.4209222, 'longitude': -71.0981011}",{}
Passage to India,https://www.ubereats.com/boston/food-delivery/passage-to-india/0x3z4UuUQdiGCDcwFzL3Rg,medford-massachusetts,"['Indian', 'Pakistani']",4.7,188,$$,42.388781,-71.119873,+16174976113,02140,1900 Massachusetts Ave,Cambridge,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cambridge', 'addressRegion': 'MA', 'postalCode': '02140', 'addressCountry': 'US', 'streetAddress': '1900 Massachusetts Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.388781, 'longitude': -71.119873}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '188'}"
Boston Burger Company (Woburn),https://www.ubereats.com/boston/food-delivery/boston-burger-company-woburn/Lm2C4GORQ9OYjTyQDUremQ,medford-massachusetts,"['Burgers', 'American', 'Sandwich', 'Salads', 'Wings']",,,$$,42.48106799999999,-71.14329599999999,+17815376192,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.48106799999999, 'longitude': -71.14329599999999}",{}
Restaurante El Típico Colombiano,https://www.ubereats.com/boston/food-delivery/restaurante-el-tipico-colombiano/U9d02QdfSgCNQX-0DHsF0A,medford-massachusetts,"['Colombian', 'Breakfast and Brunch', 'Latin American']",,,$,42.4109869,-71.062534,+18573893721,2149,"293 Main St, 02949",Everett,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Everett', 'addressRegion': 'MA', 'postalCode': '2149', 'addressCountry': 'US', 'streetAddress': '293 Main St, 02949'}","{'@type': 'GeoCoordinates', 'latitude': 42.4109869, 'longitude': -71.062534}",{}
Saloniki Greek (Harvard Square),https://www.ubereats.com/boston/food-delivery/saloniki-greek-harvard-square/6p5EBiynQHWZvLjfcUVIuw,medford-massachusetts,"['Greek', 'Salads']",4.9,124,$,42.3725976,-71.1189755,+16179545877,02138,24 Dunster St,Cambridge,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '4:0', 'closes': '4:1'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cambridge', 'addressRegion': 'MA', 'postalCode': '02138', 'addressCountry': 'US', 'streetAddress': '24 Dunster St'}","{'@type': 'GeoCoordinates', 'latitude': 42.3725976, 'longitude': -71.1189755}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '124'}"
Starbucks (McClellan Hwy & Boardman St.),https://www.ubereats.com/boston/food-delivery/starbucks-mcclellan-hwy-%26-boardman-st/QQhqg1QrTgqoPnBhjsW5Xw,medford-massachusetts,"['Cafe', 'Coffee & Tea', 'Breakfast and Brunch', 'Bakery']",4.6,500,$,42.392055,-71.0132126,+16175613704,2128,430 McClellan Highway,East Boston,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '4:30', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'East Boston', 'addressRegion': 'MA', 'postalCode': '2128', 'addressCountry': 'US', 'streetAddress': '430 McClellan Highway'}","{'@type': 'GeoCoordinates', 'latitude': 42.392055, 'longitude': -71.0132126}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '500'}"
