name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Taste Buds Smoothies,https://www.ubereats.com/new-jersey/food-delivery/taste-buds-smoothies/w0wW9OXfSyWbmLXb0JxkHw,millville-new-jersey,"['Soul Food', 'American', 'Burgers']",,,$,39.4751085,-75.0435938,+18563625787,08360,825 S Delsea Dr 4,Vineland,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Vineland', 'addressRegion': 'NJ', 'postalCode': '08360', 'addressCountry': 'US', 'streetAddress': '825 S Delsea Dr 4'}","{'@type': 'GeoCoordinates', 'latitude': 39.4751085, 'longitude': -75.0435938}",{}
Krispy Krunchy Chicken (1715 Wheat Road),https://www.ubereats.com/new-jersey/food-delivery/krispy-krunchy-chicken-1715-wheat-road/ij0dx_RcRdu3qTTs1-LIow,millville-new-jersey,"['Comfort Food', 'Fried Chicken', 'Traditional American', 'Wings']",,,$,39.51309699999999,-74.9916959,+18568390955,8360,1715 Wheat Road,Vineland,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Vineland', 'addressRegion': 'NJ', 'postalCode': '8360', 'addressCountry': 'US', 'streetAddress': '1715 Wheat Road'}","{'@type': 'GeoCoordinates', 'latitude': 39.51309699999999, 'longitude': -74.9916959}",{}
Stewart's Drive-In,https://www.ubereats.com/new-jersey/food-delivery/stewarts-drive-in/2PQowILJSZK3uhC8OPUdHg,millville-new-jersey,"['Burgers', 'American', 'Sandwiches']",,,$,39.4785347,-75.0440024,+18566968062,08360,584 S Delsea Dr,Vineland,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Vineland', 'addressRegion': 'NJ', 'postalCode': '08360', 'addressCountry': 'US', 'streetAddress': '584 S Delsea Dr'}","{'@type': 'GeoCoordinates', 'latitude': 39.4785347, 'longitude': -75.0440024}",{}
Julio’s on main,https://www.ubereats.com/new-jersey/food-delivery/julios-on-main/bZ7Sl63FR4eCeZGQU9g9FA,millville-new-jersey,"['Mexican', 'Latin American', 'New Mexican']",4.6,11,$,39.465528,-75.007252,+18566007911,8360,1370 S Main Rd,Vineland,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:1', 'closes': '18:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:1', 'closes': '18:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:1', 'closes': '18:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday'], 'opens': '11:1', 'closes': '18:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:1', 'closes': '18:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Vineland', 'addressRegion': 'NJ', 'postalCode': '8360', 'addressCountry': 'US', 'streetAddress': '1370 S Main Rd'}","{'@type': 'GeoCoordinates', 'latitude': 39.465528, 'longitude': -75.007252}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '11'}"
Moe's Southwest Grill (2188 North 2nd Street),https://www.ubereats.com/new-jersey/food-delivery/moes-southwest-grill-2188-north-2nd-street/sAYM-6yiQHaXO7aeGd7juw,millville-new-jersey,"['Mexican', 'Fast Food', 'Comfort Food', 'Family Meals']",4.3,24,$,39.4230716,-75.0405317,+18568253525,8332,2188 North 2nd Street,Millville,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Millville', 'addressRegion': 'NJ', 'postalCode': '8332', 'addressCountry': 'US', 'streetAddress': '2188 North 2nd Street'}","{'@type': 'GeoCoordinates', 'latitude': 39.4230716, 'longitude': -75.0405317}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '24'}"
Little Caesars (175 North Delsea Drive),https://www.ubereats.com/new-jersey/food-delivery/little-caesars-175-north-delsea-drive/Rs9ZfK7zRiyvRTdJ8Sp6Ww,millville-new-jersey,"['Pizza', 'American', 'Italian']",4.6,12,$,39.4896173,-75.0422682,+18564577459,08360,175 North Delsea Drive,Vineland,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Vineland', 'addressRegion': 'NJ', 'postalCode': '08360', 'addressCountry': 'US', 'streetAddress': '175 North Delsea Drive'}","{'@type': 'GeoCoordinates', 'latitude': 39.4896173, 'longitude': -75.0422682}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '12'}"
"Papa John's (106 W. Landis Ave., Unit 8)",https://www.ubereats.com/new-jersey/food-delivery/papa-johns-106-w-landis-ave-unit-8/mU8r-X64Q-mDFS-NlSB7iQ,millville-new-jersey,"['Desserts', 'PIzza', 'Wings']",4.7,31,$$,39.4873009,-75.0345556,+18562051222,8360,106 W. Landis Ave.,Vineland,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Vineland', 'addressRegion': 'NJ', 'postalCode': '8360', 'addressCountry': 'US', 'streetAddress': '106 W. Landis Ave.'}","{'@type': 'GeoCoordinates', 'latitude': 39.4873009, 'longitude': -75.0345556}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '31'}"
Popeyes (275 N Delsea Dr),https://www.ubereats.com/new-jersey/food-delivery/popeyes-275-n-delsea-dr/ChG5VFNJQY-5TxwZUQPtzA,millville-new-jersey,"['American', 'Fast Food', 'Southern', 'Wings']",4.4,44,$,39.4906134,-75.04078919999999,+18566920301,8360,275 N Delsea Dr,Vineland,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Vineland', 'addressRegion': 'NJ', 'postalCode': '8360', 'addressCountry': 'US', 'streetAddress': '275 N Delsea Dr'}","{'@type': 'GeoCoordinates', 'latitude': 39.4906134, 'longitude': -75.04078919999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '44'}"
Jay's,https://www.ubereats.com/new-jersey/food-delivery/jays/BFkAsQGkRBW1GUv8u6fprg,millville-new-jersey,"['Caribbean', 'Seafood', 'Latin American']",,,$,39.3960612,-75.0480867,+18565068311,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 39.3960612, 'longitude': -75.0480867}",{}
Burger King (395 South Main Road),https://www.ubereats.com/new-jersey/food-delivery/burger-king-395-south-main-road/JrBN9Fv5SrOSnXWfVriX3g,millville-new-jersey,"['American', 'burger', 'Fast Food']",4.6,17,$,39.4782204,-75.00064309999999,+18567942410,8360,395 South Main Road,Vineland,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Vineland', 'addressRegion': 'NJ', 'postalCode': '8360', 'addressCountry': 'US', 'streetAddress': '395 South Main Road'}","{'@type': 'GeoCoordinates', 'latitude': 39.4782204, 'longitude': -75.00064309999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '17'}"
