name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Forbes Grill,https://www.ubereats.com/san-francisco/food-delivery/forbes-grill/BrPLkEqdSCqkdl97sM94hg,morgan-hill-california,"['American', 'Italian']",,,$$$,37.149259,-121.657408,+14087787373,95037,18599 Sutter Blvd,Morgan Hill,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Morgan Hill', 'addressRegion': 'California', 'postalCode': '95037', 'addressCountry': 'US', 'streetAddress': '18599 Sutter Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 37.149259, 'longitude': -121.657408}",{}
Fro-Yo Delite,https://www.ubereats.com/san-francisco/food-delivery/fro-yo-delite/pzxRj3fJSdqJVu4Y1i6JKA,morgan-hill-california,['Ice Cream & Frozen Yogurt'],4.9,33,$,37.113444,-121.640192,+16692585588,95037,406 Tennant Station,San Francisco,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Francisco', 'addressRegion': 'CA', 'postalCode': '95037', 'addressCountry': 'US', 'streetAddress': '406 Tennant Station'}","{'@type': 'GeoCoordinates', 'latitude': 37.113444, 'longitude': -121.640192}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '33'}"
Burger King (830 East Dunne Avenue),https://www.ubereats.com/san-francisco/food-delivery/burger-king-830-east-dunne-avenue/zxWwHkeOTB-0pDeVlf2ROg,morgan-hill-california,"['American', 'burger', 'Fast Food']",,,$,37.1290229,-121.6373788,+14084652160,95037,830 East Dunne Avenue,Morgan Hill,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Morgan Hill', 'addressRegion': 'CA', 'postalCode': '95037', 'addressCountry': 'US', 'streetAddress': '830 East Dunne Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 37.1290229, 'longitude': -121.6373788}",{}
EYEfiniTEA Optique and Lounge,https://www.ubereats.com/san-francisco/food-delivery/eyefinitea-optique-and-lounge/c78l5Q7_RZOfM3oJzJeJUg,morgan-hill-california,"['Coffee and Tea', 'Juice and Smoothies', 'Bubble Tea']",,,$,37.110361,-121.638872,+16698883883,95037,15700 Monterey Rd,Morgan Hill,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Morgan Hill', 'addressRegion': 'California', 'postalCode': '95037', 'addressCountry': 'US', 'streetAddress': '15700 Monterey Rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.110361, 'longitude': -121.638872}",{}
Carl's Jr. (16995 Condit Rd),https://www.ubereats.com/san-francisco/food-delivery/carls-jr-16995-condit-rd/MqBB50C5RRqx8mYeGGnEtQ,morgan-hill-california,"['Fast Food', 'Burgers', 'Salads', 'Burritos', 'American']",,,$,37.1319476,-121.630761,+14087796411,95037,16995 Condit Rd,Morgan Hill,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:15', 'closes': '10:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:15', 'closes': '23:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Morgan Hill', 'addressRegion': 'CA', 'postalCode': '95037', 'addressCountry': 'US', 'streetAddress': '16995 Condit Rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.1319476, 'longitude': -121.630761}",{}
MOD Pizza (Morgan Hill),https://www.ubereats.com/san-francisco/food-delivery/mod-pizza-morgan-hill/UWC-BVemRCekmphsWwvh9w,morgan-hill-california,"['Pizza', 'Desserts', 'Salads', 'American', 'Healthy', 'Vegetarian Friendly', 'Kids Friendly']",4.5,12,$,37.1546148,-121.6507899,+16692580000,95037,1031 Cochrane Rd,Morgan Hill,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Morgan Hill', 'addressRegion': 'CA', 'postalCode': '95037', 'addressCountry': 'US', 'streetAddress': '1031 Cochrane Rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.1546148, 'longitude': -121.6507899}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '12'}"
The Ice Cream Shop ,https://www.ubereats.com/san-francisco/food-delivery/the-ice-cream-shop/Th1eULGRRmWGZREfGu_FoQ,morgan-hill-california,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,37.1214457,-121.6482162,+14087791863,95037,16725 Monterey rd,Morgan Hill,CA,[],"{'@type': 'PostalAddress', 'addressLocality': 'Morgan Hill', 'addressRegion': 'CA', 'postalCode': '95037', 'addressCountry': 'US', 'streetAddress': '16725 Monterey rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.1214457, 'longitude': -121.6482162}",{}
Panda Express (6975 Camino Arroyo),https://www.ubereats.com/san-francisco/food-delivery/panda-express-6975-camino-arroyo/4iHtrS9eR3m7KEmU16FTmA,morgan-hill-california,"['Chinese', 'Family Meals']",4.3,58,$,37.0034756,-121.5514288,+14088426203,95020,6975 Camino Arroyo,Gilroy,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gilroy', 'addressRegion': 'CA', 'postalCode': '95020', 'addressCountry': 'US', 'streetAddress': '6975 Camino Arroyo'}","{'@type': 'GeoCoordinates', 'latitude': 37.0034756, 'longitude': -121.5514288}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '58'}"
Pieology - Morgan Hill,https://www.ubereats.com/san-francisco/food-delivery/pieology-morgan-hill/7BPyOvFLR8C9R0wnRhZ6oQ,morgan-hill-california,['Pizza'],4.5,32,$,37.151109,-121.654735,+14087827088,95037,250 Cochrane Plaza Suite #100, Morgan Hill,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': ' Morgan Hill', 'addressRegion': 'CA', 'postalCode': '95037', 'addressCountry': 'US', 'streetAddress': '250 Cochrane Plaza Suite #100'}","{'@type': 'GeoCoordinates', 'latitude': 37.151109, 'longitude': -121.654735}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '32'}"
Bella Viva,https://www.ubereats.com/san-francisco/food-delivery/bella-viva/m29r5SE1SJyEAwK5TTaBYQ,morgan-hill-california,"['Italian', 'Pizza']",,,$$,37.007086,-121.569221,+14083375561,95020,7423 Monterey Rd,Gilroy,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:30', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gilroy', 'addressRegion': 'California', 'postalCode': '95020', 'addressCountry': 'US', 'streetAddress': '7423 Monterey Rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.007086, 'longitude': -121.569221}",{}
