name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Mykonos Greek Restaurant,https://www.ubereats.com/chicago/food-delivery/mykonos-greek-restaurant/Y-rCRVJrRx-Cx2UL-G0s_g,morton-grove-illinois,"['Mediterranean', 'Greek', 'Vegetarian', 'Pasta', 'Burgers', 'Seafood']",4.7,27,$,42.054856,-87.842771,+18472966777,60714,8660 W Golf Rd,Niles,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '20:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '20:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Niles', 'addressRegion': 'IL', 'postalCode': '60714', 'addressCountry': 'US', 'streetAddress': '8660 W Golf Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.054856, 'longitude': -87.842771}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '27'}"
Starbucks (Lake & Patriot - The Glen),https://www.ubereats.com/chicago/food-delivery/starbucks-lake-%26-patriot-the-glen/jbUNLnqcTY2g1kzSceKggg,morton-grove-illinois,"['Cafe', 'Coffee & Tea', 'Breakfast and Brunch', 'Bakery']",4.6,43,$,42.0894063,-87.82413869999999,+18477296102,60026,1895 Tower Drive,Glenview,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Glenview', 'addressRegion': 'IL', 'postalCode': '60026', 'addressCountry': 'US', 'streetAddress': '1895 Tower Drive'}","{'@type': 'GeoCoordinates', 'latitude': 42.0894063, 'longitude': -87.82413869999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '43'}"
Andrew's Open Pit and Spirits,https://www.ubereats.com/chicago/food-delivery/andrews-open-pit-and-spirits/QQwhac9ITNKSI-2PU17wng,morton-grove-illinois,"['American', 'Sandwich', 'Desserts', 'Family Meals']",4.3,51,$,42.040121,-87.859203,+18478243800,60068,2610 Dempster St,Park Ridge,Illinois,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Park Ridge', 'addressRegion': 'Illinois', 'postalCode': '60068', 'addressCountry': 'US', 'streetAddress': '2610 Dempster St'}","{'@type': 'GeoCoordinates', 'latitude': 42.040121, 'longitude': -87.859203}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '51'}"
Nick's Drive-In,https://www.ubereats.com/chicago/food-delivery/nicks-drive-in/Vob26PC3SXeRZjVyDUHz2A,morton-grove-illinois,"['American', 'Burgers', 'Sandwich', 'Seafood', 'BBQ']",,,$$,42.0122817,-87.8070884,+17736315045,60631,7216 N Harlem Ave,Chicago,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chicago', 'addressRegion': 'IL', 'postalCode': '60631', 'addressCountry': 'US', 'streetAddress': '7216 N Harlem Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.0122817, 'longitude': -87.8070884}",{}
"California Pizza Kitchen (4999 Old Orchard Road, Suite G-2)",https://www.ubereats.com/chicago/food-delivery/california-pizza-kitchen-4999-old-orchard-road-suite-g-2/5AmJ96PkTpqNchAok8T2gQ,morton-grove-illinois,"['American', 'Comfort Food', 'Dinner', 'pasta', 'pizza', 'salad', 'Soup', 'Family Meals']",4.7,99,$$,42.06193112519905,-87.74823745041265,+18476731144,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '15:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.06193112519905, 'longitude': -87.74823745041265}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '99'}"
AOK Gourmet,https://www.ubereats.com/chicago/food-delivery/aok-gourmet/8TvFTF79S9uGe15XpmdlJw,morton-grove-illinois,"['American', 'Sandwiches']",,,$,42.0631872,-87.7695277,+18479659440,60077,5750 Old Orchard Rd,Skokie,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '13:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Skokie', 'addressRegion': 'IL', 'postalCode': '60077', 'addressCountry': 'US', 'streetAddress': '5750 Old Orchard Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.0631872, 'longitude': -87.7695277}",{}
Sheba Mediterranean & Yemen,https://www.ubereats.com/chicago/food-delivery/sheba-mediterranean-%26-yemen/ain7HIcNTOaxxkq9YrbGxA,morton-grove-illinois,['Mediterranean'],,,$$,41.9979722,-87.6888924,+17734699461,60645,6410 N Claremont Ave,Chicago,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '12:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chicago', 'addressRegion': 'IL', 'postalCode': '60645', 'addressCountry': 'US', 'streetAddress': '6410 N Claremont Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.9979722, 'longitude': -87.6888924}",{}
La Michoacana Plus Crepes,https://www.ubereats.com/chicago/food-delivery/la-michoacana-plus-crepes/gjfuzeOFR0m4x1Y_0qViwQ,morton-grove-illinois,"['Desserts', 'Sandwich', 'Ice Cream and Frozen Yogurt']",4.7,55,$$,42.023438,-87.9010701,+18473877337,60016,921 E Oakton St,Des Plaines,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Des Plaines', 'addressRegion': 'IL', 'postalCode': '60016', 'addressCountry': 'US', 'streetAddress': '921 E Oakton St'}","{'@type': 'GeoCoordinates', 'latitude': 42.023438, 'longitude': -87.9010701}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '55'}"
Sushi Cafe Hanah,https://www.ubereats.com/chicago/food-delivery/sushi-cafe-hanah/bpNGmKJQTXW2AqgpoHjjxA,morton-grove-illinois,['Sushi'],4.8,57,$,42.026039,-87.750441,+18474107593,60077,4907 Oakton St,Skokie,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Skokie', 'addressRegion': 'IL', 'postalCode': '60077', 'addressCountry': 'US', 'streetAddress': '4907 Oakton St'}","{'@type': 'GeoCoordinates', 'latitude': 42.026039, 'longitude': -87.750441}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '57'}"
The Halal Guys - 3616 Touhy Ave,https://www.ubereats.com/chicago/food-delivery/the-halal-guys-3616-touhy-ave/JIjkDQGFT9ivUx5NHJ4Ulw,morton-grove-illinois,"['Middle Eastern', 'Halal']",4.5,31,$,42.012200133277965,-87.71940564463173,+18479838989,60712,3616 Touhy Ave,Lincolnwood,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lincolnwood', 'addressRegion': 'IL', 'postalCode': '60712', 'addressCountry': 'US', 'streetAddress': '3616 Touhy Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.012200133277965, 'longitude': -87.71940564463173}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '31'}"
