name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Smoothie King (Lilburn),https://www.ubereats.com/atlanta/food-delivery/smoothie-king-lilburn/WqmoCJPRSQWRMHxG-fgZ5Q,mountain-park-georgia,['Juice and Smoothies'],,,$,33.8298,-84.0942,+17707369334,30047,4747 Stone Mountain Hwy,Lilburn,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '7:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '7:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '9:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '7:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lilburn', 'addressRegion': 'GA', 'postalCode': '30047', 'addressCountry': 'US', 'streetAddress': '4747 Stone Mountain Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 33.8298, 'longitude': -84.0942}",{}
Hibachi,https://www.ubereats.com/atlanta/food-delivery/hibachi/8nF6NzC-TOCxYVGXT47mcw,mountain-park-georgia,"['Asian Fusion', 'Chinese']",4.5,75,$$,33.9627751,-84.2074993,+17702638983,30092,3230 Medlock Bridge Rd,Norcross,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '21:20'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '21:20'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '21:20'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '21:20'}]","{'@type': 'PostalAddress', 'addressLocality': 'Norcross', 'addressRegion': 'GA', 'postalCode': '30092', 'addressCountry': 'US', 'streetAddress': '3230 Medlock Bridge Rd'}","{'@type': 'GeoCoordinates', 'latitude': 33.9627751, 'longitude': -84.2074993}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '75'}"
Atlanta Seafood Company,https://www.ubereats.com/atlanta/food-delivery/atlanta-seafood-company/ou9FemZtT8O4YMoq2H5w3w,mountain-park-georgia,"['Seafood', 'Wings', 'American']",,,$,33.7351951,-84.0873,+17708738598,30058,1898 Rock Chapel Rd,Lithonia,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lithonia', 'addressRegion': 'GA', 'postalCode': '30058', 'addressCountry': 'US', 'streetAddress': '1898 Rock Chapel Rd'}","{'@type': 'GeoCoordinates', 'latitude': 33.7351951, 'longitude': -84.0873}",{}
Italian Pie (Lilburn),https://www.ubereats.com/atlanta/food-delivery/italian-pie-lilburn/1TXr9DK3RkylWenCsrIXOA,mountain-park-georgia,"['Pizza', 'Italian']",4.6,221,$,33.910943,-84.132132,+16782926404,30071,745 Beaver Ruin Rd,Norcross,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Norcross', 'addressRegion': 'GA', 'postalCode': '30071', 'addressCountry': 'US', 'streetAddress': '745 Beaver Ruin Rd'}","{'@type': 'GeoCoordinates', 'latitude': 33.910943, 'longitude': -84.132132}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '221'}"
New Orleans Seafood & Wings,https://www.ubereats.com/atlanta/food-delivery/new-orleans-seafood-%26-wings/0UTFf9X6SDaRjG-mbEg0yA,mountain-park-georgia,"['Seafood', 'Chicken', 'American', 'Family Meals']",4.4,419,$$,33.78394100000001,-84.1011443,+16783430745,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 33.78394100000001, 'longitude': -84.1011443}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '419'}"
The Freakin Incan,https://www.ubereats.com/atlanta/food-delivery/the-freakin-incan/kb-91imxQmGPGYQxFEg2ug,mountain-park-georgia,"['Peruvian', 'Latin American', 'Seafood']",,,$,33.8528393,-84.2146229,+17706096633,30084,2316 Main St Ste C,Tucker,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '0:1'}]","{'@type': 'PostalAddress', 'addressLocality': 'Tucker', 'addressRegion': 'GA', 'postalCode': '30084', 'addressCountry': 'US', 'streetAddress': '2316 Main St Ste C'}","{'@type': 'GeoCoordinates', 'latitude': 33.8528393, 'longitude': -84.2146229}",{}
imperial  Chinese  garden,https://www.ubereats.com/atlanta/food-delivery/imperial-chinese-garden/JcNiHhnVTFuvJNXFfYe2Vg,mountain-park-georgia,"['Chinese: Other', 'Thai']",,,,33.843709,-84.132588,+16786879772,30087,1163 Rockbridge Rd SW,Stone Mountain,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Stone Mountain', 'addressRegion': 'GA', 'postalCode': '30087', 'addressCountry': 'US', 'streetAddress': '1163 Rockbridge Rd SW'}","{'@type': 'GeoCoordinates', 'latitude': 33.843709, 'longitude': -84.132588}",{}
Hardees (1506285),https://www.ubereats.com/atlanta/food-delivery/hardees-1506285/8--JOkZkSqqJQ7lAuxl2BA,mountain-park-georgia,"['American', 'Breakfast and Brunch', 'Burgers', 'Chicken', 'Fast Food', 'Sandwich']",4.2,100,$,33.83258809999999,-84.1981764,+16782454067,30083,1727 Mountain Industrial Blvd.,Tucker,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '10:44'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:45', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '5:0', 'closes': '10:14'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:15', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '5:0', 'closes': '10:44'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:45', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Tucker', 'addressRegion': 'GA', 'postalCode': '30083', 'addressCountry': 'US', 'streetAddress': '1727 Mountain Industrial Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 33.83258809999999, 'longitude': -84.1981764}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '100'}"
Deana's Burgers Joint,https://www.ubereats.com/atlanta/food-delivery/deanas-burgers-joint/cjrCe78qQWuQCITRV8bA6A,mountain-park-georgia,"['American', 'Burgers', 'Family Meals']",4.9,27,$$,33.8404526,-84.0331016,+17709721131,30078,2595 Highpoint Rd,Snellville,Georgia,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Snellville', 'addressRegion': 'Georgia', 'postalCode': '30078', 'addressCountry': 'US', 'streetAddress': '2595 Highpoint Rd'}","{'@type': 'GeoCoordinates', 'latitude': 33.8404526, 'longitude': -84.0331016}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '27'}"
Pho.com (Lawrenceville),https://www.ubereats.com/atlanta/food-delivery/phocom-lawrenceville/xlF6sg9-TsqPbBAD4OYeIg,mountain-park-georgia,['Asian'],4.8,165,$,33.8991,-84.0043,+16784047726,30045,1250 Scenic Hwy S,Lawrenceville,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '20:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '20:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '15:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lawrenceville', 'addressRegion': 'GA', 'postalCode': '30045', 'addressCountry': 'US', 'streetAddress': '1250 Scenic Hwy S'}","{'@type': 'GeoCoordinates', 'latitude': 33.8991, 'longitude': -84.0043}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '165'}"
