name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Sonic (45231 Hayes Rd),https://www.ubereats.com/detroit/food-delivery/sonic-45231-hayes-rd/qX2iEURITnO7PELhAmzSTA,mt-clemens-michigan,"['Breakfast and Brunch', 'American', 'Burgers']",4.3,48,$,42.629691,-82.974087,+15865664040,48315,45231 Hayes Rd,Shelby Charter Township,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Shelby Charter Township', 'addressRegion': 'MI', 'postalCode': '48315', 'addressCountry': 'US', 'streetAddress': '45231 Hayes Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.629691, 'longitude': -82.974087}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '48'}"
"Qdoba Mexican Grill (15099 Hall Rd,)",https://www.ubereats.com/detroit/food-delivery/qdoba-mexican-grill-15099-hall-rd/8r5fFHIFSYSie31LNe6SVw,mt-clemens-michigan,"['Mexican', 'Family Meals']",3.9,60,$,42.6282811,-82.97607119999999,+15865320087,48315,15099 Hall Rd,Shelby Township,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Shelby Township', 'addressRegion': 'MI', 'postalCode': '48315', 'addressCountry': 'US', 'streetAddress': '15099 Hall Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.6282811, 'longitude': -82.97607119999999}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '60'}"
Captains Deli,https://www.ubereats.com/detroit/food-delivery/captains-deli/HV9PmlT8TiG_0VoskO7WzQ,mt-clemens-michigan,"['Pizza', 'Sandwich', 'Salads']",,,,42.5924449,-82.8535873,+15864683066,48045,25450 N River Rd,Harrison charter Township,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Harrison charter Township', 'addressRegion': 'MI', 'postalCode': '48045', 'addressCountry': 'US', 'streetAddress': '25450 N River Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.5924449, 'longitude': -82.8535873}",{}
Juan Miguel's,https://www.ubereats.com/detroit/food-delivery/juan-miguels/2f2djwdVQvK-fjaTieqM_A,mt-clemens-michigan,"['Mexican', 'Latin American', 'New Mexican']",,,$,42.627773,-82.9040188,+15867839751,48038,21342 Hall Rd,Clinton Township,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Clinton Township', 'addressRegion': 'MI', 'postalCode': '48038', 'addressCountry': 'US', 'streetAddress': '21342 Hall Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.627773, 'longitude': -82.9040188}",{}
J. Baldwin's,https://www.ubereats.com/detroit/food-delivery/j-baldwins/5a5vwhn5RT-S-__XtcflCQ,mt-clemens-michigan,"['Burgers', 'American', 'Sandwiches']",,,$,42.599027,-82.95063499999999,+15864163500,48038,16981 18 Mile Rd,Clinton Township,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Clinton Township', 'addressRegion': 'MI', 'postalCode': '48038', 'addressCountry': 'US', 'streetAddress': '16981 18 Mile Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.599027, 'longitude': -82.95063499999999}",{}
Seeburger's Cheeseburgers - New Baltimore,https://www.ubereats.com/detroit/food-delivery/seeburgers-cheeseburgers-new-baltimore/hiwHT3bvR_ytCYq50uwKaA,mt-clemens-michigan,"['Burgers', 'Sandwich', 'American']",,,$,42.6765349,-82.74959009999999,+15862737160,48047,35351 23 Mile Rd,New Baltimore,Michigan,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Baltimore', 'addressRegion': 'Michigan', 'postalCode': '48047', 'addressCountry': 'US', 'streetAddress': '35351 23 Mile Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.6765349, 'longitude': -82.74959009999999}",{}
Sonic (40257 S Groesbeck Hwy),https://www.ubereats.com/detroit/food-delivery/sonic-40257-s-groesbeck-hwy/KFqwlmFXRiecPWyFpx91wQ,mt-clemens-michigan,"['Breakfast and Brunch', 'Burgers', 'American']",4.5,10,$,42.594622,-82.90109,+15864631030,48036,40257 S Groesbeck Hwy,Clinton Township,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Clinton Township', 'addressRegion': 'MI', 'postalCode': '48036', 'addressCountry': 'US', 'streetAddress': '40257 S Groesbeck Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 42.594622, 'longitude': -82.90109}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '10'}"
Jayell Smoke House,https://www.ubereats.com/detroit/food-delivery/jayell-smoke-house/L9HyANkZS6WAGPU37JLzOA,mt-clemens-michigan,"['BBQ', 'American', 'Burgers']",,,$,42.657813,-82.8454735,+15862953350,48051,48712 Gratiot Ave,New Baltimore,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Baltimore', 'addressRegion': 'MI', 'postalCode': '48051', 'addressCountry': 'US', 'streetAddress': '48712 Gratiot Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.657813, 'longitude': -82.8454735}",{}
Giuseppe’s restaurant ,https://www.ubereats.com/detroit/food-delivery/giuseppes-restaurant/skdUCKN9SYGHTEK0E157pA,mt-clemens-michigan,"['Italian', 'Salads', 'Pasta', 'Allergy Friendly']",4.6,21,$$,42.66131499999999,-82.843097,+15869484900,48051,49120 Gratiot Ave,New Baltimore,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Baltimore', 'addressRegion': 'MI', 'postalCode': '48051', 'addressCountry': 'US', 'streetAddress': '49120 Gratiot Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.66131499999999, 'longitude': -82.843097}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '21'}"
Slaw Dogz,https://www.ubereats.com/detroit/food-delivery/slaw-dogz/aIEtrfchSsGT7xsZwQwopA,mt-clemens-michigan,"['Burgers', 'American', 'Sandwiches']",,,$,42.55962559999999,-82.87019819999999,+15868463907,48035,35660 Harper Ave,Clinton Township,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Clinton Township', 'addressRegion': 'MI', 'postalCode': '48035', 'addressCountry': 'US', 'streetAddress': '35660 Harper Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.55962559999999, 'longitude': -82.87019819999999}",{}
