name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Saola - Pho Pho Pho,https://www.ubereats.com/salt-lake-city/food-delivery/saola-pho-pho-pho/Lk2-Q1o4R02OqS2RHcprKQ,murray-utah,"['Vietnamese', 'Gluten Free Friendly', 'Seafood', 'Comfort Food', 'Asian', 'American', 'Chinese', 'Vegan Friendly', 'Thai', 'Sandwich', 'Korean', 'Coffee and Tea', 'Salads']",4.8,10,$,40.61849219999999,-111.7911726,+18019442949,84121,7307 Canyon Centre Pkwy,Salt Lake City,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '23:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salt Lake City', 'addressRegion': 'UT', 'postalCode': '84121', 'addressCountry': 'US', 'streetAddress': '7307 Canyon Centre Pkwy'}","{'@type': 'GeoCoordinates', 'latitude': 40.61849219999999, 'longitude': -111.7911726}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '10'}"
Zabb Noodles,https://www.ubereats.com/salt-lake-city/food-delivery/zabb-noodles/ykLMEfPNRQK8VVj2GwA9vw,murray-utah,['Thai'],,,$$,40.699478,-111.886261,+13852427605,84115,168 E 3300 S,South Salt Lake,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '15:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'South Salt Lake', 'addressRegion': 'UT', 'postalCode': '84115', 'addressCountry': 'US', 'streetAddress': '168 E 3300 S'}","{'@type': 'GeoCoordinates', 'latitude': 40.699478, 'longitude': -111.886261}",{}
Hot Dog On A Stick (3601 S 2700 W),https://www.ubereats.com/salt-lake-city/food-delivery/hot-dog-on-a-stick-3601-s-2700-w/Rt3pXJ_GS56xi9GC3hbuKw,murray-utah,"['Fast Food', 'American', 'Hot Dog']",,,$,40.6944498,-111.957899,+18016942079,84119,3601 S 2700 W #E118,West Valley City,CA,[],"{'@type': 'PostalAddress', 'addressLocality': 'West Valley City', 'addressRegion': 'CA', 'postalCode': '84119', 'addressCountry': 'US', 'streetAddress': '3601 S 2700 W #E118'}","{'@type': 'GeoCoordinates', 'latitude': 40.6944498, 'longitude': -111.957899}",{}
Ying's Thai - Sushi,https://www.ubereats.com/salt-lake-city/food-delivery/yings-thai-sushi/_UMvi3cVTGC5lELn4HeVIQ,murray-utah,[],4.4,16,$$,40.5804054,-111.8740458,+18019994321,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '17:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '22:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.5804054, 'longitude': -111.8740458}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '16'}"
Fiiz Drinks Sandy,https://www.ubereats.com/salt-lake-city/food-delivery/fiiz-drinks-sandy/kSTMvo8IQYyiasJFSkMeng,murray-utah,"['Ice Cream and Frozen Yogurt', 'Kids Friendly', 'Desserts', 'Coffee and Tea']",,,$,40.6079306,-111.8549442,+3855574993,84094,7910 S 1300 E,Sandy,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '7:30', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sandy', 'addressRegion': 'UT', 'postalCode': '84094', 'addressCountry': 'US', 'streetAddress': '7910 S 1300 E'}","{'@type': 'GeoCoordinates', 'latitude': 40.6079306, 'longitude': -111.8549442}",{}
Applebee's (3736 W. 7800 South),https://www.ubereats.com/salt-lake-city/food-delivery/applebees-3736-w-7800-south/44Q2LsDiR722JsT2tNjtRg,murray-utah,"['American', 'Bar Food', 'BBQ', 'burger', 'Chicken Strips', 'Comfort Food', 'Dinner', 'pasta', 'salad', 'Sandwich', 'Soup', 'Steak', 'Traditional American', 'wings', 'Family Meals']",4.4,128,$$,40.6100201,-111.9797084,+18012806699,84088,3736 W 7800 S,W. Jordan,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:29'}]","{'@type': 'PostalAddress', 'addressLocality': 'W. Jordan', 'addressRegion': 'UT', 'postalCode': '84088', 'addressCountry': 'US', 'streetAddress': '3736 W 7800 S'}","{'@type': 'GeoCoordinates', 'latitude': 40.6100201, 'longitude': -111.9797084}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '128'}"
"Capriotti's (6002 South State St, Murray)",https://www.ubereats.com/salt-lake-city/food-delivery/capriottis-6002-south-state-st-murray/S3pPCImARJ-wvFGW_ke2ZQ,murray-utah,"['Sandwich', 'Salads', 'Vegetarian Friendly']",4.9,31,$,40.6399347,-111.8893857,+13854253111,84107,6002 South State St,Murray,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '17:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Murray', 'addressRegion': 'UT', 'postalCode': '84107', 'addressCountry': 'US', 'streetAddress': '6002 South State St'}","{'@type': 'GeoCoordinates', 'latitude': 40.6399347, 'longitude': -111.8893857}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '31'}"
Siam Orchid,https://www.ubereats.com/salt-lake-city/food-delivery/siam-orchid/D2cw-jL1T8G9AkADs6L2bg,murray-utah,"['Thai', 'Asian', 'South East Asian']",4.6,200,$$,40.675714,-111.865551,+18012667899,84124,4410 South 900 East,Millcreek,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:50'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:50'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '21:50'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '13:0', 'closes': '21:50'}]","{'@type': 'PostalAddress', 'addressLocality': 'Millcreek', 'addressRegion': 'UT', 'postalCode': '84124', 'addressCountry': 'US', 'streetAddress': '4410 South 900 East'}","{'@type': 'GeoCoordinates', 'latitude': 40.675714, 'longitude': -111.865551}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '200'}"
Aubergine and Company (Sugar House),https://www.ubereats.com/salt-lake-city/food-delivery/aubergine-and-company-sugar-house/KyqfiEIKS629b2aMujOyCg,murray-utah,"['Healthy', 'Vegetarian', 'Salads', 'Family Meals']",4.9,17,$,40.7245008,-111.8598021,+18014874321,84106,2122 S Highland Dr,Salt Lake City,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salt Lake City', 'addressRegion': 'UT', 'postalCode': '84106', 'addressCountry': 'US', 'streetAddress': '2122 S Highland Dr'}","{'@type': 'GeoCoordinates', 'latitude': 40.7245008, 'longitude': -111.8598021}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '17'}"
Joe's Crab Shack (65 E 9400 S),https://www.ubereats.com/salt-lake-city/food-delivery/joes-crab-shack-65-e-9400-s/WBqZkprVQCyqVzBhU6od1Q,murray-utah,['Seafood'],,,$$,40.58163533687295,-111.88867386850904,+18012559571,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '23:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.58163533687295, 'longitude': -111.88867386850904}",{}
