name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Chicken Now,https://www.ubereats.com/manchester-nh/food-delivery/chicken-now/Upl0rrI5R029dKLn8BuGng,nashua-new-hampshire,"['Chicken', 'American']",,,$$,42.8257694,-71.5009365,+16037180030,03054,80 Premium Outlets Blvd,Merrimack,New Hampshire,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Merrimack', 'addressRegion': 'New Hampshire', 'postalCode': '03054', 'addressCountry': 'US', 'streetAddress': '80 Premium Outlets Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 42.8257694, 'longitude': -71.5009365}",{}
Pizza Hut (199 Daniel Webster Hwy),https://www.ubereats.com/manchester-nh/food-delivery/pizza-hut-199-daniel-webster-hwy/7gv5TUKDR261G2k-KpObbA,nashua-new-hampshire,"['Fast Food', 'Italian', 'pizza', 'wings']",4.5,42,$,42.7159846,-71.443248,+16038883553,3060,199 Daniel Webster Hwy S,Nashua,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Nashua', 'addressRegion': 'NH', 'postalCode': '3060', 'addressCountry': 'US', 'streetAddress': '199 Daniel Webster Hwy S'}","{'@type': 'GeoCoordinates', 'latitude': 42.7159846, 'longitude': -71.443248}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '42'}"
Pasquale Ristorante & Pizzeria,https://www.ubereats.com/manchester-nh/food-delivery/pasquale-ristorante-%26-pizzeria/iUqZW5Z4SmeD3cKjCP24-g,nashua-new-hampshire,"['Italian', 'Pizza', 'Pasta']",4.7,20,$$,42.8544883,-71.3559716,+16034343093,3053,87 Nashua Rd,Londonderry,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Londonderry', 'addressRegion': 'NH', 'postalCode': '3053', 'addressCountry': 'US', 'streetAddress': '87 Nashua Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.8544883, 'longitude': -71.3559716}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '20'}"
Moe's Southwest Grill (256 Daniel Webster Highway),https://www.ubereats.com/manchester-nh/food-delivery/moes-southwest-grill-256-daniel-webster-highway/iBNfn7yfQeW_OcBmwSwnUg,nashua-new-hampshire,"['Mexican', 'Fast Food', 'Salads']",,,$,42.7078997,-71.4406042,+14135373101,,,,,[],,"{'@type': 'GeoCoordinates', 'latitude': 42.7078997, 'longitude': -71.4406042}",{}
Five Guys NH-0466 341 Amherst St,https://www.ubereats.com/manchester-nh/food-delivery/five-guys-nh-0466-341-amherst-st/pX8YPvJARLmKgyg7sblCGA,nashua-new-hampshire,"['American', 'Burgers', 'Sandwich']",4.7,97,$,42.7830689,-71.5033526,+16035897881,3063,341-345 Amherst St,Nashua,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Nashua', 'addressRegion': 'NH', 'postalCode': '3063', 'addressCountry': 'US', 'streetAddress': '341-345 Amherst St'}","{'@type': 'GeoCoordinates', 'latitude': 42.7830689, 'longitude': -71.5033526}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '97'}"
The Ice Cream Shop ,https://www.ubereats.com/manchester-nh/food-delivery/the-ice-cream-shop/vO-coabkSwyzZ4fXUj2Oag,nashua-new-hampshire,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,42.7646233,-71.44108489999999,+16038809275,3051,18 Ferry St.,Hudson,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hudson', 'addressRegion': 'NH', 'postalCode': '3051', 'addressCountry': 'US', 'streetAddress': '18 Ferry St.'}","{'@type': 'GeoCoordinates', 'latitude': 42.7646233, 'longitude': -71.44108489999999}",{}
MAZA Mediterranean Grill,https://www.ubereats.com/manchester-nh/food-delivery/maza-mediterranean-grill/tK7JigS6RA6L0P4q8FMYuQ,nashua-new-hampshire,['Mediterranean'],4.5,31,$,42.7065705,-71.4406042,+16038887500,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.7065705, 'longitude': -71.4406042}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '31'}"
Espresso Pizza,https://www.ubereats.com/manchester-nh/food-delivery/espresso-pizza/yTIwQHz5QPeby3Bsy4BJlg,nashua-new-hampshire,"['Italian', 'Pizza', 'Fast Food', 'Vegetarian Friendly']",4.7,13,$,42.762464,-71.46633369999999,+16038899826,03060,85 Main St,Nashua,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Nashua', 'addressRegion': 'NH', 'postalCode': '03060', 'addressCountry': 'US', 'streetAddress': '85 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 42.762464, 'longitude': -71.46633369999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '13'}"
Dunkin' (42 Main St),https://www.ubereats.com/manchester-nh/food-delivery/dunkin-42-main-st/yiTYo2aBRXu1okQ3_LsNmA,nashua-new-hampshire,"['Breakfast and Brunch', 'Donuts']",4.3,32,$,42.76420819999999,-71.4660435,+16038899500,3060,42 Main St,Nashua,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '4:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '5:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '4:30', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Nashua', 'addressRegion': 'NH', 'postalCode': '3060', 'addressCountry': 'US', 'streetAddress': '42 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 42.76420819999999, 'longitude': -71.4660435}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '32'}"
Dunkin' (80 Continental Blvd),https://www.ubereats.com/manchester-nh/food-delivery/dunkin-80-continental-blvd/fJD0JyMmSACmCnUPjjtLFA,nashua-new-hampshire,"['Breakfast and Brunch', 'Donuts']",,,$,42.825708,-71.5122329,+16034248512,3054,80 Continental Blvd,Merrimack,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '5:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '5:30', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '5:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Merrimack', 'addressRegion': 'NH', 'postalCode': '3054', 'addressCountry': 'US', 'streetAddress': '80 Continental Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 42.825708, 'longitude': -71.5122329}",{}
