name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Plainville Pizza,https://www.ubereats.com/connecticut/food-delivery/plainville-pizza/BK8uzne5S0ya-6_LTprwZg,new-britain-connecticut,['Pizza'],,,$,41.67089,-72.86898,+18607471111,06062,54 W Main St,Plainville,Connecticut,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Plainville', 'addressRegion': 'Connecticut', 'postalCode': '06062', 'addressCountry': 'US', 'streetAddress': '54 W Main St'}","{'@type': 'GeoCoordinates', 'latitude': 41.67089, 'longitude': -72.86898}",{}
Jackie's Gourmet Caribbean Restaurant,https://www.ubereats.com/connecticut/food-delivery/jackies-gourmet-caribbean-restaurant/OZUYUkmxT7-byhQM3FqZnA,new-britain-connecticut,"['Caribbean', 'Seafood', 'Latin American']",4.6,15,$,41.6738347,-72.8044858,+18602241467,06053,1483 Corbin Ave 1,New Britain,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Britain', 'addressRegion': 'CT', 'postalCode': '06053', 'addressCountry': 'US', 'streetAddress': '1483 Corbin Ave 1'}","{'@type': 'GeoCoordinates', 'latitude': 41.6738347, 'longitude': -72.8044858}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '15'}"
Cora Cora Restaurant,https://www.ubereats.com/connecticut/food-delivery/cora-cora-restaurant/Vrv_k_LySrK--_XgdY-ksQ,new-britain-connecticut,"['Peruvian', 'Latin American', 'Seafood', 'Family Meals']",4.7,221,$$,41.728673,-72.72086,+18609532672,06110-1940,162 Shield St,West Hartford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Hartford', 'addressRegion': 'CT', 'postalCode': '06110-1940', 'addressCountry': 'US', 'streetAddress': '162 Shield St'}","{'@type': 'GeoCoordinates', 'latitude': 41.728673, 'longitude': -72.72086}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '221'}"
Pita Souvlaki,https://www.ubereats.com/connecticut/food-delivery/pita-souvlaki/pxd8DWOeR4-kfMXGu5Ff_A,new-britain-connecticut,"['Greek', 'Mediterranean']",,,$,41.7361755,-72.6747561,+12037150662,06114,476 Franklin Avenue,Hartford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '9:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hartford', 'addressRegion': 'CT', 'postalCode': '06114', 'addressCountry': 'US', 'streetAddress': '476 Franklin Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 41.7361755, 'longitude': -72.6747561}",{}
Buffalo Wild Wings (774 Queen St),https://www.ubereats.com/connecticut/food-delivery/buffalo-wild-wings-774-queen-st/B0NKXInuSXScYPANc4pFnw,new-britain-connecticut,"['wings', 'Chicken', 'Comfort Food']",4.1,131,$$,41.6379746,-72.8751429,+18608635144,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.6379746, 'longitude': -72.8751429}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '131'}"
Chosen 1 Seafood,https://www.ubereats.com/connecticut/food-delivery/chosen-1-seafood/S-KCa3KlT4uUMRSDmQyfkQ,new-britain-connecticut,"['Seafood', 'American', 'Southern']",4.0,111,$,41.82909319999999,-72.7319835,+19598882598,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:15', 'closes': '20:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.82909319999999, 'longitude': -72.7319835}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '111'}"
OC Kitchen-Bar,https://www.ubereats.com/connecticut/food-delivery/oc-kitchen-bar/6iQIsq9YSeilm0koRpLrRA,new-britain-connecticut,"['Italian', 'Pasta', 'Comfort Food']",,,$,41.66333909999999,-72.6395522,+18607858433,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.66333909999999, 'longitude': -72.6395522}",{}
The Ice Cream Shop,https://www.ubereats.com/connecticut/food-delivery/the-ice-cream-shop/9onUKOrSRH-mg2068rx8wA,new-britain-connecticut,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,41.6529433,-72.7739525,+18605058288,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:59'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.6529433, 'longitude': -72.7739525}",{}
Dunkin' (767 Cromwell Ave),https://www.ubereats.com/connecticut/food-delivery/dunkin-767-cromwell-ave/izdLisNKTMqFfBEgr6jL7g,new-britain-connecticut,"['Breakfast and Brunch', 'Donuts']",4.9,14,$,41.6497791,-72.6793955,+18604362405,6067,767 Cromwell Ave,Rocky Hill,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '4:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rocky Hill', 'addressRegion': 'CT', 'postalCode': '6067', 'addressCountry': 'US', 'streetAddress': '767 Cromwell Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.6497791, 'longitude': -72.6793955}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '14'}"
NY Chicken,https://www.ubereats.com/connecticut/food-delivery/ny-chicken/3x6m9JQoRjKYgsKVBc_1zA,new-britain-connecticut,['Chicken'],4.6,165,$,41.768157,-72.694574,+18605481107,06105,202 Farmington Ave,Hartford,Connecticut,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '4:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '0:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:0', 'closes': '4:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hartford', 'addressRegion': 'Connecticut', 'postalCode': '06105', 'addressCountry': 'US', 'streetAddress': '202 Farmington Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.768157, 'longitude': -72.694574}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '165'}"
