name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Popeyes (3191 State Road 44),https://www.ubereats.com/daytona-beach/food-delivery/popeyes-3191-state-road-44/hdNJsu3ARgSvrsvyMDYRBw,new-smyrna-beach-florida,"['American', 'Fast Food', 'Comfort Food', 'Family Meals']",,,$,29.01242629999999,-81.01268979999999,+13864101660,32168,3191 State Road 44,Orlando,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orlando', 'addressRegion': 'Florida', 'postalCode': '32168', 'addressCountry': 'US', 'streetAddress': '3191 State Road 44'}","{'@type': 'GeoCoordinates', 'latitude': 29.01242629999999, 'longitude': -81.01268979999999}",{}
Bostons Fish House,https://www.ubereats.com/daytona-beach/food-delivery/bostons-fish-house/XwRbmY9lRUCLszZbaCYMUg,new-smyrna-beach-florida,"['Seafood', 'American', 'Southern']",4.6,100,$,29.02805,-80.89125589999999,+13864240757,32169,1414 S Atlantic Ave Ste E,New Smyrna Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Smyrna Beach', 'addressRegion': 'FL', 'postalCode': '32169', 'addressCountry': 'US', 'streetAddress': '1414 S Atlantic Ave Ste E'}","{'@type': 'GeoCoordinates', 'latitude': 29.02805, 'longitude': -80.89125589999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '100'}"
No Name Saloon & Grill,https://www.ubereats.com/daytona-beach/food-delivery/no-name-saloon-%26-grill/DT5ZBUYrRau8O2xuRcSdtw,new-smyrna-beach-florida,"['American', 'Bar Food', 'Comfort Food']",4.2,74,$,28.969348,-80.893324,+13865474046,32141,2001 S Ridgewood Ave,Edgewater,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Edgewater', 'addressRegion': 'FL', 'postalCode': '32141', 'addressCountry': 'US', 'streetAddress': '2001 S Ridgewood Ave'}","{'@type': 'GeoCoordinates', 'latitude': 28.969348, 'longitude': -80.893324}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '74'}"
subz,https://www.ubereats.com/daytona-beach/food-delivery/subz/kqsgQpLhTZi7FbhRN7jVnQ,new-smyrna-beach-florida,"['Sandwiches', 'American', 'Healthy']",,,$,28.9664638,-80.8935073,+13864446493,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 28.9664638, 'longitude': -80.8935073}",{}
Go Juice,https://www.ubereats.com/daytona-beach/food-delivery/go-juice/_VGcdZx_RkqS2hioQSG63w,new-smyrna-beach-florida,"['Juice and Smoothies', 'Healthy']",5.0,24,$$,29.0384352,-80.90145009999999,+13864053843,32169,221 Flagler Ave,New Smyrna Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Smyrna Beach', 'addressRegion': 'FL', 'postalCode': '32169', 'addressCountry': 'US', 'streetAddress': '221 Flagler Ave'}","{'@type': 'GeoCoordinates', 'latitude': 29.0384352, 'longitude': -80.90145009999999}","{'@type': 'AggregateRating', 'ratingValue': 5, 'reviewCount': '24'}"
Chill-E-Dogs,https://www.ubereats.com/daytona-beach/food-delivery/chill-e-dogs/_-7WphjTQyyEw6TG8UM2yg,new-smyrna-beach-florida,['Sandwich'],4.7,21,$,29.004121,-80.913584,+13868478300,32132,613 N Ridgewood Ave,Edgewater,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Edgewater', 'addressRegion': 'Florida', 'postalCode': '32132', 'addressCountry': 'US', 'streetAddress': '613 N Ridgewood Ave'}","{'@type': 'GeoCoordinates', 'latitude': 29.004121, 'longitude': -80.913584}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '21'}"
C's Waffles (NSB),https://www.ubereats.com/daytona-beach/food-delivery/cs-waffles-nsb/E9pjGvSjTUK18rs7iLMn4Q,new-smyrna-beach-florida,"['American', 'Breakfast and Brunch']",,,$$,29.002171,-80.876599,+13866633915,32169,4166 S Atlantic Ave,New Smyrna Beach,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:45', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:45', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Smyrna Beach', 'addressRegion': 'Florida', 'postalCode': '32169', 'addressCountry': 'US', 'streetAddress': '4166 S Atlantic Ave'}","{'@type': 'GeoCoordinates', 'latitude': 29.002171, 'longitude': -80.876599}",{}
Pizza Hut (1616 S Dixie Fwy),https://www.ubereats.com/daytona-beach/food-delivery/pizza-hut-1616-s-dixie-fwy/Qh-4YFrkSHi-lLPrZkSa6w,new-smyrna-beach-florida,"['Fast Food', 'Italian', 'pizza', 'wings']",4.6,26,$,29.005872,-80.9171369,+13864275757,32168,1616 S Dixie Fwy,New Smyrna Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Smyrna Beach', 'addressRegion': 'FL', 'postalCode': '32168', 'addressCountry': 'US', 'streetAddress': '1616 S Dixie Fwy'}","{'@type': 'GeoCoordinates', 'latitude': 29.005872, 'longitude': -80.9171369}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '26'}"
Donnie's Donuts (New Smyrna),https://www.ubereats.com/daytona-beach/food-delivery/donnies-donuts-new-smyrna/VTCZmmBoQemIs5C56VbQ4A,new-smyrna-beach-florida,"['Desserts', 'Vegetarian', 'Coffee and Tea']",,,$,29.019004,-80.9351918,+13864104066,32168,1112 Canal St,New Smyrna Beach,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '13:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Smyrna Beach', 'addressRegion': 'Florida', 'postalCode': '32168', 'addressCountry': 'US', 'streetAddress': '1112 Canal St'}","{'@type': 'GeoCoordinates', 'latitude': 29.019004, 'longitude': -80.9351918}",{}
Papa John's (601 South Dixie Highway),https://www.ubereats.com/daytona-beach/food-delivery/papa-johns-601-south-dixie-highway/M2rSmNnfSUa10tlLuDAtcA,new-smyrna-beach-florida,"['Desserts', 'PIzza', 'Wings']",4.6,33,$$,29.019048,-80.923805,+13864267272,32168,601 South Dixie Highway,New Smyrna Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Smyrna Beach', 'addressRegion': 'FL', 'postalCode': '32168', 'addressCountry': 'US', 'streetAddress': '601 South Dixie Highway'}","{'@type': 'GeoCoordinates', 'latitude': 29.019048, 'longitude': -80.923805}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '33'}"
