name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Super Kennedy Fried Chicken (136 Lake Street),https://www.ubereats.com/nyc-suburbs/food-delivery/super-kennedy-fried-chicken-136-lake-street/9U4fdNpMTKW3MGyXK5C-1g,new-windsor-new-york,"['Comfort Food', 'American', 'Wings']",4.3,49,$,41.4968172,-74.0297678,+18455621013,12550,136 Lake St,Newburgh,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '1:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newburgh', 'addressRegion': 'NY', 'postalCode': '12550', 'addressCountry': 'US', 'streetAddress': '136 Lake St'}","{'@type': 'GeoCoordinates', 'latitude': 41.4968172, 'longitude': -74.0297678}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '49'}"
Don Fernando's Restaurant,https://www.ubereats.com/nyc-suburbs/food-delivery/don-fernandos-restaurant/2U8RCf5pRPCY2lJSRCfeYw,new-windsor-new-york,"['Latin American', 'Mexican', 'Vegetarian']",,,$,41.5012266,-74.0241941,+18455652909,12550,362 Broadway,Newburgh,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:30', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newburgh', 'addressRegion': 'NY', 'postalCode': '12550', 'addressCountry': 'US', 'streetAddress': '362 Broadway'}","{'@type': 'GeoCoordinates', 'latitude': 41.5012266, 'longitude': -74.0241941}",{}
Applebee's  (1205 Route 300),https://www.ubereats.com/nyc-suburbs/food-delivery/applebees-1205-route-300/srTMUbXbQyydnIA3Uu3P3g,new-windsor-new-york,"['American', 'Bar Food', 'BBQ', 'burger', 'Chicken Strips', 'Comfort Food', 'Dinner', 'pasta', 'salad', 'Sandwich', 'Soup', 'Steak', 'Traditional American', 'wings']",4.3,99,$$,41.4984056,-74.07219140000001,+18455670910,12550,1205 Route 300,Newburgh,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newburgh', 'addressRegion': 'NY', 'postalCode': '12550', 'addressCountry': 'US', 'streetAddress': '1205 Route 300'}","{'@type': 'GeoCoordinates', 'latitude': 41.4984056, 'longitude': -74.07219140000001}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '99'}"
Ms. Fairfax,https://www.ubereats.com/nyc-suburbs/food-delivery/ms-fairfax/Ssvxm2tBQ3-d8uB3abZgpQ,new-windsor-new-york,"['Desserts', 'American', 'Breakfast and Brunch', 'Pasta', 'Salads', 'Steak', 'Vegetarian Friendly', 'Healthy']",,,$,41.4986223,-74.0110309,+18455650169,12550,105 Liberty St,Newburgh,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newburgh', 'addressRegion': 'NY', 'postalCode': '12550', 'addressCountry': 'US', 'streetAddress': '105 Liberty St'}","{'@type': 'GeoCoordinates', 'latitude': 41.4986223, 'longitude': -74.0110309}",{}
Royal crepes,https://www.ubereats.com/nyc-suburbs/food-delivery/royal-crepes/2C-ZBRioS-uCGyC1SQntsQ,new-windsor-new-york,"['European', 'Modern European', 'Pastry', 'Desserts']",4.1,18,$,41.50563669999999,-73.97118689999999,+18454642604,12508,303 Main St,Beacon,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Beacon', 'addressRegion': 'NY', 'postalCode': '12508', 'addressCountry': 'US', 'streetAddress': '303 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 41.50563669999999, 'longitude': -73.97118689999999}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '18'}"
Eat Church,https://www.ubereats.com/nyc-suburbs/food-delivery/eat-church/XXOeEpEVSy60B3ApRdeyBQ,new-windsor-new-york,"['Burgers', 'American', 'Sandwiches']",,,$,41.516946,-73.9465929,+19172978676,12508,511 Fishkill Ave,Beacon,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Beacon', 'addressRegion': 'NY', 'postalCode': '12508', 'addressCountry': 'US', 'streetAddress': '511 Fishkill Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.516946, 'longitude': -73.9465929}",{}
Blend Smoothie and Salad Bar,https://www.ubereats.com/nyc-suburbs/food-delivery/blend-smoothie-and-salad-bar/GjPGTtNwTyGW5FiTngXx7g,new-windsor-new-york,"['Salads', 'American', 'Vegetarian']",,,$,41.5082787,-73.9767998,+18453131825,12508,135 Main Street,Beacon,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Beacon', 'addressRegion': 'NY', 'postalCode': '12508', 'addressCountry': 'US', 'streetAddress': '135 Main Street'}","{'@type': 'GeoCoordinates', 'latitude': 41.5082787, 'longitude': -73.9767998}",{}
Chipotle Mexican Grill (10 Westage Dr),https://www.ubereats.com/nyc-suburbs/food-delivery/chipotle-mexican-grill-10-westage-dr/f3Fx3IonSYqYleiv5D_c0g,new-windsor-new-york,"['Healthy', 'Mexican']",4.3,318,$,41.5274009,-73.8929355,+18458972694,12524,10 Westage Dr,Fishkill,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fishkill', 'addressRegion': 'NY', 'postalCode': '12524', 'addressCountry': 'US', 'streetAddress': '10 Westage Dr'}","{'@type': 'GeoCoordinates', 'latitude': 41.5274009, 'longitude': -73.8929355}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '318'}"
Toppings Frozen Yogurt,https://www.ubereats.com/nyc-suburbs/food-delivery/toppings-frozen-yogurt/cCuaXzJSQ6K3A9eRCUGE_w,new-windsor-new-york,"['Ice Cream & Frozen Yogurt', 'Comfort Food', 'Desserts']",4.5,43,$$,41.4666419,-74.0486035,+18452387462,12553,287 Windsor Hwy,New Windsor,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '14:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Windsor', 'addressRegion': 'NY', 'postalCode': '12553', 'addressCountry': 'US', 'streetAddress': '287 Windsor Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 41.4666419, 'longitude': -74.0486035}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '43'}"
Tito Santana Taqueria,https://www.ubereats.com/nyc-suburbs/food-delivery/tito-santana-taqueria/gajbpW3MR_Kcd25_WAgZCg,new-windsor-new-york,"['Mexican', 'Latin American', 'New Mexican']",4.5,12,$,41.50849770000001,-73.97665529999999,+18457652350,12508,142 Main St,Beacon,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Beacon', 'addressRegion': 'NY', 'postalCode': '12508', 'addressCountry': 'US', 'streetAddress': '142 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 41.50849770000001, 'longitude': -73.97665529999999}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '12'}"
