name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
First Watch (Newport News),https://www.ubereats.com/virginia-beach/food-delivery/first-watch-newport-news/lQDpnGWxQZKd8Naw8WEf7A,newport-news-virginia,"['American', 'Breakfast and Brunch', 'Juice and Smoothies', 'Healthy']",4.7,27,$$,37.1010396,-76.49073829999999,+17572499420,23606,12070 Jefferson Ave,Newport News,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '14:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newport News', 'addressRegion': 'VA', 'postalCode': '23606', 'addressCountry': 'US', 'streetAddress': '12070 Jefferson Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.1010396, 'longitude': -76.49073829999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '27'}"
Donutz On A Stick Ice Cream and Grill,https://www.ubereats.com/virginia-beach/food-delivery/donutz-on-a-stick-ice-cream-and-grill/Waatq--dRDaW6PLox0wxYQ,newport-news-virginia,"['Dessert: Other', 'Ice Cream and Frozen Yogurt', 'Burgers']",,,,37.1027569,-76.41878129999999,+12522670616,23693,2809 Hampton Hwy,Yorktown,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Yorktown', 'addressRegion': 'VA', 'postalCode': '23693', 'addressCountry': 'US', 'streetAddress': '2809 Hampton Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 37.1027569, 'longitude': -76.41878129999999}",{}
750-Bonefish Grill (340 Oyster Point Rd),https://www.ubereats.com/virginia-beach/food-delivery/750-bonefish-grill-340-oyster-point-rd/VHGDE7urSaOePVaCwAEFLw,newport-news-virginia,"['American', 'Seafood', 'Family Meals']",4.5,82,$$,37.10487020000001,-76.5086658,+17572690002,23602,340 Oyster Point Rd,Newport News,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newport News', 'addressRegion': 'VA', 'postalCode': '23602', 'addressCountry': 'US', 'streetAddress': '340 Oyster Point Rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.10487020000001, 'longitude': -76.5086658}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '82'}"
Luigi's Italian Restaurant,https://www.ubereats.com/virginia-beach/food-delivery/luigis-italian-restaurant/TM3q4j8cSQGYGhnQ3nsw8Q,newport-news-virginia,['Italian'],,,$$,37.1485437,-76.5518298,+17578722588,23608,15400 Warwick Blvd,Hampton Roads,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hampton Roads', 'addressRegion': 'VA', 'postalCode': '23608', 'addressCountry': 'US', 'streetAddress': '15400 Warwick Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 37.1485437, 'longitude': -76.5518298}",{}
Papa John's (901 Big Bethel Road),https://www.ubereats.com/virginia-beach/food-delivery/papa-johns-901-big-bethel-road/DDF3tHe_TeGn7k_qJoJ5Yw,newport-news-virginia,"['Desserts', 'PIzza', 'Wings']",4.6,28,$$,37.0425987,-76.42817079999999,+17578277272,23666,901 Big Bethel Road,Hampton,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:10'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hampton', 'addressRegion': 'VA', 'postalCode': '23666', 'addressCountry': 'US', 'streetAddress': '901 Big Bethel Road'}","{'@type': 'GeoCoordinates', 'latitude': 37.0425987, 'longitude': -76.42817079999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '28'}"
One Girl Desserts & Pasties ,https://www.ubereats.com/virginia-beach/food-delivery/one-girl-desserts-%26-pasties/mtUSWhUsQS6W3EfxH5eNmQ,newport-news-virginia,"['Bakery', 'Desserts', 'Comfort Food']",,,,37.18716850000001,-76.4852039,+17574058316,23692,7816 George Washington Memorial Highway,Yorktown,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '12:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Yorktown', 'addressRegion': 'VA', 'postalCode': '23692', 'addressCountry': 'US', 'streetAddress': '7816 George Washington Memorial Highway'}","{'@type': 'GeoCoordinates', 'latitude': 37.18716850000001, 'longitude': -76.4852039}",{}
Kebab House,https://www.ubereats.com/virginia-beach/food-delivery/kebab-house/UH8Qr6SqQbSEiTzvpq9ryQ,newport-news-virginia,['Mediterranean'],4.6,42,$,37.095698,-76.457843,+17572237311,23601,980 J Clyde Morris Blvd,Newport News,Virginia,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newport News', 'addressRegion': 'Virginia', 'postalCode': '23601', 'addressCountry': 'US', 'streetAddress': '980 J Clyde Morris Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 37.095698, 'longitude': -76.457843}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '42'}"
Chick-fil-A  (12423 Warwick Blvd),https://www.ubereats.com/virginia-beach/food-delivery/chick-fil-a-12423-warwick-blvd/WlmZCKZ9QoujFHeKeTeUFA,newport-news-virginia,"['American', 'Fried Chicken']",4.7,98,$,37.06976039999999,-76.4936973,+17575950316,23606,12423 Warwick Blvd,Newport News,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '10:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newport News', 'addressRegion': 'VA', 'postalCode': '23606', 'addressCountry': 'US', 'streetAddress': '12423 Warwick Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 37.06976039999999, 'longitude': -76.4936973}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '98'}"
Krispy Krunchy Chicken (15684 Warwick Blvd),https://www.ubereats.com/virginia-beach/food-delivery/krispy-krunchy-chicken-15684-warwick-blvd/_lYDGjgpQfCqEBXKMDvLqw,newport-news-virginia,"['Comfort Food', 'Fried Chicken', 'Traditional American', 'Wings']",,,$,37.166396399999996,-76.5584186,+17572438570,23608,15684 Warwick Blvd,Newport News,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newport News', 'addressRegion': 'VA', 'postalCode': '23608', 'addressCountry': 'US', 'streetAddress': '15684 Warwick Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 37.166396399999996, 'longitude': -76.5584186}",{}
The Cowboy Sports Grill,https://www.ubereats.com/virginia-beach/food-delivery/the-cowboy-sports-grill/YBrAiet5Qpaa-xt5oXTljQ,newport-news-virginia,"['Burgers', 'American', 'Sandwiches']",4.7,26,$,37.1699551,-76.4737316,+17578988500,23692,6401 George Washington Memorial Highway,Yorktown,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '11:1'}]","{'@type': 'PostalAddress', 'addressLocality': 'Yorktown', 'addressRegion': 'VA', 'postalCode': '23692', 'addressCountry': 'US', 'streetAddress': '6401 George Washington Memorial Highway'}","{'@type': 'GeoCoordinates', 'latitude': 37.1699551, 'longitude': -76.4737316}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '26'}"
