name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Mama Mia Pizzeria,https://www.ubereats.com/akron/food-delivery/mama-mia-pizzeria/OcVphiFuS_KRHXvMNXnW7A,north-canton-ohio,"['Italian', 'Pasta', 'Comfort Food']",4.3,14,$,40.8791673,-81.480139,+13303050099,44720,6783 Wales Ave,NORTH CANTON,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'NORTH CANTON', 'addressRegion': 'OH', 'postalCode': '44720', 'addressCountry': 'US', 'streetAddress': '6783 Wales Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.8791673, 'longitude': -81.480139}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '14'}"
Little Caesars (Cleveland Ave),https://www.ubereats.com/akron/food-delivery/little-caesars-cleveland-ave/eNSy2UriSU2cHUKXNF6iJA,north-canton-ohio,['Pizza'],4.2,44,$,40.818873,-81.381648,+13304552004,44709,1901 Cleveland Ave NW,Canton,Ohio,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Canton', 'addressRegion': 'Ohio', 'postalCode': '44709', 'addressCountry': 'US', 'streetAddress': '1901 Cleveland Ave NW'}","{'@type': 'GeoCoordinates', 'latitude': 40.818873, 'longitude': -81.381648}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '44'}"
"Peace, Love and Little Donuts",https://www.ubereats.com/akron/food-delivery/peace-love-and-little-donuts/gV3f3XZqRZKX9piGk1khrg,north-canton-ohio,['Breakfast and Brunch'],5.0,12,$,40.960314,-81.46679,+13305634439,44685,3700 Massillon Rd,Uniontown,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '12:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Uniontown', 'addressRegion': 'OH', 'postalCode': '44685', 'addressCountry': 'US', 'streetAddress': '3700 Massillon Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.960314, 'longitude': -81.46679}","{'@type': 'AggregateRating', 'ratingValue': 5, 'reviewCount': '12'}"
Burger King (4432 West Tuscarawas Street),https://www.ubereats.com/akron/food-delivery/burger-king-4432-west-tuscarawas-street/1cL_lcvhQhyvNIi7j4TZ6g,north-canton-ohio,"['American', 'burger', 'Fast Food']",4.6,21,$,40.7957491,-81.4277534,+13304777471,44708,4432 West Tuscarawas Street,Canton,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '10:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Canton', 'addressRegion': 'OH', 'postalCode': '44708', 'addressCountry': 'US', 'streetAddress': '4432 West Tuscarawas Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.7957491, 'longitude': -81.4277534}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '21'}"
Subway (3471 Massillon Rd),https://www.ubereats.com/akron/food-delivery/subway-3471-massillon-rd/sHAGee71QcimgdzEKP4uwQ,north-canton-ohio,"['Fast Food', 'Sandwich', 'American']",,,$,40.966232,-81.465141,+13308969181,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '19:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.966232, 'longitude': -81.465141}",{}
Dunkin' (2151 Wales Ave Nw),https://www.ubereats.com/akron/food-delivery/dunkin-2151-wales-ave-nw/ampIvO27RD2dD-GUV4h5bQ,north-canton-ohio,"['Breakfast and Brunch', 'Donuts']",4.1,17,$,40.8237908,-81.5032549,+13308096565,44646,2151 Wales Ave Nw,Massillon,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:1', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Massillon', 'addressRegion': 'OH', 'postalCode': '44646', 'addressCountry': 'US', 'streetAddress': '2151 Wales Ave Nw'}","{'@type': 'GeoCoordinates', 'latitude': 40.8237908, 'longitude': -81.5032549}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '17'}"
Mary Ann Donuts (Hills and Dales & Wise),https://www.ubereats.com/akron/food-delivery/mary-ann-donuts-hills-and-dales-%26-wise/jGheGyb5SxmaXbhM_zUyDA,north-canton-ohio,"['Bakery', 'Desserts']",4.7,32,$,40.832553,-81.422041,+13304789500,44708,4222 Hills and Dales Rd NW,Canton,Ohio,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '4:0', 'closes': '15:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Canton', 'addressRegion': 'Ohio', 'postalCode': '44708', 'addressCountry': 'US', 'streetAddress': '4222 Hills and Dales Rd NW'}","{'@type': 'GeoCoordinates', 'latitude': 40.832553, 'longitude': -81.422041}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '32'}"
Mary Ann Donuts (Columbus & Roosevelt),https://www.ubereats.com/akron/food-delivery/mary-ann-donuts-columbus-%26-roosevelt/Qr-iY2V_QQCqCVb3UnRC2A,north-canton-ohio,"['Bakery', 'Desserts']",,,$,40.832311,-81.345758,+13305809300,44705,2131 Columbus Rd NE,Canton,Ohio,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '4:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Canton', 'addressRegion': 'Ohio', 'postalCode': '44705', 'addressCountry': 'US', 'streetAddress': '2131 Columbus Rd NE'}","{'@type': 'GeoCoordinates', 'latitude': 40.832311, 'longitude': -81.345758}",{}
Menchie's Frozen Yogurt (6787 Strip Ave NW),https://www.ubereats.com/akron/food-delivery/menchies-frozen-yogurt-6787-strip-ave-nw/ACe3p_fPRXOWyNpUqeKb0Q,north-canton-ohio,"['Ice Cream and Frozen Yogurt', 'Desserts', 'American']",,,$,40.8795434,-81.43349959999999,+12164011712,44720,6787 Strip Ave NW,North Canton,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'North Canton', 'addressRegion': 'OH', 'postalCode': '44720', 'addressCountry': 'US', 'streetAddress': '6787 Strip Ave NW'}","{'@type': 'GeoCoordinates', 'latitude': 40.8795434, 'longitude': -81.43349959999999}",{}
Hot Head Burritos (Massillon),https://www.ubereats.com/akron/food-delivery/hot-head-burritos-massillon/39rnkw6yRuqQg-XVZn33rw,north-canton-ohio,['Mexican'],4.5,31,$,40.801003,-81.496492,+13308096010,44646,2010 Lincoln Way East,Massillon,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Massillon', 'addressRegion': 'OH', 'postalCode': '44646', 'addressCountry': 'US', 'streetAddress': '2010 Lincoln Way East'}","{'@type': 'GeoCoordinates', 'latitude': 40.801003, 'longitude': -81.496492}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '31'}"
