name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Pasha Middle Eastern Cuisine,https://www.ubereats.com/salt-lake-city/food-delivery/pasha-middle-eastern-cuisine/xnoR-f2sSla9-H9u9RMSeg,north-salt-lake-utah,"['Middle Eastern', 'Arabian', 'Chicken']",4.0,38,$,40.7516071,-111.8891235,+18013551515,84111,60 E 800 S,Salt Lake City,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salt Lake City', 'addressRegion': 'UT', 'postalCode': '84111', 'addressCountry': 'US', 'streetAddress': '60 E 800 S'}","{'@type': 'GeoCoordinates', 'latitude': 40.7516071, 'longitude': -111.8891235}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '38'}"
Yeti Pizzeria,https://www.ubereats.com/salt-lake-city/food-delivery/yeti-pizzeria/zfmzSQ4WTNidvH9AqUcOaQ,north-salt-lake-utah,"['Pizza', 'Desserts', 'Salads']",,,$,40.771938,-111.915172,+18018939777,84116,840 W N Temple,Salt Lake City,Utah,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '10:0', 'closes': '3:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salt Lake City', 'addressRegion': 'Utah', 'postalCode': '84116', 'addressCountry': 'US', 'streetAddress': '840 W N Temple'}","{'@type': 'GeoCoordinates', 'latitude': 40.771938, 'longitude': -111.915172}",{}
Waffle Love (Northern Utah Food Truck #4),https://www.ubereats.com/salt-lake-city/food-delivery/waffle-love-northern-utah-food-truck-%234/f2U0_3i6R_qmTfG0UbYkEQ,north-salt-lake-utah,"['Breakfast and Brunch', 'American', 'Sandwiches']",,,$,40.7744651,-111.9500938,+18019233590,84116,206 2100 W,Salt Lake City,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '8:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salt Lake City', 'addressRegion': 'UT', 'postalCode': '84116', 'addressCountry': 'US', 'streetAddress': '206 2100 W'}","{'@type': 'GeoCoordinates', 'latitude': 40.7744651, 'longitude': -111.9500938}",{}
Tucanos Brazilian Grill (Salt Lake City),https://www.ubereats.com/salt-lake-city/food-delivery/tucanos-brazilian-grill-salt-lake-city/4FAEg1CoT-K2p0_yAE4AkQ,north-salt-lake-utah,"['Steak', 'American', 'Fast Food']",4.2,10,$,40.76583230000001,-111.9030261,+18014562550,84101,162 S 400 W,Salt Lake City,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salt Lake City', 'addressRegion': 'UT', 'postalCode': '84101', 'addressCountry': 'US', 'streetAddress': '162 S 400 W'}","{'@type': 'GeoCoordinates', 'latitude': 40.76583230000001, 'longitude': -111.9030261}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '10'}"
Stoneground Kitchen,https://www.ubereats.com/salt-lake-city/food-delivery/stoneground-kitchen/yZQhUKSlR2qfUFzOghR5EA,north-salt-lake-utah,"['Italian', 'Pasta', 'Comfort Food']",4.6,13,$,40.76086249999999,-111.8836504,+18013641368,84111,249 E 400 S,Salt Lake City,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '17:0', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salt Lake City', 'addressRegion': 'UT', 'postalCode': '84111', 'addressCountry': 'US', 'streetAddress': '249 E 400 S'}","{'@type': 'GeoCoordinates', 'latitude': 40.76086249999999, 'longitude': -111.8836504}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '13'}"
Tonyburgers (University & 600 E),https://www.ubereats.com/salt-lake-city/food-delivery/tonyburgers-university-%26-600-e/obmIO8FbSIC5_aT4HodcOQ,north-salt-lake-utah,"['American', 'Fast Food']",4.8,163,$,40.761165,-111.872948,+18014190531,84102,633 E 400 S,Salt Lake City,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salt Lake City', 'addressRegion': 'UT', 'postalCode': '84102', 'addressCountry': 'US', 'streetAddress': '633 E 400 S'}","{'@type': 'GeoCoordinates', 'latitude': 40.761165, 'longitude': -111.872948}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '163'}"
"Capriotti's (50 E South Temple, Ste 231)",https://www.ubereats.com/salt-lake-city/food-delivery/capriottis-50-e-south-temple-ste-231/sOPqaBOaSAyJXiYt8eRguw,north-salt-lake-utah,"['American', 'Sandwich', 'Salads']",,,$,40.769026,-111.8898119,+14357649994,84111,50 E South Temple,Salt Lake City,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salt Lake City', 'addressRegion': 'UT', 'postalCode': '84111', 'addressCountry': 'US', 'streetAddress': '50 E South Temple'}","{'@type': 'GeoCoordinates', 'latitude': 40.769026, 'longitude': -111.8898119}",{}
Five Guys UT-0409 255 North 500 West,https://www.ubereats.com/salt-lake-city/food-delivery/five-guys-ut-0409-255-north-500-west/YlBfBSxETxC-SWAJ0KjbbA,north-salt-lake-utah,"['American', 'Burgers']",4.6,121,$,40.8918603,-111.8927319,+18012923002,84010,255 North 500 West,Bountiful,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bountiful', 'addressRegion': 'UT', 'postalCode': '84010', 'addressCountry': 'US', 'streetAddress': '255 North 500 West'}","{'@type': 'GeoCoordinates', 'latitude': 40.8918603, 'longitude': -111.8927319}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '121'}"
Arby's (355 North 800 West),https://www.ubereats.com/salt-lake-city/food-delivery/arbys-355-north-800-west/9j2mneK_Q4qm8r1S7HWGTA,north-salt-lake-utah,"['American', 'Sandwich', 'Comfort Food', 'Fast Food', 'Kids Friendly']",4.2,43,$,40.9205605,-111.8895878,+18012988473,84014,355 North 800 West,Centerville,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '10:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '10:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '10:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Centerville', 'addressRegion': 'UT', 'postalCode': '84014', 'addressCountry': 'US', 'streetAddress': '355 North 800 West'}","{'@type': 'GeoCoordinates', 'latitude': 40.9205605, 'longitude': -111.8895878}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '43'}"
Papa Murphy's  (1298 North US-89),https://www.ubereats.com/salt-lake-city/food-delivery/papa-murphys-1298-north-us-89/CMSlKD6FQZ-0597YG7TyKA,north-salt-lake-utah,"['Pizza', 'American', 'Fast Food']",,,$$,40.8347892,-111.9139763,+18014517373,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.8347892, 'longitude': -111.9139763}",{}
