name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
The Gyros Factory,https://www.ubereats.com/chicago/food-delivery/the-gyros-factory/LZaC2uDLT-OPUjCz4oYzXg,northbrook-illinois,"['Burgers', 'Greek']",,,$,42.0652719,-87.9085818,+18477599114,60016,668 N Wolf Rd,Des Plaines,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '19:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Des Plaines', 'addressRegion': 'IL', 'postalCode': '60016', 'addressCountry': 'US', 'streetAddress': '668 N Wolf Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.0652719, 'longitude': -87.9085818}",{}
Big Bowl (Lincolnshire),https://www.ubereats.com/chicago/food-delivery/big-bowl-lincolnshire/7Zfj3CH7RWmeDvPzWaTQMQ,northbrook-illinois,"['Thai', 'Chinese', 'Asian Fusion', 'Rice-bowls', 'Noodles']",4.6,123,$,42.178561,-87.925917,+18478088880,60069,215 Parkway Dr,Lincolnshire,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lincolnshire', 'addressRegion': 'IL', 'postalCode': '60069', 'addressCountry': 'US', 'streetAddress': '215 Parkway Dr'}","{'@type': 'GeoCoordinates', 'latitude': 42.178561, 'longitude': -87.925917}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '123'}"
Osaka Sushi (Mundelein),https://www.ubereats.com/chicago/food-delivery/osaka-sushi-mundelein/Kyh8NeuKTdqD-KkmyqTV9Q,northbrook-illinois,"['Sushi', 'Japanese']",4.6,67,$$,42.2419402034247,-87.97816085351889,+18475499944,60060,1452 Butterfield Rd,Mundelein,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '19:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '19:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '13:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mundelein', 'addressRegion': 'IL', 'postalCode': '60060', 'addressCountry': 'US', 'streetAddress': '1452 Butterfield Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.2419402034247, 'longitude': -87.97816085351889}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '67'}"
Papa Romeo’s Pizza (Dodge & Dempster),https://www.ubereats.com/chicago/food-delivery/papa-romeos-pizza-dodge-%26-dempster/vBQ-9b-ZRwylVgHUPEkaig,northbrook-illinois,"['American', 'Italian', 'Pizza', 'Desserts']",,,$$,42.0411107,-87.75545249999999,+18478649090,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '19:0', 'closes': '5:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.0411107, 'longitude': -87.75545249999999}",{}
Mi Restaurante,https://www.ubereats.com/chicago/food-delivery/mi-restaurante/-sX6bbPbSpe_sS_ThDVGsA,northbrook-illinois,['Mexican'],4.2,33,$,42.0808359,-87.9059158,+12242175139,60056,1742 E Kensington Rd,Mount Prospect,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mount Prospect', 'addressRegion': 'IL', 'postalCode': '60056', 'addressCountry': 'US', 'streetAddress': '1742 E Kensington Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.0808359, 'longitude': -87.9059158}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '33'}"
Le Sucre Cafe ,https://www.ubereats.com/chicago/food-delivery/le-sucre-cafe/1qrryxC5SC-iUFs8GigidA,northbrook-illinois,"['American', 'New American', 'Sandwich']",,,,42.04876,-87.83927,+18476871559,60714,332 Golf Mill Center 332,Niles,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Niles', 'addressRegion': 'IL', 'postalCode': '60714', 'addressCountry': 'US', 'streetAddress': '332 Golf Mill Center 332'}","{'@type': 'GeoCoordinates', 'latitude': 42.04876, 'longitude': -87.83927}",{}
Alex's Washington Gardens,https://www.ubereats.com/chicago/food-delivery/alexs-washington-gardens/Xyux6wGFTsWMvlIh6BQdpg,northbrook-illinois,"['Pizza', 'Italian', 'American']",4.6,60,$,42.201632,-87.8099304,+18474320309,60040,256 Green Bay Rd,Highwood,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '16:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Highwood', 'addressRegion': 'IL', 'postalCode': '60040', 'addressCountry': 'US', 'streetAddress': '256 Green Bay Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.201632, 'longitude': -87.8099304}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '60'}"
Brown's Chicken (Northbrook),https://www.ubereats.com/chicago/food-delivery/browns-chicken-northbrook/LvHSGUB5RUqVOh8xQwhoMw,northbrook-illinois,"['American', 'Wings', 'Family Meals']",4.8,21,$,42.13724429999999,-87.8576405,+18474807911,60062,3147 Dundee Rd,Northbrook,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Northbrook', 'addressRegion': 'IL', 'postalCode': '60062', 'addressCountry': 'US', 'streetAddress': '3147 Dundee Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.13724429999999, 'longitude': -87.8576405}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '21'}"
Popeyes (6939 Golf Rd),https://www.ubereats.com/chicago/food-delivery/popeyes-6939-golf-rd/_jH2ivwqSSKR-SQB_siWcw,northbrook-illinois,"['American', 'Fast Food', 'Southern', 'Wings']",3.9,200,$,42.054954,-87.800482,+18474700990,60053,6939 Golf Rd,Morton Grove,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Morton Grove', 'addressRegion': 'IL', 'postalCode': '60053', 'addressCountry': 'US', 'streetAddress': '6939 Golf Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.054954, 'longitude': -87.800482}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '200'}"
Tasty Spin,https://www.ubereats.com/chicago/food-delivery/tasty-spin/RxyX-sEHT4iFzBNmA6Hdsg,northbrook-illinois,"['Mediterranean', 'Sandwich', 'Salads', 'Desserts']",,,$,42.1711489,-87.95080709999999,+18475370700,60089,1038 Weiland Rd,Buffalo Grove,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Buffalo Grove', 'addressRegion': 'IL', 'postalCode': '60089', 'addressCountry': 'US', 'streetAddress': '1038 Weiland Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.1711489, 'longitude': -87.95080709999999}",{}
