name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Kebab Express | Halal Grill,https://www.ubereats.com/nyc-suburbs/food-delivery/kebab-express-%7C-halal-grill/14Af3jKFSHGQvHbOKJheyw,northport-new-york,"['Mediterranean', 'Halal', 'Wings', 'Vegetarian', 'American']",4.7,294,$,40.830388,-73.410723,+16319233085,11746,10 Walt Whitman Rd,Huntington Station,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '1:1'}]","{'@type': 'PostalAddress', 'addressLocality': 'Huntington Station', 'addressRegion': 'NY', 'postalCode': '11746', 'addressCountry': 'US', 'streetAddress': '10 Walt Whitman Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.830388, 'longitude': -73.410723}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '294'}"
Brew & Bitters,https://www.ubereats.com/nyc-suburbs/food-delivery/brew-%26-bitters/wEIYaBpZTOWvyhFoOxwYEA,northport-new-york,"['Burgers', 'American', 'Sandwiches']",,,$,40.8509584,-73.41438649999999,+17186884675,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '23:59'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.8509584, 'longitude': -73.41438649999999}",{}
Granny's Ice Cream,https://www.ubereats.com/nyc-suburbs/food-delivery/grannys-ice-cream/2yz732jgQTq0tx3cL-H4Tg,northport-new-york,"['Ice Cream & Frozen Yogurt', 'Comfort Food', 'Desserts']",,,$,40.8468693,-73.2654903,+16315437501,11725,1153 Jericho Tpke,Commack,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '2:0', 'closes': '2:1'}]","{'@type': 'PostalAddress', 'addressLocality': 'Commack', 'addressRegion': 'NY', 'postalCode': '11725', 'addressCountry': 'US', 'streetAddress': '1153 Jericho Tpke'}","{'@type': 'GeoCoordinates', 'latitude': 40.8468693, 'longitude': -73.2654903}",{}
BurgerFi (Commack),https://www.ubereats.com/nyc-suburbs/food-delivery/burgerfi-commack/2kNi2NA6Smam8sfTdi8j6g,northport-new-york,"['Burgers', 'American']",4.5,168,$,40.842002,-73.29858,+16314621824,11725,6234 Jericho Turnpike,Commack,New York,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Commack', 'addressRegion': 'New York', 'postalCode': '11725', 'addressCountry': 'US', 'streetAddress': '6234 Jericho Turnpike'}","{'@type': 'GeoCoordinates', 'latitude': 40.842002, 'longitude': -73.29858}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '168'}"
Finnegans,https://www.ubereats.com/nyc-suburbs/food-delivery/finnegans/-X9fd8p1TC6OW5nptIsKCw,northport-new-york,"['American', 'Sandwich', 'Burgers']",4.8,34,$$,40.871478,-73.427711,+16314239696,11743,5 Wall St,Huntington,New York,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Huntington', 'addressRegion': 'New York', 'postalCode': '11743', 'addressCountry': 'US', 'streetAddress': '5 Wall St'}","{'@type': 'GeoCoordinates', 'latitude': 40.871478, 'longitude': -73.427711}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '34'}"
ravello,https://www.ubereats.com/nyc-suburbs/food-delivery/ravello/OLfPCYffTgu9IwAz80Agjw,northport-new-york,['Italian'],,,$$,40.8320088,-73.3583657,+16312718900,11743,1277 E Jericho Turnpike,NYC Suburbs,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'NYC Suburbs', 'addressRegion': 'NY', 'postalCode': '11743', 'addressCountry': 'US', 'streetAddress': '1277 E Jericho Turnpike'}","{'@type': 'GeoCoordinates', 'latitude': 40.8320088, 'longitude': -73.3583657}",{}
Carl's Candies - Northport,https://www.ubereats.com/nyc-suburbs/food-delivery/carls-candies-northport/3aZqj6TcSE2QyfobYRGeHg,northport-new-york,['Bakery'],,,$$,40.900022,-73.351182,+16316518699,11768-1722,50 Main St,Northport,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Northport', 'addressRegion': 'NY', 'postalCode': '11768-1722', 'addressCountry': 'US', 'streetAddress': '50 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.900022, 'longitude': -73.351182}",{}
Spotlight - Art Bar at The Paramount,https://www.ubereats.com/nyc-suburbs/food-delivery/spotlight-art-bar-at-the-paramount/77p1EKHiQh-HkaunJrNZOA,northport-new-york,"['Burgers', 'American']",,,$,40.86973439999999,-73.4257185,+15162387183,11743,370 New York Avenue,Huntington,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '16:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Huntington', 'addressRegion': 'NY', 'postalCode': '11743', 'addressCountry': 'US', 'streetAddress': '370 New York Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 40.86973439999999, 'longitude': -73.4257185}",{}
Caffe Portofino,https://www.ubereats.com/nyc-suburbs/food-delivery/caffe-portofino/u_4WJLGUSPSCfgm-BX60kQ,northport-new-york,"['Salad / Sandwiches', 'American']",,,$$,40.90113470000001,-73.3467604,+16312627656,11768,249 Main St,Northport,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Northport', 'addressRegion': 'NY', 'postalCode': '11768', 'addressCountry': 'US', 'streetAddress': '249 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.90113470000001, 'longitude': -73.3467604}",{}
Ralph's Famous Italian Ice - Commack,https://www.ubereats.com/nyc-suburbs/food-delivery/ralphs-famous-italian-ice-commack/_LzIZWBHQ66u4l2dwCHNXA,northport-new-york,"['Desserts', 'American', 'Ice Cream and Frozen Yogurt']",4.6,121,$,40.8348627,-73.29405489999999,+16314628779,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '0:55'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '23:55'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '0:55'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.8348627, 'longitude': -73.29405489999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '121'}"
