name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Nirvana Gyro,https://www.ubereats.com/portland/food-delivery/nirvana-gyro/d5STtLgkT9m8Ol_3KyynGA,oak-grove-oregon,"['Middle Eastern', 'Arabian', 'Chicken']",,,$,45.4957639,-122.6084655,+15033474249,97206,5205 SE Foster Rd,Portland,Or,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Portland', 'addressRegion': 'Or', 'postalCode': '97206', 'addressCountry': 'US', 'streetAddress': '5205 SE Foster Rd'}","{'@type': 'GeoCoordinates', 'latitude': 45.4957639, 'longitude': -122.6084655}",{}
Grill on the Go Mediterranean,https://www.ubereats.com/portland/food-delivery/grill-on-the-go-mediterranean/MMM1pV5BQ6KeseMbsSQ-CQ,oak-grove-oregon,"['Mediterranean', 'Family Meals']",4.5,186,$,45.51922,-122.558694,+15037508021,97216,10175 SE Stark St,Portland,Oregon,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '19:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Portland', 'addressRegion': 'Oregon', 'postalCode': '97216', 'addressCountry': 'US', 'streetAddress': '10175 SE Stark St'}","{'@type': 'GeoCoordinates', 'latitude': 45.51922, 'longitude': -122.558694}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '186'}"
Five Guys OR-1197 8963 SE 82nd Ave,https://www.ubereats.com/portland/food-delivery/five-guys-or-1197-8963-se-82nd-ave/6rn1e2fMSEy-iFr5CmlbgA,oak-grove-oregon,"['American', 'Burgers']",4.6,500,$,45.458232,-122.580585,+15037775160,97086,8963 SE 82nd Ave.,Happy Valley,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Happy Valley', 'addressRegion': 'OR', 'postalCode': '97086', 'addressCountry': 'US', 'streetAddress': '8963 SE 82nd Ave.'}","{'@type': 'GeoCoordinates', 'latitude': 45.458232, 'longitude': -122.580585}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '500'}"
Double Barrel Tavern,https://www.ubereats.com/portland/food-delivery/double-barrel-tavern/TzkW2QA1Q0OldX45XQAPAA,oak-grove-oregon,"['Burgers', 'American', 'Sandwiches']",,,$,45.50464729999999,-122.6454484,+15032341420,97202,2002 SE Division St,Portland,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Portland', 'addressRegion': 'OR', 'postalCode': '97202', 'addressCountry': 'US', 'streetAddress': '2002 SE Division St'}","{'@type': 'GeoCoordinates', 'latitude': 45.50464729999999, 'longitude': -122.6454484}",{}
Izzy's Pizza Bar & Buffet (Portland),https://www.ubereats.com/portland/food-delivery/izzys-pizza-bar-%26-buffet-portland/0Vsd1MdBRBqL6wTTWZKkgA,oak-grove-oregon,"['Pizza', 'American', 'Italian']",,,$,45.4944765,-122.5774936,+15037719919,97266,3846 SE 82nd Ave,Portland,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Portland', 'addressRegion': 'OR', 'postalCode': '97266', 'addressCountry': 'US', 'streetAddress': '3846 SE 82nd Ave'}","{'@type': 'GeoCoordinates', 'latitude': 45.4944765, 'longitude': -122.5774936}",{}
Bonchon Chicken (12000 Southeast 82nd Ave),https://www.ubereats.com/portland/food-delivery/bonchon-chicken-12000-southeast-82nd-ave/8OIDhRtLT2WXI8gWFvP5Sw,oak-grove-oregon,"['Wings', 'Korean', 'Asian Fusion']",,,$$,45.434954,-122.5757136,+15033848394,97086,12000 Southeast 82nd Avenue,Happy Valley,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Happy Valley', 'addressRegion': 'OR', 'postalCode': '97086', 'addressCountry': 'US', 'streetAddress': '12000 Southeast 82nd Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 45.434954, 'longitude': -122.5757136}",{}
Black Rock Coffee (10910 SE 82nd Ave),https://www.ubereats.com/portland/food-delivery/black-rock-coffee-10910-se-82nd-ave/EAMqiUBwRJyda-BFZwBNcw,oak-grove-oregon,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",4.2,24,$,45.4443378,-122.5784861,,97086,10910 SE 82nd Ave,Happy Valley,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Happy Valley', 'addressRegion': 'OR', 'postalCode': '97086', 'addressCountry': 'US', 'streetAddress': '10910 SE 82nd Ave'}","{'@type': 'GeoCoordinates', 'latitude': 45.4443378, 'longitude': -122.5784861}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '24'}"
Bodega,https://www.ubereats.com/portland/food-delivery/bodega/70ryXygLQqiCarQBFVLNVQ,oak-grove-oregon,"['Sandwiches', 'American', 'Healthy', 'Vegetarian']",4.7,18,$,45.4907535,-122.5985867,+5037720703,97206,6231 SE Foster Rd,Portland,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Portland', 'addressRegion': 'OR', 'postalCode': '97206', 'addressCountry': 'US', 'streetAddress': '6231 SE Foster Rd'}","{'@type': 'GeoCoordinates', 'latitude': 45.4907535, 'longitude': -122.5985867}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '18'}"
Black Rock Coffee Bar (8128 SE Powell Blvd),https://www.ubereats.com/portland/food-delivery/black-rock-coffee-bar-8128-se-powell-blvd/xH3VyslJRb6vQnBQLfmy9Q,oak-grove-oregon,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",4.8,85,$,45.4971706,-122.5794061,,97206,8128 SE Powell Blvd,Portland,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Portland', 'addressRegion': 'OR', 'postalCode': '97206', 'addressCountry': 'US', 'streetAddress': '8128 SE Powell Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 45.4971706, 'longitude': -122.5794061}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '85'}"
EZ Freezy - Happy Valley,https://www.ubereats.com/portland/food-delivery/ez-freezy-happy-valley/DQy9gZ8pRKKWZ_PLBiezjA,oak-grove-oregon,"['Desserts', 'Bubble Tea', 'Ice Cream and Frozen Yogurt']",4.8,13,$$,45.428009,-122.5008151,+15034272361,97086,15723 SE,Happy Valley,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:15', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Happy Valley', 'addressRegion': 'OR', 'postalCode': '97086', 'addressCountry': 'US', 'streetAddress': '15723 SE'}","{'@type': 'GeoCoordinates', 'latitude': 45.428009, 'longitude': -122.5008151}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '13'}"
