name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Jersey Mike's Subs (1568 Oak Ridge Turnpike),https://www.ubereats.com/knoxville/food-delivery/jersey-mikes-subs-1568-oak-ridge-turnpike/wo8Ua-sETTyIMvqTLlzv_A,oak-ridge-tennessee,"['Sandwich', 'American']",4.8,29,$,36.0125518,-84.26992659999999,+18654832345,37830,1568,Oak Ridge,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oak Ridge', 'addressRegion': 'TN', 'postalCode': '37830', 'addressCountry': 'US', 'streetAddress': '1568'}","{'@type': 'GeoCoordinates', 'latitude': 36.0125518, 'longitude': -84.26992659999999}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '29'}"
806-Bonefish Grill (11395 Parkside Drive),https://www.ubereats.com/knoxville/food-delivery/806-bonefish-grill-11395-parkside-drive/oya_GnhpR7W1hPwt9piC9A,oak-ridge-tennessee,"['American', 'Seafood', 'Family Meals']",4.7,47,$$,35.9008822,-84.159252,+18659669777,37934,11395 Parkside Drive,Knoxville,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Knoxville', 'addressRegion': 'TN', 'postalCode': '37934', 'addressCountry': 'US', 'streetAddress': '11395 Parkside Drive'}","{'@type': 'GeoCoordinates', 'latitude': 35.9008822, 'longitude': -84.159252}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '47'}"
Blaze Pizza (10978 Parkside Dr),https://www.ubereats.com/knoxville/food-delivery/blaze-pizza-10978-parkside-dr/xsFKrSbLT9GfT0Ic23vLXA,oak-ridge-tennessee,"['Pizza', 'Family Meals', 'American']",4.7,45,$,35.9024316,-84.1490785,+18652884354,37934,10978 Parkside Dr,Knoxville,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Knoxville', 'addressRegion': 'TN', 'postalCode': '37934', 'addressCountry': 'US', 'streetAddress': '10978 Parkside Dr'}","{'@type': 'GeoCoordinates', 'latitude': 35.9024316, 'longitude': -84.1490785}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '45'}"
I Love Juice Bar,https://www.ubereats.com/knoxville/food-delivery/i-love-juice-bar/rP7lMHtvTeeqq1Sakb5HcA,oak-ridge-tennessee,"['Healthy', 'Vegetarian', 'Salads']",,,$,35.8949342,-84.17200749999999,+18652883889,37919,11681 Parkside Dr,Knoxville,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Knoxville', 'addressRegion': 'TN', 'postalCode': '37919', 'addressCountry': 'US', 'streetAddress': '11681 Parkside Dr'}","{'@type': 'GeoCoordinates', 'latitude': 35.8949342, 'longitude': -84.17200749999999}",{}
Pei Wei (11301 Parkside Dr. Suite 1200),https://www.ubereats.com/knoxville/food-delivery/pei-wei-11301-parkside-dr-suite-1200/IXpr33VgRSWBkI7PU0wlpA,oak-ridge-tennessee,"['Chinese', 'Noodles']",4.2,69,$$,35.9003514,-84.15864069999999,+18659661610,37901,11301 Parkside Dr.,Knoxville,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Knoxville', 'addressRegion': 'TN', 'postalCode': '37901', 'addressCountry': 'US', 'streetAddress': '11301 Parkside Dr.'}","{'@type': 'GeoCoordinates', 'latitude': 35.9003514, 'longitude': -84.15864069999999}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '69'}"
Outback Steakhouse (402 South Illinois Avenue),https://www.ubereats.com/knoxville/food-delivery/outback-steakhouse-402-south-illinois-avenue/hwr4dZZQSgGjiyVgqBMGLg,oak-ridge-tennessee,"['Burgers', 'American', 'Sandwiches', 'Steak', 'Seafood', 'Salads', 'BBQ']",3.8,42,$,36.0043494,-84.2508865,+18652200783,37830,402 South Illinois Avenue,Oak Ridge,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oak Ridge', 'addressRegion': 'TN', 'postalCode': '37830', 'addressCountry': 'US', 'streetAddress': '402 South Illinois Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 36.0043494, 'longitude': -84.2508865}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '42'}"
Baskin Robbins (104 East Tulsa),https://www.ubereats.com/knoxville/food-delivery/baskin-robbins-104-east-tulsa/Iitzk057SomlN2QDG_cHSg,oak-ridge-tennessee,['Desserts'],,,$$,36.0060643,-84.2544047,+18652208686,37830,104 East Tulsa,Oak Ridge,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oak Ridge', 'addressRegion': 'TN', 'postalCode': '37830', 'addressCountry': 'US', 'streetAddress': '104 East Tulsa'}","{'@type': 'GeoCoordinates', 'latitude': 36.0060643, 'longitude': -84.2544047}",{}
Fat Sal's,https://www.ubereats.com/knoxville/food-delivery/fat-sals/ORv6WjXUTd6NysFlH-n5Qw,oak-ridge-tennessee,"['Burgers', 'American', 'Sandwiches']",,,$,36.0345821,-84.2281643,+15108308543,37830,366 E Tennessee Ave,Oak Ridge,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oak Ridge', 'addressRegion': 'TN', 'postalCode': '37830', 'addressCountry': 'US', 'streetAddress': '366 E Tennessee Ave'}","{'@type': 'GeoCoordinates', 'latitude': 36.0345821, 'longitude': -84.2281643}",{}
Papa Murphy's  (133 Brooklawn St.),https://www.ubereats.com/knoxville/food-delivery/papa-murphys-133-brooklawn-st/h0xS-umwS0qyM7JUAxu4Vw,oak-ridge-tennessee,"['Pizza', 'Salads', 'American']",,,$$,35.881215,-84.158143,+18659668467,37934,133 Brooklawn St.,Knoxville,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Knoxville', 'addressRegion': 'TN', 'postalCode': '37934', 'addressCountry': 'US', 'streetAddress': '133 Brooklawn St.'}","{'@type': 'GeoCoordinates', 'latitude': 35.881215, 'longitude': -84.158143}",{}
Applebee's  (1213 Oak Ridge Turnpike),https://www.ubereats.com/knoxville/food-delivery/applebees-1213-oak-ridge-turnpike/WCWWK3BlSlSCjtWGGD4ETg,oak-ridge-tennessee,"['American', 'Bar Food', 'BBQ', 'burger', 'Chicken Strips', 'Comfort Food', 'Dinner', 'pasta', 'salad', 'Sandwich', 'Soup', 'Steak', 'Traditional American', 'wings', 'Family Meals']",4.2,46,$$,36.0159425,-84.2505573,+18654831234,37830,1213,Oak Ridge,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oak Ridge', 'addressRegion': 'TN', 'postalCode': '37830', 'addressCountry': 'US', 'streetAddress': '1213'}","{'@type': 'GeoCoordinates', 'latitude': 36.0159425, 'longitude': -84.2505573}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '46'}"
