name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Xtreme Pizza,https://www.ubereats.com/pittsburgh/food-delivery/xtreme-pizza/WejV6l7NRO-B7LVfbfF0eg,oakdale-pennsylvania,"['Comfort Food', 'Pizza']",,,$,40.451373,-80.184015,+14127454545,15275,456 Home Dr,Pittsburgh,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:15', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:15', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pittsburgh', 'addressRegion': 'PA', 'postalCode': '15275', 'addressCountry': 'US', 'streetAddress': '456 Home Dr'}","{'@type': 'GeoCoordinates', 'latitude': 40.451373, 'longitude': -80.184015}",{}
Kasai Kogi Bar,https://www.ubereats.com/pittsburgh/food-delivery/kasai-kogi-bar/qqsqt3TFRjKXX83l4NdC4g,oakdale-pennsylvania,"['Korean', 'BBQ', 'Asian Fusion']",4.8,88,$,40.40798729999999,-80.0857029,+14122795500,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.40798729999999, 'longitude': -80.0857029}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '88'}"
Hanini Subs - Brownsville Road,https://www.ubereats.com/pittsburgh/food-delivery/hanini-subs-brownsville-road/0_aB_cy5QemkdZWgBK6KFg,oakdale-pennsylvania,"['Deli', 'Sandwich']",4.5,46,$,40.385087,-79.977995,+14128817705,15227,2625 Brownsville Rd,Pittsburgh,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pittsburgh', 'addressRegion': 'PA', 'postalCode': '15227', 'addressCountry': 'US', 'streetAddress': '2625 Brownsville Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.385087, 'longitude': -79.977995}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '46'}"
Riley's Pour House,https://www.ubereats.com/pittsburgh/food-delivery/rileys-pour-house/uj0Tf_DHQ9eXSXZ0UL6dUg,oakdale-pennsylvania,"['Irish', 'Pub', 'Comfort Food', 'Sandwich']",4.7,113,$,40.40860049999999,-80.08524799999999,+14122790770,15106,215 E Main St,Carnegie,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Carnegie', 'addressRegion': 'PA', 'postalCode': '15106', 'addressCountry': 'US', 'streetAddress': '215 E Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.40860049999999, 'longitude': -80.08524799999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '113'}"
The Pub at Tonidale,https://www.ubereats.com/pittsburgh/food-delivery/the-pub-at-tonidale/MwfAvKZfQa6lzJloM1WuLQ,oakdale-pennsylvania,"['Salads', 'Burgers', 'Pizza']",,,$,40.4458329,-80.17121019999999,+17243073019,15071,7001 Steubenville Pike,Oakdale,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '15:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '15:0', 'closes': '2:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oakdale', 'addressRegion': 'PA', 'postalCode': '15071', 'addressCountry': 'US', 'streetAddress': '7001 Steubenville Pike'}","{'@type': 'GeoCoordinates', 'latitude': 40.4458329, 'longitude': -80.17121019999999}",{}
Groovy Lou’s Smoothies and Frappes,https://www.ubereats.com/pittsburgh/food-delivery/groovy-lous-smoothies-and-frappes/M_D60MA4Twm8kV2LfZUAgg,oakdale-pennsylvania,"['Juice and Smoothies', 'Breakfast and Brunch', 'Vegetarian']",,,$,40.356848,-80.11263699999999,+14122572757,15017,609 Washington Ave Ste 1,Bridgeville,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:0', 'closes': '14:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bridgeville', 'addressRegion': 'PA', 'postalCode': '15017', 'addressCountry': 'US', 'streetAddress': '609 Washington Ave Ste 1'}","{'@type': 'GeoCoordinates', 'latitude': 40.356848, 'longitude': -80.11263699999999}",{}
Moe's Southwest Grill (1597 Washington Pike),https://www.ubereats.com/pittsburgh/food-delivery/moes-southwest-grill-1597-washington-pike/qkdpwfxpTlyztGRophLAuA,oakdale-pennsylvania,"['Mexican', 'Fast Food', 'Family Meals']",4.5,336,$,40.3826179,-80.0951259,+14128381088,15017,1597 Washington Pike,Bridgeville,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:45', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:45', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bridgeville', 'addressRegion': 'PA', 'postalCode': '15017', 'addressCountry': 'US', 'streetAddress': '1597 Washington Pike'}","{'@type': 'GeoCoordinates', 'latitude': 40.3826179, 'longitude': -80.0951259}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '336'}"
Charleys Philly Steaks (100 Robinson Center),https://www.ubereats.com/pittsburgh/food-delivery/charleys-philly-steaks-100-robinson-center/fTMBsv-uSqC23eLw3SbDNA,oakdale-pennsylvania,"['Sandwich', 'Steak', 'Chicken']",,,$,40.4547052,-80.1571838,+14408767735,15205,100 Robinson Center Dr,Pittsburgh,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pittsburgh', 'addressRegion': 'PA', 'postalCode': '15205', 'addressCountry': 'US', 'streetAddress': '100 Robinson Center Dr'}","{'@type': 'GeoCoordinates', 'latitude': 40.4547052, 'longitude': -80.1571838}",{}
Jersey Mike's Subs (4123 Washington Road),https://www.ubereats.com/pittsburgh/food-delivery/jersey-mikes-subs-4123-washington-road/OAnjNqcQQRCMI2AVW1GE5A,oakdale-pennsylvania,"['Sandwich', 'American']",4.7,56,$,40.2636408,-80.1310166,+17249420202,15317,4123 Washington Road,Peters Township,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Peters Township', 'addressRegion': 'PA', 'postalCode': '15317', 'addressCountry': 'US', 'streetAddress': '4123 Washington Road'}","{'@type': 'GeoCoordinates', 'latitude': 40.2636408, 'longitude': -80.1310166}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '56'}"
Five Guys PA-1375 324 McHolme Dr,https://www.ubereats.com/pittsburgh/food-delivery/five-guys-pa-1375-324-mcholme-dr/TiVPp0QzTkKuHe-8eAs5pQ,oakdale-pennsylvania,"['American', 'Burgers']",4.6,60,$,40.448809,-80.174544,+14127885777,15275,324 McHolme Dr.,Pittsburgh,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pittsburgh', 'addressRegion': 'PA', 'postalCode': '15275', 'addressCountry': 'US', 'streetAddress': '324 McHolme Dr.'}","{'@type': 'GeoCoordinates', 'latitude': 40.448809, 'longitude': -80.174544}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '60'}"
