name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Subjay BBQ,https://www.ubereats.com/st-louis/food-delivery/subjay-bbq/f9Y7TD0iS-WHGdEeQHWzig,overland-missouri,"['Wings', 'Sandwich', 'American']",4.2,39,$,38.7792709,-90.27720110000001,+13144961553,63033,11701 New Halls Ferry Rd,Florissant,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Florissant', 'addressRegion': 'MO', 'postalCode': '63033', 'addressCountry': 'US', 'streetAddress': '11701 New Halls Ferry Rd'}","{'@type': 'GeoCoordinates', 'latitude': 38.7792709, 'longitude': -90.27720110000001}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '39'}"
PokeDoke (Central West End),https://www.ubereats.com/st-louis/food-delivery/pokedoke-central-west-end/e9JpTFE4RgeQ0AQcsI4oyA,overland-missouri,"['Asian', 'Desserts', 'Juice and Smoothies']",,,$,38.6399315,-90.26187589999999,+13148335900,63108,8 S Euclid Ave,Saint Louis,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Saint Louis', 'addressRegion': 'MO', 'postalCode': '63108', 'addressCountry': 'US', 'streetAddress': '8 S Euclid Ave'}","{'@type': 'GeoCoordinates', 'latitude': 38.6399315, 'longitude': -90.26187589999999}",{}
Old Town Donuts,https://www.ubereats.com/st-louis/food-delivery/old-town-donuts/lXX-J4MHTVaUqJa8oz15hg,overland-missouri,"['Desserts', 'Vegetarian', 'Coffee and Tea']",4.5,33,$,38.7899078,-90.32175760000001,+13148310907,63031,510 N New,Florissant,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Florissant', 'addressRegion': 'MO', 'postalCode': '63031', 'addressCountry': 'US', 'streetAddress': '510 N New'}","{'@type': 'GeoCoordinates', 'latitude': 38.7899078, 'longitude': -90.32175760000001}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '33'}"
Brio (1601 South Lindbergh Blvd),https://www.ubereats.com/st-louis/food-delivery/brio-1601-south-lindbergh-blvd/zP6XtkaWSKuECvLFChHvQw,overland-missouri,"['Italian', 'Pasta']",4.2,25,$$,38.632422,-90.4063637,+13144324410,63131,1601 South Lindbergh Blvd,St. Louis,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'St. Louis', 'addressRegion': 'MO', 'postalCode': '63131', 'addressCountry': 'US', 'streetAddress': '1601 South Lindbergh Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 38.632422, 'longitude': -90.4063637}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '25'}"
The Dubliner,https://www.ubereats.com/st-louis/food-delivery/the-dubliner/H7n-3G9mT72nBlB4ukIe7Q,overland-missouri,"['BBQ', 'American', 'Burgers']",,,$,38.6114291,-90.32026929999999,+13142587003,63143,2733 Sutton Blvd,Maplewood,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Maplewood', 'addressRegion': 'MO', 'postalCode': '63143', 'addressCountry': 'US', 'streetAddress': '2733 Sutton Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 38.6114291, 'longitude': -90.32026929999999}",{}
Barcelona Tapas Restaurant Saint Louis,https://www.ubereats.com/st-louis/food-delivery/barcelona-tapas-restaurant-saint-louis/fpvY7CFyTFO10Q2iPDzg6g,overland-missouri,"['Spanish', 'Family Meals']",,,$,38.6512283,-90.33788709999999,+13148639909,63105,34 N Central Ave,Saint Louis,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Saint Louis', 'addressRegion': 'MO', 'postalCode': '63105', 'addressCountry': 'US', 'streetAddress': '34 N Central Ave'}","{'@type': 'GeoCoordinates', 'latitude': 38.6512283, 'longitude': -90.33788709999999}",{}
Jilly's Cupcake Bar,https://www.ubereats.com/st-louis/food-delivery/jillys-cupcake-bar/U8n8_RLZQROavBt9HrD1fQ,overland-missouri,"['Sandwich', 'Desserts']",,,,38.6611,-90.3561,+13145710482,63124,8509 Delmar Boulevard,University City,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'University City', 'addressRegion': 'MO', 'postalCode': '63124', 'addressCountry': 'US', 'streetAddress': '8509 Delmar Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 38.6611, 'longitude': -90.3561}",{}
Chipotle Mexican Grill (1500 S Hanley Rd),https://www.ubereats.com/st-louis/food-delivery/chipotle-mexican-grill-1500-s-hanley-rd/Nv-eO2PEQGeYuUNYRc6-nA,overland-missouri,"['Healthy', 'Mexican']",4.5,100,$,38.62638949999999,-90.3346351,+13142443188,63144,1500 S Hanley Rd,Saint Louis,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Saint Louis', 'addressRegion': 'MO', 'postalCode': '63144', 'addressCountry': 'US', 'streetAddress': '1500 S Hanley Rd'}","{'@type': 'GeoCoordinates', 'latitude': 38.62638949999999, 'longitude': -90.3346351}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '100'}"
Papa John's (417 S. Florissant Rd),https://www.ubereats.com/st-louis/food-delivery/papa-johns-417-s-florissant-rd/Aa5X2vjQR2mKoihSNSbMeA,overland-missouri,"['Pizza', 'Wings', 'Desserts']",4.2,27,$$,38.738682,-90.30306569999999,+13145243033,63135,417 S. Florissant Rd,Ferguson,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ferguson', 'addressRegion': 'MO', 'postalCode': '63135', 'addressCountry': 'US', 'streetAddress': '417 S. Florissant Rd'}","{'@type': 'GeoCoordinates', 'latitude': 38.738682, 'longitude': -90.30306569999999}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '27'}"
Steak 'N Shake (10459 Page Avenue),https://www.ubereats.com/st-louis/food-delivery/steak-n-shake-10459-page-avenue/veg0lfCMTJS-9umqqD5kIw,overland-missouri,['American'],,,$$,38.6920498,-90.3915627,+13144294436,63132,10459 Page Avenue,St. Louis,MO,[],"{'@type': 'PostalAddress', 'addressLocality': 'St. Louis', 'addressRegion': 'MO', 'postalCode': '63132', 'addressCountry': 'US', 'streetAddress': '10459 Page Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 38.6920498, 'longitude': -90.3915627}",{}
Tony's K-Food cuisine,https://www.ubereats.com/st-louis/food-delivery/tonys-k-food-cuisine/RAcJ384rSvm_Lam1rudPaA,overland-missouri,"['Korean', 'Asian', 'BBQ']",4.9,30,$,38.6817296,-90.49528989999999,+13142051882,63017,13361 Olive Blvd,Chesterfield,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:30', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chesterfield', 'addressRegion': 'MO', 'postalCode': '63017', 'addressCountry': 'US', 'streetAddress': '13361 Olive Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 38.6817296, 'longitude': -90.49528989999999}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '30'}"
