name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Anthony's Pizza & Pasta (Smoky Hill),https://www.ubereats.com/denver/food-delivery/anthonys-pizza-%26-pasta-smoky-hill/fV1LWUcbT5KrHcaGbhB1SQ,parker-colorado,"['Italian', 'Pasta', 'Comfort Food']",4.4,39,$,39.6115921,-104.7514559,+13036171000,80015,20269 E Smoky Hill Rd,Aurora,CO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Aurora', 'addressRegion': 'CO', 'postalCode': '80015', 'addressCountry': 'US', 'streetAddress': '20269 E Smoky Hill Rd'}","{'@type': 'GeoCoordinates', 'latitude': 39.6115921, 'longitude': -104.7514559}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '39'}"
Hurts Donut Company - Parker,https://www.ubereats.com/denver/food-delivery/hurts-donut-company-parker/2_6EjZZbTFK2jvUQV8ne9w,parker-colorado,"['American', 'Breakfast and Brunch', 'Desserts', 'Vegetarian Friendly', 'Comfort Food', 'Kids Friendly']",,,$,39.492487,-104.7570618,+17203556156,80134,12311 Pine Bluffs Way,Parker,CO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Parker', 'addressRegion': 'CO', 'postalCode': '80134', 'addressCountry': 'US', 'streetAddress': '12311 Pine Bluffs Way'}","{'@type': 'GeoCoordinates', 'latitude': 39.492487, 'longitude': -104.7570618}",{}
It's All Peachy,https://www.ubereats.com/denver/food-delivery/its-all-peachy/8yn93EARTIa5EVqyesJ9IA,parker-colorado,"['Ice Cream & Frozen Yogurt', 'Comfort Food', 'Desserts']",,,$,39.6034083,-104.8063846,+17202426110,80016,6262 S Parker Rd,Centennial,CO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '14:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Centennial', 'addressRegion': 'CO', 'postalCode': '80016', 'addressCountry': 'US', 'streetAddress': '6262 S Parker Rd'}","{'@type': 'GeoCoordinates', 'latitude': 39.6034083, 'longitude': -104.8063846}",{}
Five Guys CO-1695 23963 E. Prospect Ave,https://www.ubereats.com/denver/food-delivery/five-guys-co-1695-23963-e-prospect-ave/IUqtTnS3Reqn7BL7KnDjFA,parker-colorado,"['American', 'Burgers']",4.9,74,$,39.600175,-104.708892,+13036275440,80016,23963 E. Prospect Ave,Aurora,CO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Aurora', 'addressRegion': 'CO', 'postalCode': '80016', 'addressCountry': 'US', 'streetAddress': '23963 E. Prospect Ave'}","{'@type': 'GeoCoordinates', 'latitude': 39.600175, 'longitude': -104.708892}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '74'}"
Chef in a Box (Salida St),https://www.ubereats.com/denver/food-delivery/chef-in-a-box-salida-st/_paqxsUHTM2cF_L9N0L8Xw,parker-colorado,"['Sandwich', 'Burgers', 'Comfort Food']",,,$,39.5820609,-104.7772996,+13035010107,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '16:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 39.5820609, 'longitude': -104.7772996}",{}
The poke story l,https://www.ubereats.com/denver/food-delivery/the-poke-story-l/tznFioe1RX25PoJZ2-CtgA,parker-colorado,"['Asian', 'Asian Fusion', 'Korean']",,,$,39.60630679999999,-104.7093761,+16185590268,80016,23955 E Plaza Ave  G 103,Aurora,CO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Aurora', 'addressRegion': 'CO', 'postalCode': '80016', 'addressCountry': 'US', 'streetAddress': '23955 E Plaza Ave  G 103'}","{'@type': 'GeoCoordinates', 'latitude': 39.60630679999999, 'longitude': -104.7093761}",{}
Sonoma'z Wine Bar & Grill,https://www.ubereats.com/denver/food-delivery/sonomaz-wine-bar-%26-grill/pprvgkgzR1OIH4xdmJvGwA,parker-colorado,"['Burgers', 'American', 'Sandwiches']",,,$,39.5413904,-104.8701353,+13037286000,80124,10345 Park Meadows Dr,Lone Tree,CO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:30', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '6:30', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '6:30', 'closes': '11:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lone Tree', 'addressRegion': 'CO', 'postalCode': '80124', 'addressCountry': 'US', 'streetAddress': '10345 Park Meadows Dr'}","{'@type': 'GeoCoordinates', 'latitude': 39.5413904, 'longitude': -104.8701353}",{}
Coloradough Pizza (Parker),https://www.ubereats.com/denver/food-delivery/coloradough-pizza-parker/KMLE7oPATnSRqpkpUrzdDQ,parker-colorado,"['Pizza', 'American', 'Italian']",4.7,70,$,39.5571816,-104.7819887,+13033863333,80134,17860 Cottonwood Dr,Parker,CO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '15:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Parker', 'addressRegion': 'CO', 'postalCode': '80134', 'addressCountry': 'US', 'streetAddress': '17860 Cottonwood Dr'}","{'@type': 'GeoCoordinates', 'latitude': 39.5571816, 'longitude': -104.7819887}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '70'}"
Bookmakers Burgers Bourbon Brews,https://www.ubereats.com/denver/food-delivery/bookmakers-burgers-bourbon-brews/3smiZG2USNSw9bQeJPYnbg,parker-colorado,"['American', 'Burgers']",4.6,104,$$,39.58604760000001,-104.6870704,+13033538298,80016,25791 East Smoky Hill Road,Aurora,CO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Aurora', 'addressRegion': 'CO', 'postalCode': '80016', 'addressCountry': 'US', 'streetAddress': '25791 East Smoky Hill Road'}","{'@type': 'GeoCoordinates', 'latitude': 39.58604760000001, 'longitude': -104.6870704}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '104'}"
Chef in a Box (S Yosemite St.),https://www.ubereats.com/denver/food-delivery/chef-in-a-box-s-yosemite-st/58vC1B_bQFGbVvT7fBR93Q,parker-colorado,"['Burgers', 'American', 'Comfort Food']",,,$,39.5820609,-104.7772996,+13035010324,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 39.5820609, 'longitude': -104.7772996}",{}
