name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
KFC (9951 Pines Blvd.),https://www.ubereats.com/miami/food-delivery/kfc-9951-pines-blvd/pkSJnzEzRK6enhZ0Zo1ywQ,pembroke-pines-florida,"['American', 'Fast Food', 'wings', 'Southern']",4.3,172,$,26.008951,-80.2771029,+19544352315,33024,9951 Pines Blvd.,Pembroke Pines,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '10:30', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pembroke Pines', 'addressRegion': 'FL', 'postalCode': '33024', 'addressCountry': 'US', 'streetAddress': '9951 Pines Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 26.008951, 'longitude': -80.2771029}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '172'}"
Ellie’s Desi Kitchen,https://www.ubereats.com/miami/food-delivery/ellies-desi-kitchen/deYemjK4QFmUtQGDtwd8AQ,pembroke-pines-florida,"['Halal', 'Chicken', 'Middle Eastern']",4.4,25,$,26.030215,-80.309945,+13053080645,33026,12161 Sheridan St,Hollywood,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:30', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hollywood', 'addressRegion': 'FL', 'postalCode': '33026', 'addressCountry': 'US', 'streetAddress': '12161 Sheridan St'}","{'@type': 'GeoCoordinates', 'latitude': 26.030215, 'longitude': -80.309945}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '25'}"
El Pimiento,https://www.ubereats.com/miami/food-delivery/el-pimiento/5PfQZsNBSYeJ7oCOIHQJvg,pembroke-pines-florida,"['Spanish', 'Desserts']",4.7,107,$$,25.922124,-80.309186,+13058268181,33014,16403 NW 67th Ave,Miami Lakes,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '17:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Miami Lakes', 'addressRegion': 'FL', 'postalCode': '33014', 'addressCountry': 'US', 'streetAddress': '16403 NW 67th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 25.922124, 'longitude': -80.309186}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '107'}"
Bo's Tailgate-(Miramar),https://www.ubereats.com/miami/food-delivery/bos-tailgate-miramar/zB7MBIDdQZKTKvhpxRg_LQ,pembroke-pines-florida,"['Wings', 'American', 'Fast Food']",,,$,25.9826732,-80.3531189,+17544008558,33027,15500 SW 29 St,Miramar,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:30', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Miramar', 'addressRegion': 'FL', 'postalCode': '33027', 'addressCountry': 'US', 'streetAddress': '15500 SW 29 St'}","{'@type': 'GeoCoordinates', 'latitude': 25.9826732, 'longitude': -80.3531189}",{}
"Karla Bakery - Hialeah, FL",https://www.ubereats.com/miami/food-delivery/karla-bakery-hialeah-fl/6i33KJNVQa-diCrFc0R6aw,pembroke-pines-florida,"['Desserts', 'Bakery', 'Pastry', 'Sandwich']",4.3,149,$,25.894573,-80.340958,+13053648744,33018,7950 W 28th Ave,Hialeah,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hialeah', 'addressRegion': 'Florida', 'postalCode': '33018', 'addressCountry': 'US', 'streetAddress': '7950 W 28th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 25.894573, 'longitude': -80.340958}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '149'}"
Imasa Sushi,https://www.ubereats.com/miami/food-delivery/imasa-sushi/mURluKCjT22SmD3GDOW-BA,pembroke-pines-florida,"['Seafood', 'Asian', 'Sushi']",4.8,500,$$,26.0445548,-80.2590953,+19547431909,33024,8570 Stirling Rd,Davie,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Davie', 'addressRegion': 'FL', 'postalCode': '33024', 'addressCountry': 'US', 'streetAddress': '8570 Stirling Rd'}","{'@type': 'GeoCoordinates', 'latitude': 26.0445548, 'longitude': -80.2590953}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '500'}"
Jersey Mike's (4422 Weston Rd),https://www.ubereats.com/miami/food-delivery/jersey-mikes-4422-weston-rd/FPkLHw9iSmq2JmV7UEIS6g,pembroke-pines-florida,"['Sandwich', 'American']",4.8,258,$,26.065608,-80.361606,+19543952800,33331,4422 Weston Rd,Davie,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:14', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Davie', 'addressRegion': 'FL', 'postalCode': '33331', 'addressCountry': 'US', 'streetAddress': '4422 Weston Rd'}","{'@type': 'GeoCoordinates', 'latitude': 26.065608, 'longitude': -80.361606}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '258'}"
Chews Health,https://www.ubereats.com/miami/food-delivery/chews-health/PC0pR5ZpTE6ow8mUT9Rf5Q,pembroke-pines-florida,"['Juice and Smoothies', 'Breakfast and Brunch', 'Vegetarian']",,,$,26.0269437,-80.36793109999999,+19546688147,33028,16552 NW 22nd St,Pembroke Pines,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pembroke Pines', 'addressRegion': 'FL', 'postalCode': '33028', 'addressCountry': 'US', 'streetAddress': '16552 NW 22nd St'}","{'@type': 'GeoCoordinates', 'latitude': 26.0269437, 'longitude': -80.36793109999999}",{}
Pollo Tropical (19700 NW 27th Ave),https://www.ubereats.com/miami/food-delivery/pollo-tropical-19700-nw-27th-ave/Jf1Tv5h9T0KjwpUVpN7UZg,pembroke-pines-florida,"['Caribbean', 'Latin American', 'Healthy', 'Chicken', 'Vegetarian']",4.0,149,$,25.9531796,-80.2463478,+13056226687,33056,19700 NW 27th Ave,Miami Gardens,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Miami Gardens', 'addressRegion': 'FL', 'postalCode': '33056', 'addressCountry': 'US', 'streetAddress': '19700 NW 27th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 25.9531796, 'longitude': -80.2463478}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '149'}"
Tin Cup Sports Bar & Grill (Davie),https://www.ubereats.com/miami/food-delivery/tin-cup-sports-bar-%26-grill-davie/evGw7BE-STGYJlwNfcORxA,pembroke-pines-florida,"['American', 'Burgers', 'Kids Friendly', 'Sandwich', 'Salads']",4.9,14,$,26.059085,-80.27034599999999,+19544346011,33328,5050 SW 90th Ave,Cooper City,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cooper City', 'addressRegion': 'FL', 'postalCode': '33328', 'addressCountry': 'US', 'streetAddress': '5050 SW 90th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 26.059085, 'longitude': -80.27034599999999}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '14'}"
