name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Maynard’s Donut Co,https://www.ubereats.com/pensacola-fl/food-delivery/maynards-donut-co/qtctbUrLS2mx-_A9RYc1yg,pensacola-fl,['Bakery'],4.9,10,$,30.531894,-87.24609000000001,+18503613612,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '13:15'}]",,"{'@type': 'GeoCoordinates', 'latitude': 30.531894, 'longitude': -87.24609000000001}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '10'}"
Bonfire Pizza,https://www.ubereats.com/pensacola-fl/food-delivery/bonfire-pizza/W9BxeCukQmuzH5mRZtF7DA,pensacola-fl,"['Pizza', 'American', 'Comfort Food', 'Italian']",,,$,30.53059559999999,-87.2250526,+18503415419,32514,1741 E 9 Mile Rd Ste 8,Pensacola,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pensacola', 'addressRegion': 'FL', 'postalCode': '32514', 'addressCountry': 'US', 'streetAddress': '1741 E 9 Mile Rd Ste 8'}","{'@type': 'GeoCoordinates', 'latitude': 30.53059559999999, 'longitude': -87.2250526}",{}
Outback Steakhouse (903 Airport Blvd),https://www.ubereats.com/pensacola-fl/food-delivery/outback-steakhouse-903-airport-blvd/cLy8n9EESbundjEFNLDNxw,pensacola-fl,"['Burgers', 'American', 'Sandwiches', 'Steak', 'Seafood', 'Salads', 'BBQ']",4.6,100,$,30.4808667,-87.2222132,+18504322800,32504,903 Airport Blvd,Pensacola,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pensacola', 'addressRegion': 'FL', 'postalCode': '32504', 'addressCountry': 'US', 'streetAddress': '903 Airport Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 30.4808667, 'longitude': -87.2222132}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '100'}"
Jersey Mikes (503 N Navy Blvd),https://www.ubereats.com/pensacola-fl/food-delivery/jersey-mikes-503-n-navy-blvd/eXcIMl7jQgSsjkkZJXMePQ,pensacola-fl,"['Sandwich', 'American']",4.5,35,$,30.396957,-87.278425,+18508983399,32507,503 N Navy Blvd,Pensacola,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pensacola', 'addressRegion': 'FL', 'postalCode': '32507', 'addressCountry': 'US', 'streetAddress': '503 N Navy Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 30.396957, 'longitude': -87.278425}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '35'}"
Nonie I's,https://www.ubereats.com/pensacola-fl/food-delivery/nonie-is/K6qgOxn_SC6uNa-P6abOYA,pensacola-fl,"['Italian', 'Pasta', 'Comfort Food']",,,$,30.40973189999999,-87.2697216,+18152728035,32507,3910 W Navy Blvd,Pensacola,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pensacola', 'addressRegion': 'FL', 'postalCode': '32507', 'addressCountry': 'US', 'streetAddress': '3910 W Navy Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 30.40973189999999, 'longitude': -87.2697216}",{}
Papa John's (2829 Michigan Avenue),https://www.ubereats.com/pensacola-fl/food-delivery/papa-johns-2829-michigan-avenue/tm3T6hEjRlCSEuvHqKoSBQ,pensacola-fl,"['PIzza', 'Pasta', 'Burgers']",4.1,14,$$,30.46042860000001,-87.2896904,+18509445588,32526,2829 Michigan Avenue,Pensacola,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pensacola', 'addressRegion': 'FL', 'postalCode': '32526', 'addressCountry': 'US', 'streetAddress': '2829 Michigan Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 30.46042860000001, 'longitude': -87.2896904}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '14'}"
Firehouse Subs (318 Gulf Breeze Pkwy),https://www.ubereats.com/pensacola-fl/food-delivery/firehouse-subs-318-gulf-breeze-pkwy/k0vfc9ybTWyzEKaRCWP-qw,pensacola-fl,"['Sandwich', 'Deli']",4.8,19,$,30.36587399999999,-87.168921,+18509167664,32561,318,Gulf Breeze,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '19:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gulf Breeze', 'addressRegion': 'FL', 'postalCode': '32561', 'addressCountry': 'US', 'streetAddress': '318'}","{'@type': 'GeoCoordinates', 'latitude': 30.36587399999999, 'longitude': -87.168921}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '19'}"
Akari Sushi,https://www.ubereats.com/pensacola-fl/food-delivery/akari-sushi/60uNgDhBS6mHj-JA-DRQog,pensacola-fl,"['Japanese: Sushi', 'Salads']",,,,30.53421,-87.27524,+18507230860,32534,40 West Nine Mile Road 3,Ensley,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ensley', 'addressRegion': 'FL', 'postalCode': '32534', 'addressCountry': 'US', 'streetAddress': '40 West Nine Mile Road 3'}","{'@type': 'GeoCoordinates', 'latitude': 30.53421, 'longitude': -87.27524}",{}
Jersey Mike's (850 Gulf Breeze Parkway),https://www.ubereats.com/pensacola-fl/food-delivery/jersey-mikes-850-gulf-breeze-parkway/Uo238P7rQOu846lJO0jwHA,pensacola-fl,"['Sandwich', 'American']",4.5,16,$,30.3600526,-87.1645185,+18508050050,32561,850,Gulf Breeze,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gulf Breeze', 'addressRegion': 'FL', 'postalCode': '32561', 'addressCountry': 'US', 'streetAddress': '850'}","{'@type': 'GeoCoordinates', 'latitude': 30.3600526, 'longitude': -87.1645185}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '16'}"
Brew Ha Ha,https://www.ubereats.com/pensacola-fl/food-delivery/brew-ha-ha/bpnZXOMNSLGOOzUOiDuDsg,pensacola-fl,"['Burgers', 'Bar Food']",,,$,30.439617900000002,-87.2066517,+18508579350,32503,2435 N 12th Ave,Pensacola,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pensacola', 'addressRegion': 'FL', 'postalCode': '32503', 'addressCountry': 'US', 'streetAddress': '2435 N 12th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 30.439617900000002, 'longitude': -87.2066517}",{}
