name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Qdoba (Camp & River),https://www.ubereats.com/peoria-il/food-delivery/qdoba-camp-%26-river/8DV1NpB9RFGBFwoqbRd7ng,peoria-illinois,['Mexican'],,,$,40.6816632,-89.58767739999999,+13096987100,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '22:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.6816632, 'longitude': -89.58767739999999}",{}
BELLEVUE TAP,https://www.ubereats.com/peoria-il/food-delivery/bellevue-tap/pvg_1V8GTJi_Vb3r5M7a4Q,peoria-illinois,"['Burgers', 'Wings', 'Salads']",,,,40.6884398,-89.6811434,+13099669923,61604,5514 W Plank Rd,Bellevue,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:0', 'closes': '2:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bellevue', 'addressRegion': 'IL', 'postalCode': '61604', 'addressCountry': 'US', 'streetAddress': '5514 W Plank Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.6884398, 'longitude': -89.6811434}",{}
Hacienda El Mirador,https://www.ubereats.com/peoria-il/food-delivery/hacienda-el-mirador/MSBs7u3UQw-rdYhZxsIwQA,peoria-illinois,['Mexican'],4.1,14,$,40.757974,-89.590943,+13098392820,61614,5805 N Humboldt Ave,Peoria,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '12:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:0', 'closes': '12:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '9:0', 'closes': '12:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '14:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '12:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '14:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Peoria', 'addressRegion': 'IL', 'postalCode': '61614', 'addressCountry': 'US', 'streetAddress': '5805 N Humboldt Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.757974, 'longitude': -89.590943}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '14'}"
Moja Southern Kitchen,https://www.ubereats.com/peoria-il/food-delivery/moja-southern-kitchen/JDvx8howSh6Yxnyk8om3bg,peoria-illinois,['Breakfast and Brunch'],,,$$,40.69155,-89.608032,+13098392086,61605,301 N MacArthur Hwy,Peoria,Illinois,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '10:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '8:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Peoria', 'addressRegion': 'Illinois', 'postalCode': '61605', 'addressCountry': 'US', 'streetAddress': '301 N MacArthur Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 40.69155, 'longitude': -89.608032}",{}
Hardees (1506284),https://www.ubereats.com/peoria-il/food-delivery/hardees-1506284/0ew5UqNHS3CEWAe15fnH-w,peoria-illinois,"['American', 'Breakfast and Brunch', 'Burgers', 'Chicken', 'Fast Food', 'Sandwich']",,,$,40.7296855,-89.6130799,+13096811847,61604,3431 N. University St.,Peoria,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '10:44'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:45', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '5:30', 'closes': '10:14'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:15', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '5:30', 'closes': '10:44'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:45', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Peoria', 'addressRegion': 'IL', 'postalCode': '61604', 'addressCountry': 'US', 'streetAddress': '3431 N. University St.'}","{'@type': 'GeoCoordinates', 'latitude': 40.7296855, 'longitude': -89.6130799}",{}
Denny's (115 Radio City Dr),https://www.ubereats.com/peoria-il/food-delivery/dennys-115-radio-city-dr/d3-FxfpESEqagD6nHp06Zg,peoria-illinois,"['American', 'Breakfast and Brunch', 'Coffee and Tea', 'Dinner', 'Desserts', 'Salads', 'Steak', 'Sandwich']",,,$$,40.6249825,-89.6210816,+13093824400,61554,115 Radio City Dr,North Pekin,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'North Pekin', 'addressRegion': 'IL', 'postalCode': '61554', 'addressCountry': 'US', 'streetAddress': '115 Radio City Dr'}","{'@type': 'GeoCoordinates', 'latitude': 40.6249825, 'longitude': -89.6210816}",{}
Smoky Burgers n' Frites,https://www.ubereats.com/peoria-il/food-delivery/smoky-burgers-n-frites/2s9Mt47sSP-oqK7COE5aVQ,peoria-illinois,"['American', 'Burgers']",,,$,40.698977,-89.611695,+13098632939,61606,1200 W Main St,Peoria,Illinois,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Peoria', 'addressRegion': 'Illinois', 'postalCode': '61606', 'addressCountry': 'US', 'streetAddress': '1200 W Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.698977, 'longitude': -89.611695}",{}
Steak and Fries,https://www.ubereats.com/peoria-il/food-delivery/steak-and-fries/iVZrzcwsTyypWnPqPgkHTA,peoria-illinois,"['Sandwich', 'Fast Food']",4.8,46,$,40.698975,-89.611699,+13096762828,61606,1200 W Main Street,Peoria,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Peoria', 'addressRegion': 'IL', 'postalCode': '61606', 'addressCountry': 'US', 'streetAddress': '1200 W Main Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.698975, 'longitude': -89.611699}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '46'}"
Papa John's (4307 N. Sheridan Rd.),https://www.ubereats.com/peoria-il/food-delivery/papa-johns-4307-n-sheridan-rd/h2eznhaqSHOgnWqC-H0vAQ,peoria-illinois,"['Pizza', 'Wings', 'Desserts']",3.6,11,$,40.7398681,-89.60347569999999,+13096827272,61614,4307 N. Sheridan Rd.,Peoria,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '23:10'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '0:10'}]","{'@type': 'PostalAddress', 'addressLocality': 'Peoria', 'addressRegion': 'IL', 'postalCode': '61614', 'addressCountry': 'US', 'streetAddress': '4307 N. Sheridan Rd.'}","{'@type': 'GeoCoordinates', 'latitude': 40.7398681, 'longitude': -89.60347569999999}","{'@type': 'AggregateRating', 'ratingValue': 3.6, 'reviewCount': '11'}"
Santa Fe Corner Restaurant Baronville Bp,https://www.ubereats.com/peoria-il/food-delivery/santa-fe-corner-restaurant-baronville-bp/g7j5cJglQXiFbUAWKUQtog,peoria-illinois,"['Mexican', 'New Mexican', 'Sandwich']",,,$,40.6481674,-89.64945320000001,+13096971824,61607,700 McKinley Ave,Bartonville,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '4:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '4:30', 'closes': '14:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bartonville', 'addressRegion': 'IL', 'postalCode': '61607', 'addressCountry': 'US', 'streetAddress': '700 McKinley Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.6481674, 'longitude': -89.64945320000001}",{}
