name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Buffalo Wild Wings (1790 1st St),https://www.ubereats.com/san-francisco/food-delivery/buffalo-wild-wings-1790-1st-st/_rFCEa0bTVK1sebP5gA_kA,pleasanton-california,"['wings', 'American', 'Burgers', 'Sandwich']",4.4,44,$$,37.6803504,-121.7740829,+19253739464,94550,1790 1st St,Livermore,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Livermore', 'addressRegion': 'CA', 'postalCode': '94550', 'addressCountry': 'US', 'streetAddress': '1790 1st St'}","{'@type': 'GeoCoordinates', 'latitude': 37.6803504, 'longitude': -121.7740829}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '44'}"
"The Habit Burger Grill (6770 Bernal Ave, Suite 410)",https://www.ubereats.com/san-francisco/food-delivery/the-habit-burger-grill-6770-bernal-ave-suite-410/-4XbgeDDQI-pm5bT3CH13g,pleasanton-california,"['American', 'Burgers', 'Family Meals']",4.8,32,$,37.6576100854232,-121.89805122260596,+19254853260,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:45'}]",,"{'@type': 'GeoCoordinates', 'latitude': 37.6576100854232, 'longitude': -121.89805122260596}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '32'}"
Grillaz Gone Wild Food Truck ,https://www.ubereats.com/san-francisco/food-delivery/grillaz-gone-wild-food-truck/cFHWgFsJQ5uKdK5CqJIiNQ,pleasanton-california,"['Comfort Food', 'American', 'Sandwich', 'Allergy Friendly']",,,$$,37.699793299999996,-121.76783669999999,+17075013252,94551,2700 Las Positas Rd,Livermore,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Livermore', 'addressRegion': 'CA', 'postalCode': '94551', 'addressCountry': 'US', 'streetAddress': '2700 Las Positas Rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.699793299999996, 'longitude': -121.76783669999999}",{}
DANA'S INDO-MEDI FUSION,https://www.ubereats.com/san-francisco/food-delivery/danas-indo-medi-fusion/fHTVnM9HQWaynavcnDEweA,pleasanton-california,"['Mediterranean', 'Kids Friendly', 'Salads']",,,$,37.6926096,-121.9027707,+19254250340,94588,4833 Hopyard Rd #1,Pleasanton,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pleasanton', 'addressRegion': 'CA', 'postalCode': '94588', 'addressCountry': 'US', 'streetAddress': '4833 Hopyard Rd #1'}","{'@type': 'GeoCoordinates', 'latitude': 37.6926096, 'longitude': -121.9027707}",{}
Popeyes Louisiana Kitchen (2301 Las Positas Rd),https://www.ubereats.com/san-francisco/food-delivery/popeyes-louisiana-kitchen-2301-las-positas-rd/3uwEHeo1QACjmIqzr-A1fw,pleasanton-california,"['American', 'Fast Food', 'Southern', 'Wings']",4.2,57,$,37.697357,-121.772236,+15106148698,94551,2301 Las Positas Rd,Livermore,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Livermore', 'addressRegion': 'CA', 'postalCode': '94551', 'addressCountry': 'US', 'streetAddress': '2301 Las Positas Rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.697357, 'longitude': -121.772236}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '57'}"
Kabul Kabob & Grill,https://www.ubereats.com/san-francisco/food-delivery/kabul-kabob-%26-grill/FVKzsCI7SAumMwYfiSkp-w,pleasanton-california,"['Afghan', 'Halal', 'Vegetarian']",,,$,37.7226067,-121.9410893,+19259975626,94568-1061,8939 San Ramon Rd,Dublin,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '13:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dublin', 'addressRegion': 'CA', 'postalCode': '94568-1061', 'addressCountry': 'US', 'streetAddress': '8939 San Ramon Rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.7226067, 'longitude': -121.9410893}",{}
Curry Pizza House (Dublin),https://www.ubereats.com/san-francisco/food-delivery/curry-pizza-house-dublin/bZR7SqgFR4KJ1KGXs6xqGg,pleasanton-california,"['Pizza', 'Wings', 'Indian', 'Indian Curry']",4.5,89,$,37.7046858,-121.9111312,+19258332400,94568,6599,Dublin,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dublin', 'addressRegion': 'CA', 'postalCode': '94568', 'addressCountry': 'US', 'streetAddress': '6599'}","{'@type': 'GeoCoordinates', 'latitude': 37.7046858, 'longitude': -121.9111312}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '89'}"
Faz Restaurants (Pleasanton),https://www.ubereats.com/san-francisco/food-delivery/faz-restaurants-pleasanton/ncgUmMtdRved7PuhFnY51Q,pleasanton-california,['Mediterranean'],,,$$,37.697221,-121.90225,+19254600444,94588,5121 Hopyard Rd,Pleasanton,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pleasanton', 'addressRegion': 'California', 'postalCode': '94588', 'addressCountry': 'US', 'streetAddress': '5121 Hopyard Rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.697221, 'longitude': -121.90225}",{}
Jamba Juice (2050 Portola Ave. #G),https://www.ubereats.com/san-francisco/food-delivery/jamba-juice-2050-portola-ave-%23g/PHazk-eWROavJ5hUfS16lg,pleasanton-california,"['Juice Bars', 'Healthy', 'Juice and Smoothies']",,,$,37.6913888,-121.7737268,+19254472694,94550,2050 Portola Ave. #G,Livermore,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Livermore', 'addressRegion': 'CA', 'postalCode': '94550', 'addressCountry': 'US', 'streetAddress': '2050 Portola Ave. #G'}","{'@type': 'GeoCoordinates', 'latitude': 37.6913888, 'longitude': -121.7737268}",{}
Koi Palace Express (Dublin Blvd),https://www.ubereats.com/san-francisco/food-delivery/koi-palace-express-dublin-blvd/qO_gN5_wT92WDWMQlEwgpA,pleasanton-california,"['Cantonese', 'Asian Fusion']",,,$$,37.70512463938935,-121.8763927364794,+19258333938,94568,4288,Dublin,California,[],"{'@type': 'PostalAddress', 'addressLocality': 'Dublin', 'addressRegion': 'California', 'postalCode': '94568', 'addressCountry': 'US', 'streetAddress': '4288'}","{'@type': 'GeoCoordinates', 'latitude': 37.70512463938935, 'longitude': -121.8763927364794}",{}
