name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Cici's Pizza (12777 Atlantic Blvd),https://www.ubereats.com/jacksonville/food-delivery/cicis-pizza-12777-atlantic-blvd/9RneacLbRX2NRq9oFhIO1g,ponte-vedra-beach-florida,"['PIzza', 'American', 'Salads']",4.3,15,$$$,30.3205541,-81.4713239,+19042201000,32225,12777 Atlantic Blvd,Jacksonville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville', 'addressRegion': 'FL', 'postalCode': '32225', 'addressCountry': 'US', 'streetAddress': '12777 Atlantic Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 30.3205541, 'longitude': -81.4713239}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '15'}"
Treata Tea Shoppe,https://www.ubereats.com/jacksonville/food-delivery/treata-tea-shoppe/NcBq5883TsufXVYaHUIWeA,ponte-vedra-beach-florida,"['Asian', 'Desserts', 'Juice and Smoothies', 'Allergy Friendly']",4.7,27,$,30.2879599,-81.5029333,+19045513881,32246,11925 Beach Blvd,Jacksonville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville', 'addressRegion': 'FL', 'postalCode': '32246', 'addressCountry': 'US', 'streetAddress': '11925 Beach Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 30.2879599, 'longitude': -81.5029333}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '27'}"
Surfwiches Sandwich Shop (1537 Penman Rd),https://www.ubereats.com/jacksonville/food-delivery/surfwiches-sandwich-shop-1537-penman-rd/_qJDW-MHSZy7JJP2nXN8Ug,ponte-vedra-beach-florida,"['American', 'Sandwich']",,,$,30.302006,-81.405909,+19042416996,32250,1537 Penman Rd,Jacksonville Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '16:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville Beach', 'addressRegion': 'FL', 'postalCode': '32250', 'addressCountry': 'US', 'streetAddress': '1537 Penman Rd'}","{'@type': 'GeoCoordinates', 'latitude': 30.302006, 'longitude': -81.405909}",{}
Habibi,https://www.ubereats.com/jacksonville/food-delivery/habibi/A4V7CguOTS2Ygy5C5Op0JA,ponte-vedra-beach-florida,"['Greek', 'Vegetarian Friendly', 'Sandwich', 'Salads']",,,$,30.29162609999999,-81.3904496,+19049946508,32250,314 1st St N,Jacksonville Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '13:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville Beach', 'addressRegion': 'FL', 'postalCode': '32250', 'addressCountry': 'US', 'streetAddress': '314 1st St N'}","{'@type': 'GeoCoordinates', 'latitude': 30.29162609999999, 'longitude': -81.3904496}",{}
V Pizza (Jacksonville Beach),https://www.ubereats.com/jacksonville/food-delivery/v-pizza-jacksonville-beach/VS_ECnYUTweHwOJTmUuruw,ponte-vedra-beach-florida,"['Pizza', 'American', 'Italian']",,,$,30.293789,-81.3906595,+19048536633,32250,528 N 1st St,Jacksonville Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville Beach', 'addressRegion': 'FL', 'postalCode': '32250', 'addressCountry': 'US', 'streetAddress': '528 N 1st St'}","{'@type': 'GeoCoordinates', 'latitude': 30.293789, 'longitude': -81.3906595}",{}
Cinnabon (10300 Southside Blvd),https://www.ubereats.com/jacksonville/food-delivery/cinnabon-10300-southside-blvd/dq6hHNKoT6KnGXInfIQJPw,ponte-vedra-beach-florida,"['Bakery', 'Desserts', 'Coffee and Tea']",4.8,31,$,30.1845197,-81.5540089,+19047387665,32256,10300 Southside Blvd,Jacksonville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville', 'addressRegion': 'FL', 'postalCode': '32256', 'addressCountry': 'US', 'streetAddress': '10300 Southside Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 30.1845197, 'longitude': -81.5540089}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '31'}"
Peterbrooke Chocolatier (333 Village Main St),https://www.ubereats.com/jacksonville/food-delivery/peterbrooke-chocolatier-333-village-main-st/IsbznEXoTxaC2wlwOeV84A,ponte-vedra-beach-florida,"['Desserts', 'American', 'chocolatier']",,,$,30.2049853,-81.3821722,+19042737878,32082,333 Village Main St  St #640,Ponte Vedra Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday'], 'opens': '12:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ponte Vedra Beach', 'addressRegion': 'FL', 'postalCode': '32082', 'addressCountry': 'US', 'streetAddress': '333 Village Main St  St #640'}","{'@type': 'GeoCoordinates', 'latitude': 30.2049853, 'longitude': -81.3821722}",{}
Jax Beach Brunch Haus,https://www.ubereats.com/jacksonville/food-delivery/jax-beach-brunch-haus/jXxD43QnSBuCZdSArsUXvw,ponte-vedra-beach-florida,"['Breakfast and Brunch', 'American', 'Sandwich']",4.5,71,$,30.282252,-81.390823,+19049454287,32250,610 3rd St S,Jacksonville Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '13:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville Beach', 'addressRegion': 'FL', 'postalCode': '32250', 'addressCountry': 'US', 'streetAddress': '610 3rd St S'}","{'@type': 'GeoCoordinates', 'latitude': 30.282252, 'longitude': -81.390823}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '71'}"
Vinny's Italian,https://www.ubereats.com/jacksonville/food-delivery/vinnys-italian/rO0funIkSh2rNwkrglr6mg,ponte-vedra-beach-florida,"['Pizza', 'Sandwich', 'Italian']",4.6,128,$,30.28858,-81.442512,+19042235400,32250,14185 Beach Blvd,Jacksonville,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '15:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville', 'addressRegion': 'Florida', 'postalCode': '32250', 'addressCountry': 'US', 'streetAddress': '14185 Beach Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 30.28858, 'longitude': -81.442512}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '128'}"
Mack's Tenders,https://www.ubereats.com/jacksonville/food-delivery/macks-tenders/OATQBHbmSp6dh0JRLHFbbg,ponte-vedra-beach-florida,"['Burgers', 'American', 'Sandwiches']",4.7,28,$,30.2179398,-81.5101231,+19043793983,32256,8738 Baymeadows Rd E,Jacksonville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '19:46'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville', 'addressRegion': 'FL', 'postalCode': '32256', 'addressCountry': 'US', 'streetAddress': '8738 Baymeadows Rd E'}","{'@type': 'GeoCoordinates', 'latitude': 30.2179398, 'longitude': -81.5101231}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '28'}"
Brucci's Pizza (West Beaches),https://www.ubereats.com/jacksonville/food-delivery/bruccis-pizza-west-beaches/4avOsW-YTHm6kfOuCTnnJQ,ponte-vedra-beach-florida,['Pizza'],4.6,58,$,30.2847,-81.4598,+19042236913,32224,13500 Beach Blvd,Jacksonville,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:1', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville', 'addressRegion': 'Florida', 'postalCode': '32224', 'addressCountry': 'US', 'streetAddress': '13500 Beach Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 30.2847, 'longitude': -81.4598}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '58'}"
Tropical Smoothie Cafe - Ponte Vedra Beach,https://www.ubereats.com/jacksonville/food-delivery/tropical-smoothie-cafe-ponte-vedra-beach/XneIGRyWTsC1WzVVrYUB7w,ponte-vedra-beach-florida,"['Juice and Smoothies', 'Healthy', 'Sandwich']",4.5,40,$,30.1982803,-81.3815616,+19047079704,32082,"830 N A1A, Suite 1",Ponte Vedra Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ponte Vedra Beach', 'addressRegion': 'FL', 'postalCode': '32082', 'addressCountry': 'US', 'streetAddress': '830 N A1A, Suite 1'}","{'@type': 'GeoCoordinates', 'latitude': 30.1982803, 'longitude': -81.3815616}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '40'}"
First Watch (Jacksonville Beach),https://www.ubereats.com/jacksonville/food-delivery/first-watch-jacksonville-beach/RiJvqBKhQ4eBLQ2HByL0gw,ponte-vedra-beach-florida,"['American', 'Breakfast and Brunch', 'Juice and Smoothies', 'Healthy']",4.4,40,$$,30.2548596,-81.3910064,+19048343789,32250,544-4 Marsh Landing Pkwy,Jacksonville Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '14:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville Beach', 'addressRegion': 'FL', 'postalCode': '32250', 'addressCountry': 'US', 'streetAddress': '544-4 Marsh Landing Pkwy'}","{'@type': 'GeoCoordinates', 'latitude': 30.2548596, 'longitude': -81.3910064}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '40'}"
Kamiya86,https://www.ubereats.com/jacksonville/food-delivery/kamiya86/p_DrD5PxSFOEeFrlQQN9Lg,ponte-vedra-beach-florida,"['Sushi', 'Asian', 'Japanese']",4.6,26,$,30.18837789999999,-81.3804306,+19042852188,32082,2 Fairfield Blvd Ste 8,Ponte Vedra Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ponte Vedra Beach', 'addressRegion': 'FL', 'postalCode': '32082', 'addressCountry': 'US', 'streetAddress': '2 Fairfield Blvd Ste 8'}","{'@type': 'GeoCoordinates', 'latitude': 30.18837789999999, 'longitude': -81.3804306}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '26'}"
Dunkin' (2158 Mayport Rd Suite 1),https://www.ubereats.com/jacksonville/food-delivery/dunkin-2158-mayport-rd-suite-1/9wl71rINSx2IpubIQFz8BA,ponte-vedra-beach-florida,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",4.5,18,$,30.345937,-81.413921,+19042460600,32233,2158 Mayport Rd,Atlantic Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Atlantic Beach', 'addressRegion': 'FL', 'postalCode': '32233', 'addressCountry': 'US', 'streetAddress': '2158 Mayport Rd'}","{'@type': 'GeoCoordinates', 'latitude': 30.345937, 'longitude': -81.413921}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '18'}"
Time Out Sports Grill,https://www.ubereats.com/jacksonville/food-delivery/time-out-sports-grill/S27QWiA0Q-Soxh-9JvPpgQ,ponte-vedra-beach-florida,"['American', 'Burgers', 'Sandwich']",4.6,16,$$,30.288243,-81.453747,+19042236999,32224,13799 Beach Blvd,Jacksonville,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '23:0', 'closes': '1:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville', 'addressRegion': 'Florida', 'postalCode': '32224', 'addressCountry': 'US', 'streetAddress': '13799 Beach Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 30.288243, 'longitude': -81.453747}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '16'}"
Tomo Japanese Restaurant,https://www.ubereats.com/jacksonville/food-delivery/tomo-japanese-restaurant/eTEDDiYLTQW-BlsiJdl7wQ,ponte-vedra-beach-florida,['Japanese'],,,$$,30.299389,-81.405906,+19043724369,32250,1253 Penman Rd,Jacksonville Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '16:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jacksonville Beach', 'addressRegion': 'FL', 'postalCode': '32250', 'addressCountry': 'US', 'streetAddress': '1253 Penman Rd'}","{'@type': 'GeoCoordinates', 'latitude': 30.299389, 'longitude': -81.405906}",{}
Tropical Smoothie Cafe - Bartram Park,https://www.ubereats.com/jacksonville/food-delivery/tropical-smoothie-cafe-bartram-park/mTy8nWwWS6Om1oyhFcWOgQ,ponte-vedra-beach-florida,"['Juice and Smoothies', 'Healthy', 'Sandwich']",4.8,81,$,30.1408128,-81.5518439,+19043371648,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '7:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '22:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 30.1408128, 'longitude': -81.5518439}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '81'}"
Poppy’s Italiano,https://www.ubereats.com/jacksonville/food-delivery/poppys-italiano/B2DBf04ZT0iM5OtXuqQP_w,ponte-vedra-beach-florida,"['Italian', 'Pasta', 'Comfort Food']",4.7,26,$,30.197653,-81.3815255,+19048913387,32082,832 A1A N,Ponte Vedra Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ponte Vedra Beach', 'addressRegion': 'FL', 'postalCode': '32082', 'addressCountry': 'US', 'streetAddress': '832 A1A N'}","{'@type': 'GeoCoordinates', 'latitude': 30.197653, 'longitude': -81.3815255}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '26'}"
