name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Kusina Filipino Restaurant,https://www.ubereats.com/washington-dc/food-delivery/kusina-filipino-restaurant/7IGfo_xPRSe3-wrFuiTxiA,potomac-virginia,"['Asian', 'Filipino', 'Asian Fusion']",4.9,14,,38.2421996,-77.4991917,+15409934762,22408,10151 Jefferson Davis Hwy,Fredericksburg,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fredericksburg', 'addressRegion': 'VA', 'postalCode': '22408', 'addressCountry': 'US', 'streetAddress': '10151 Jefferson Davis Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 38.2421996, 'longitude': -77.4991917}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '14'}"
Five Guys VA-0011 1661 Carl D. Silver Pkwy,https://www.ubereats.com/washington-dc/food-delivery/five-guys-va-0011-1661-carl-d-silver-pkwy/CGwIhOIFR86KAWqvvr6C3Q,potomac-virginia,"['American', 'Burgers', 'Sandwich']",4.5,132,$,38.303923,-77.5078582,+15407869496,22401,1661 Carl D. Silver Parkway,Fredericksburg,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fredericksburg', 'addressRegion': 'VA', 'postalCode': '22401', 'addressCountry': 'US', 'streetAddress': '1661 Carl D. Silver Parkway'}","{'@type': 'GeoCoordinates', 'latitude': 38.303923, 'longitude': -77.5078582}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '132'}"
Ike's Signature Sandwiches,https://www.ubereats.com/washington-dc/food-delivery/ikes-signature-sandwiches/RPWW84TNQMWMdkPYv9QBMg,potomac-virginia,['Sandwich'],,,$,38.3030492,-77.4620058,+15403704106,22401,1000 Charles St,Fredericksburg,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '3:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fredericksburg', 'addressRegion': 'VA', 'postalCode': '22401', 'addressCountry': 'US', 'streetAddress': '1000 Charles St'}","{'@type': 'GeoCoordinates', 'latitude': 38.3030492, 'longitude': -77.4620058}",{}
Robin’s Nest Cafe,https://www.ubereats.com/washington-dc/food-delivery/robins-nest-cafe/Z4XzYEe5QsOzgkGwOhzN5w,potomac-virginia,"['Coffee and Tea', 'Desserts', 'Ice Cream and Frozen Yogurt']",,,,38.270433,-77.4459376,+15406424394,22408,3109 Shannon Airport Cir,Fredericksburg,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fredericksburg', 'addressRegion': 'VA', 'postalCode': '22408', 'addressCountry': 'US', 'streetAddress': '3109 Shannon Airport Cir'}","{'@type': 'GeoCoordinates', 'latitude': 38.270433, 'longitude': -77.4459376}",{}
Moya's Cuban Creations,https://www.ubereats.com/washington-dc/food-delivery/moyas-cuban-creations/3dMvfIWnToGDcnKilGOZ1Q,potomac-virginia,"['Latin American', 'Mexican', 'Vegetarian']",,,$,38.3532769,-77.51260719999999,+15403711681,22406,27 McWhirt Loop unit 110,Fredericksburg,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '16:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fredericksburg', 'addressRegion': 'VA', 'postalCode': '22406', 'addressCountry': 'US', 'streetAddress': '27 McWhirt Loop unit 110'}","{'@type': 'GeoCoordinates', 'latitude': 38.3532769, 'longitude': -77.51260719999999}",{}
Ann's Lobster Rolls,https://www.ubereats.com/washington-dc/food-delivery/anns-lobster-rolls/bG3Icux5TteNd5ACRed2Vw,potomac-virginia,"['Seafood', 'American', 'Southern']",4.4,45,$,38.4824832,-77.3870573,+15404264151,22554,3349 Jefferson Davis Highway,Stafford,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Stafford', 'addressRegion': 'VA', 'postalCode': '22554', 'addressCountry': 'US', 'streetAddress': '3349 Jefferson Davis Highway'}","{'@type': 'GeoCoordinates', 'latitude': 38.4824832, 'longitude': -77.3870573}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '45'}"
Chipotle Mexican Grill (1601 Jefferson Davis Hwy),https://www.ubereats.com/washington-dc/food-delivery/chipotle-mexican-grill-1601-jefferson-davis-hwy/Gc-rYWcgQvOEBX3OtUC7EA,potomac-virginia,"['Healthy', 'Mexican']",4.4,275,$,38.2992642,-77.48373959999999,+15403739628,22401,1601 Jefferson Davis Hwy,Fredericksburg,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fredericksburg', 'addressRegion': 'VA', 'postalCode': '22401', 'addressCountry': 'US', 'streetAddress': '1601 Jefferson Davis Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 38.2992642, 'longitude': -77.48373959999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '275'}"
Duck Donuts (1223 Jefferson Davis Hwy),https://www.ubereats.com/washington-dc/food-delivery/duck-donuts-1223-jefferson-davis-hwy/HQMMe_R0QmOb3AUjedkqpQ,potomac-virginia,"['Desserts', 'Vegetarian', 'Coffee and Tea']",4.7,14,$,38.30642599999999,-77.4807586,+15404798353,22401,1223 Jefferson Davis Hwy,Fredericksburg,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fredericksburg', 'addressRegion': 'VA', 'postalCode': '22401', 'addressCountry': 'US', 'streetAddress': '1223 Jefferson Davis Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 38.30642599999999, 'longitude': -77.4807586}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '14'}"
Dairy Queen Grill & Chill (10907 Courthouse Rd),https://www.ubereats.com/washington-dc/food-delivery/dairy-queen-grill-%26-chill-10907-courthouse-rd/hDHqKTAaQDGnV_5ggjdqOg,potomac-virginia,"['Ice Cream and Frozen Yogurt', 'Burgers', 'Fast Food']",4.7,154,$,38.25376490000001,-77.4997042,+15408980077,22408,10907 Courthouse Rd,Fredericksburg,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fredericksburg', 'addressRegion': 'VA', 'postalCode': '22408', 'addressCountry': 'US', 'streetAddress': '10907 Courthouse Rd'}","{'@type': 'GeoCoordinates', 'latitude': 38.25376490000001, 'longitude': -77.4997042}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '154'}"
Taste of Trelawny,https://www.ubereats.com/washington-dc/food-delivery/taste-of-trelawny/YRl8k50OQkeG629IcrFjdQ,potomac-virginia,"['Caribbean', 'Seafood', 'Latin American']",4.7,30,$,38.2958586,-77.4373653,+15409400900,22405,100 Randolph Rd,Fredericksburg,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fredericksburg', 'addressRegion': 'VA', 'postalCode': '22405', 'addressCountry': 'US', 'streetAddress': '100 Randolph Rd'}","{'@type': 'GeoCoordinates', 'latitude': 38.2958586, 'longitude': -77.4373653}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '30'}"
