name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Rose Restaurant,https://www.ubereats.com/new-jersey/food-delivery/rose-restaurant/_BThb1JqQISMboGVAXVC7w,river-edge-new-jersey,"['Persian', 'Turkish', 'Middle Eastern']",4.7,19,$$,40.892969,-74.002669,+12015693600,07666,1150,Teaneck,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '13:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '13:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Teaneck', 'addressRegion': 'NJ', 'postalCode': '07666', 'addressCountry': 'US', 'streetAddress': '1150'}","{'@type': 'GeoCoordinates', 'latitude': 40.892969, 'longitude': -74.002669}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '19'}"
Mocha Bar ,https://www.ubereats.com/new-jersey/food-delivery/mocha-bar/1fkej51YRL-_CROXApRYtA,river-edge-new-jersey,"['Vegetarian', 'Salads', 'Juice and Smoothies']",,,$,40.901404,-74.0049023,+12018372538,7666,1399 Queen Anne Road,Teaneck,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Teaneck', 'addressRegion': 'NJ', 'postalCode': '7666', 'addressCountry': 'US', 'streetAddress': '1399 Queen Anne Road'}","{'@type': 'GeoCoordinates', 'latitude': 40.901404, 'longitude': -74.0049023}",{}
The Green Papaya,https://www.ubereats.com/new-jersey/food-delivery/the-green-papaya/PEi03DrCTXihg4Jg0N-qsA,river-edge-new-jersey,"['Asian Fusion', 'Asian', 'Korean']",,,$,40.9114573,-74.0357728,+12016781888,07661-1910,110 Kinderkamack Rd,River Edge,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'River Edge', 'addressRegion': 'NJ', 'postalCode': '07661-1910', 'addressCountry': 'US', 'streetAddress': '110 Kinderkamack Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.9114573, 'longitude': -74.0357728}",{}
Koala Lounge,https://www.ubereats.com/new-jersey/food-delivery/koala-lounge/1-oLLAZ7TauFVUPmxPIORw,river-edge-new-jersey,"['Mediterranean', 'Desserts', 'Salads']",,,$,40.8810498,-74.04412239999999,+12018005000,07601,91 Main St,Hackensack,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hackensack', 'addressRegion': 'NJ', 'postalCode': '07601', 'addressCountry': 'US', 'streetAddress': '91 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.8810498, 'longitude': -74.04412239999999}",{}
Bibillia,https://www.ubereats.com/new-jersey/food-delivery/bibillia/HEt0aUHJQsSAWE_D4eY-3w,river-edge-new-jersey,"['Korean', 'Asian', 'BBQ']",,,$,40.9800859,-74.1196499,+12018578598,7450,16 Chestnut St,Ridgewood,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ridgewood', 'addressRegion': 'NJ', 'postalCode': '7450', 'addressCountry': 'US', 'streetAddress': '16 Chestnut St'}","{'@type': 'GeoCoordinates', 'latitude': 40.9800859, 'longitude': -74.1196499}",{}
Kan Zamaan,https://www.ubereats.com/new-jersey/food-delivery/kan-zamaan/cphL5StdRZelr7R6pVLpTg,river-edge-new-jersey,"['Middle Eastern', 'Arabian', 'Halal']",,,$,40.8937648,-74.1500934,+18622104882,07503,247 Buffalo Ave,Paterson,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '13:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Paterson', 'addressRegion': 'NJ', 'postalCode': '07503', 'addressCountry': 'US', 'streetAddress': '247 Buffalo Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.8937648, 'longitude': -74.1500934}",{}
La Chicanita  Restaurant Corp.,https://www.ubereats.com/new-jersey/food-delivery/la-chicanita-restaurant-corp/X2hfc7VESy2X0JEREJA9xw,river-edge-new-jersey,"['Mexican', 'Latin American', 'New Mexican']",,,$,40.866649,-74.1167584,+19737771881,7055,148 Market St,Passaic,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Passaic', 'addressRegion': 'NJ', 'postalCode': '7055', 'addressCountry': 'US', 'streetAddress': '148 Market St'}","{'@type': 'GeoCoordinates', 'latitude': 40.866649, 'longitude': -74.1167584}",{}
"CAVA (Bergen Town Center, Route 4 East #E-3A)",https://www.ubereats.com/new-jersey/food-delivery/cava-bergen-town-center-route-4-east-%23e-3a/r8-DT38BSO6boY1NbiuEcA,river-edge-new-jersey,"['Dinner', 'Healthy', 'Salads', 'Family Meals']",4.7,500,$,40.91540149999999,-74.05926170000001,+12012552858,7652,Bergen Town Center Route 4 East #E-3A,Paramus,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Paramus', 'addressRegion': 'NJ', 'postalCode': '7652', 'addressCountry': 'US', 'streetAddress': 'Bergen Town Center Route 4 East #E-3A'}","{'@type': 'GeoCoordinates', 'latitude': 40.91540149999999, 'longitude': -74.05926170000001}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '500'}"
Boom Boom Chicken (Paramus),https://www.ubereats.com/new-jersey/food-delivery/boom-boom-chicken-paramus/gkrWrhpsQBGFU_PsaXvuGw,river-edge-new-jersey,"['Korean', 'Asian', 'Chicken', 'Wings']",4.7,33,$$,40.9164591,-74.0713593,+12017082822,07652,60 State Route 17 North,Paramus,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Paramus', 'addressRegion': 'NJ', 'postalCode': '07652', 'addressCountry': 'US', 'streetAddress': '60 State Route 17 North'}","{'@type': 'GeoCoordinates', 'latitude': 40.9164591, 'longitude': -74.0713593}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '33'}"
,https://www.ubereats.com/new-jersey/food-delivery/mamas-kitchen-eats/lSYYYtOPRGqG0NStM3Yx-w,river-edge-new-jersey,,,,,,,,,,,,,,,
