name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Taco Mucho,https://www.ubereats.com/connecticut/food-delivery/taco-mucho/JHv8sEeWSOqUaSL1Vo--YQ,riverside-connecticut,"['Mexican', 'American', 'Canadian']",,,$,41.03645059999999,-73.6038923,+12033244777,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '22:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '22:45'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.03645059999999, 'longitude': -73.6038923}",{}
Elm Restaurant,https://www.ubereats.com/connecticut/food-delivery/elm-restaurant/yNsS7FUbSMCNOWRF0XYadw,riverside-connecticut,"['American', 'New American', 'Burgers', 'Salads']",4.9,78,$$$,41.14701,-73.493707,+12039204994,06840,73 Elm St,New Canaan,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '17:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '17:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Canaan', 'addressRegion': 'CT', 'postalCode': '06840', 'addressCountry': 'US', 'streetAddress': '73 Elm St'}","{'@type': 'GeoCoordinates', 'latitude': 41.14701, 'longitude': -73.493707}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '78'}"
Moe Joes Deli & Grill,https://www.ubereats.com/connecticut/food-delivery/moe-joes-deli-%26-grill/2yvXBZruSOSPLrSr4CeabA,riverside-connecticut,"['Sandwiches', 'American', 'Healthy']",,,$,41.070936,-73.52019800000001,+12035889600,06906,511 Glenbrook Rd,Stamford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Stamford', 'addressRegion': 'CT', 'postalCode': '06906', 'addressCountry': 'US', 'streetAddress': '511 Glenbrook Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.070936, 'longitude': -73.52019800000001}",{}
Crab Shell,https://www.ubereats.com/connecticut/food-delivery/crab-shell/NmXkGev7QoiU4RdSgkx-wg,riverside-connecticut,['Seafood'],,,$$,41.038809,-73.545808,+12039677229,06902,46 Southfield Ave,Stamford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Stamford', 'addressRegion': 'CT', 'postalCode': '06902', 'addressCountry': 'US', 'streetAddress': '46 Southfield Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.038809, 'longitude': -73.545808}",{}
Cilantro Restaurant,https://www.ubereats.com/connecticut/food-delivery/cilantro-restaurant/mol4NACZSOS4BUHK2UkLGA,riverside-connecticut,"['American', 'Desserts']",4.5,31,$$,41.054238,-73.539009,+12039141666,06901,60 Atlantic St,Stamford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Stamford', 'addressRegion': 'CT', 'postalCode': '06901', 'addressCountry': 'US', 'streetAddress': '60 Atlantic St'}","{'@type': 'GeoCoordinates', 'latitude': 41.054238, 'longitude': -73.539009}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '31'}"
Gelato & Cioccolato,https://www.ubereats.com/connecticut/food-delivery/gelato-%26-cioccolato/YW1OJs8yTVaJ5hsvRdRWVQ,riverside-connecticut,"['Ice Cream & Frozen Yogurt', 'Comfort Food', 'Desserts']",4.9,18,$,41.03884,-73.59795,+12039001288,06807,"232 E Putnam Ave, Cos Cob, USA",Greenwich,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Greenwich', 'addressRegion': 'CT', 'postalCode': '06807', 'addressCountry': 'US', 'streetAddress': '232 E Putnam Ave, Cos Cob, USA'}","{'@type': 'GeoCoordinates', 'latitude': 41.03884, 'longitude': -73.59795}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '18'}"
DiMare Pastry Shop,https://www.ubereats.com/connecticut/food-delivery/dimare-pastry-shop/Vgp4wiWORLOehRvz6XlwNg,riverside-connecticut,"['Desserts', 'Vegetarian', 'Coffee and Tea']",4.4,12,$,41.089256,-73.5160911,+12039672253,06907,12 Largo Dr S,Stamford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Stamford', 'addressRegion': 'CT', 'postalCode': '06907', 'addressCountry': 'US', 'streetAddress': '12 Largo Dr S'}","{'@type': 'GeoCoordinates', 'latitude': 41.089256, 'longitude': -73.5160911}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '12'}"
Tacos & Quesadillas,https://www.ubereats.com/connecticut/food-delivery/tacos-%26-quesadillas/dCCwom2jRRm3GE2akzRoOA,riverside-connecticut,"['Mexican', 'Latin American', 'New Mexican']",,,$,41.0530929,-73.5494879,+12035239094,06902,27 Alden St,Stamford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '17:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Stamford', 'addressRegion': 'CT', 'postalCode': '06902', 'addressCountry': 'US', 'streetAddress': '27 Alden St'}","{'@type': 'GeoCoordinates', 'latitude': 41.0530929, 'longitude': -73.5494879}",{}
Flamboyant Chicho's Cocina,https://www.ubereats.com/connecticut/food-delivery/flamboyant-chichos-cocina/0An438v2QduBLCWGanEMUQ,riverside-connecticut,"['Latin American', 'Spanish', 'Chicken']",,,$,41.0525828,-73.5224861,+12033590334,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.0525828, 'longitude': -73.5224861}",{}
The Drawing Room,https://www.ubereats.com/connecticut/food-delivery/the-drawing-room/cgFCbNIGTZCxAy7b1zDVsw,riverside-connecticut,"['Coffee & Tea', 'Breakfast and Brunch', 'Sandwich']",,,$,41.0387894,-73.5985722,+12036613737,06807,220 E Putnam Ave,Greenwich,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Greenwich', 'addressRegion': 'CT', 'postalCode': '06807', 'addressCountry': 'US', 'streetAddress': '220 E Putnam Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.0387894, 'longitude': -73.5985722}",{}
