name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Edible Arrangements (52 West Square Lake Road),https://www.ubereats.com/detroit/food-delivery/edible-arrangements-52-west-square-lake-road/E--7D3MOQxiy7hzfw5OUFw,rochester-michigan,"['American', 'Desserts', 'Healthy']",,,$,42.6069085,-83.1512793,+12488799300,48098,52 West Square Lake Road,Troy,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Troy', 'addressRegion': 'MI', 'postalCode': '48098', 'addressCountry': 'US', 'streetAddress': '52 West Square Lake Road'}","{'@type': 'GeoCoordinates', 'latitude': 42.6069085, 'longitude': -83.1512793}",{}
"Qdoba Mexican Grill (42967 Woodward Ave,)",https://www.ubereats.com/detroit/food-delivery/qdoba-mexican-grill-42967-woodward-ave/jpM1FcVnRYGaCs-1wdhnRw,rochester-michigan,"['Mexican', 'Family Meals']",4.3,42,$,42.6029823,-83.264692,+12488741876,48304,42967 Woodward Ave,Bloomfield Township,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bloomfield Township', 'addressRegion': 'MI', 'postalCode': '48304', 'addressCountry': 'US', 'streetAddress': '42967 Woodward Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.6029823, 'longitude': -83.264692}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '42'}"
KFC (4050 Metropolitan Pkwy),https://www.ubereats.com/detroit/food-delivery/kfc-4050-metropolitan-pkwy/w8p7yd8nR0iBG8Ahl7d_Kw,rochester-michigan,"['Southern', 'American', 'Fast Food']",4.0,24,$$,42.564041,-83.068911,+15869395042,48310,4050 Metro Pkwy,Sterling Heights,Michigan,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sterling Heights', 'addressRegion': 'Michigan', 'postalCode': '48310', 'addressCountry': 'US', 'streetAddress': '4050 Metro Pkwy'}","{'@type': 'GeoCoordinates', 'latitude': 42.564041, 'longitude': -83.068911}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '24'}"
Papa John's Pizza (1962 S Rochester Rd),https://www.ubereats.com/detroit/food-delivery/papa-johns-pizza-1962-s-rochester-rd/-DFKAuWuS_aDL6coPLcOfA,rochester-michigan,"['Pizza', 'Wings', 'Desserts']",4.2,16,$,42.653056,-83.134135,+12487247272,48307,1962 S Rochester Rd,Rochester Hills,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rochester Hills', 'addressRegion': 'MI', 'postalCode': '48307', 'addressCountry': 'US', 'streetAddress': '1962 S Rochester Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.653056, 'longitude': -83.134135}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '16'}"
Five Guys MI-0383 17661 Hall St,https://www.ubereats.com/detroit/food-delivery/five-guys-mi-0383-17661-hall-st/S3XUZ8bGQge4ZPFY8T26Ww,rochester-michigan,"['American', 'Burgers', 'Sandwich']",4.6,100,$,42.6290345,-82.945191,+15864163483,48044,17661 Hall Street,Macomb,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Macomb', 'addressRegion': 'MI', 'postalCode': '48044', 'addressCountry': 'US', 'streetAddress': '17661 Hall Street'}","{'@type': 'GeoCoordinates', 'latitude': 42.6290345, 'longitude': -82.945191}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '100'}"
Jersey Mike's Subs (606 N. Lapeer Rd.),https://www.ubereats.com/detroit/food-delivery/jersey-mikes-subs-606-n-lapeer-rd/cAl90Rq4S02P6LFtIVDqRw,rochester-michigan,"['Sandwich', 'American']",,,$,42.7889342,-83.2447408,+12488148445,48362,606 N. Lapeer Rd.,Lake Orion,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lake Orion', 'addressRegion': 'MI', 'postalCode': '48362', 'addressCountry': 'US', 'streetAddress': '606 N. Lapeer Rd.'}","{'@type': 'GeoCoordinates', 'latitude': 42.7889342, 'longitude': -83.2447408}",{}
Buddy's Pizza (Auburn Hills),https://www.ubereats.com/detroit/food-delivery/buddys-pizza-auburn-hills/RwyBDFSpSdGTomrIWJtYHg,rochester-michigan,"['Pizza', 'American', 'Italian']",,,$,42.6804684,-83.2205263,+12482769040,48326,2612 N Squirrel Rd,Auburn Hills,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Auburn Hills', 'addressRegion': 'MI', 'postalCode': '48326', 'addressCountry': 'US', 'streetAddress': '2612 N Squirrel Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.6804684, 'longitude': -83.2205263}",{}
The Ice Cream Shop ,https://www.ubereats.com/detroit/food-delivery/the-ice-cream-shop/yXcdLGevT_ODX7efyhvnaQ,rochester-michigan,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,42.66954539999999,-83.0542023,+15867318359,48316,5885 23 Mile Rd,Shelby Township,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '23:58'}]","{'@type': 'PostalAddress', 'addressLocality': 'Shelby Township', 'addressRegion': 'MI', 'postalCode': '48316', 'addressCountry': 'US', 'streetAddress': '5885 23 Mile Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.66954539999999, 'longitude': -83.0542023}",{}
Silk Road Cuisine,https://www.ubereats.com/detroit/food-delivery/silk-road-cuisine/LCvhOm3HQ_uoSJSR51pEmw,rochester-michigan,"['Halal', 'Chicken', 'Middle Eastern']",,,$,42.6274073,-82.9937703,+17347560610,48315,13461 Hall Rd,Utica,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '15:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Utica', 'addressRegion': 'MI', 'postalCode': '48315', 'addressCountry': 'US', 'streetAddress': '13461 Hall Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.6274073, 'longitude': -82.9937703}",{}
Pho Chopstix,https://www.ubereats.com/detroit/food-delivery/pho-chopstix/o_T4eniuTyWrD7OXvIjMuQ,rochester-michigan,"['Vietnamese', 'Noodles', 'Healthy']",,,$,42.5931377,-83.14716279999999,+12482506464,48085,91 E Long Lake Rd,Troy,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Troy', 'addressRegion': 'MI', 'postalCode': '48085', 'addressCountry': 'US', 'streetAddress': '91 E Long Lake Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.5931377, 'longitude': -83.14716279999999}",{}
