name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Ba Da Bing Beef,https://www.ubereats.com/chicago/food-delivery/ba-da-bing-beef/0J4-6-MvQe2ktbvdsbAPlg,round-lake-heights-illinois,"['American', 'Sandwich']",,,$,42.342945,-88.004044,+18475482232,60030,99 US-45,Grayslake,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Grayslake', 'addressRegion': 'IL', 'postalCode': '60030', 'addressCountry': 'US', 'streetAddress': '99 US-45'}","{'@type': 'GeoCoordinates', 'latitude': 42.342945, 'longitude': -88.004044}",{}
Chicago Wing Co,https://www.ubereats.com/chicago/food-delivery/chicago-wing-co/LQMmoHogR-Kxgabr-3y8Hw,round-lake-heights-illinois,"['American', 'Burgers', 'Sandwiches']",,,$,42.37874,-88.0940605,+18475462512,60073,421 West Rollins Road,Round Lake Beach,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '15:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Round Lake Beach', 'addressRegion': 'IL', 'postalCode': '60073', 'addressCountry': 'US', 'streetAddress': '421 West Rollins Road'}","{'@type': 'GeoCoordinates', 'latitude': 42.37874, 'longitude': -88.0940605}",{}
Johnny’s Cafe,https://www.ubereats.com/chicago/food-delivery/johnnys-cafe/6KEX3elfQbGsD4JTdqz9tA,round-lake-heights-illinois,"['Italian', 'Pasta', 'Comfort Food']",4.2,15,$,42.3963817,-88.1757528,+18476295124,60020,89 E Grand Ave,Fox Lake,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fox Lake', 'addressRegion': 'IL', 'postalCode': '60020', 'addressCountry': 'US', 'streetAddress': '89 E Grand Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.3963817, 'longitude': -88.1757528}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '15'}"
WING SOCIETY,https://www.ubereats.com/chicago/food-delivery/wing-society/dlqzC20VQO--gukzP1GSwA,round-lake-heights-illinois,"['Burgers', 'American', 'Sandwiches']",,,$,42.3899294,-87.95932239999999,+13109262400,60031,6170 West Grand Avenue #337,Gurnee,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gurnee', 'addressRegion': 'IL', 'postalCode': '60031', 'addressCountry': 'US', 'streetAddress': '6170 West Grand Avenue #337'}","{'@type': 'GeoCoordinates', 'latitude': 42.3899294, 'longitude': -87.95932239999999}",{}
BaDa Bing Beef Co.,https://www.ubereats.com/chicago/food-delivery/bada-bing-beef-co/jYDKSID7QSueMJVPEuJxlA,round-lake-heights-illinois,"['Sandwiches', 'American', 'Healthy']",,,$,42.3606294,-88.0008835,+18475482232,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.3606294, 'longitude': -88.0008835}",{}
PATTY MELT CO.,https://www.ubereats.com/chicago/food-delivery/patty-melt-co/NzrndjTbQIapTNv251bTyA,round-lake-heights-illinois,"['Burgers', 'American', 'Sandwiches']",,,$,42.3899294,-87.95932239999999,+13109262400,60031,6170 West Grand Avenue #337,Gurnee,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gurnee', 'addressRegion': 'IL', 'postalCode': '60031', 'addressCountry': 'US', 'streetAddress': '6170 West Grand Avenue #337'}","{'@type': 'GeoCoordinates', 'latitude': 42.3899294, 'longitude': -87.95932239999999}",{}
MOD Pizza (Gurnee),https://www.ubereats.com/chicago/food-delivery/mod-pizza-gurnee/-0PBd5zYSo2TeMEITukNag,round-lake-heights-illinois,"['Pizza', 'Desserts', 'Salads', 'American', 'Healthy', 'Vegetarian Friendly', 'Kids Friendly']",4.5,90,$,42.3845821,-87.9624583,+12246100766,60031,6447 Grand Ave,Gurnee,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gurnee', 'addressRegion': 'IL', 'postalCode': '60031', 'addressCountry': 'US', 'streetAddress': '6447 Grand Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.3845821, 'longitude': -87.9624583}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '90'}"
Popeyes (Rollins & Elm),https://www.ubereats.com/chicago/food-delivery/popeyes-rollins-%26-elm/lGyvh4ZwTIKGB0KxhdxQcA,round-lake-heights-illinois,"['American', 'Fast Food', 'Southern', 'Wings']",4.5,200,$,42.3784603,-88.07604549999999,+18477401793,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.3784603, 'longitude': -88.07604549999999}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '200'}"
Caribana,https://www.ubereats.com/chicago/food-delivery/caribana/yNuV-KVqTLmm7K4qgORU_Q,round-lake-heights-illinois,"['Caribbean', 'Seafood', 'Latin American', 'Allergy Friendly']",,,$,42.4074288,-88.0039165,+12244448256,60046,453 S. Route 45,Lindenhurst,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '18:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '16:0', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lindenhurst', 'addressRegion': 'IL', 'postalCode': '60046', 'addressCountry': 'US', 'streetAddress': '453 S. Route 45'}","{'@type': 'GeoCoordinates', 'latitude': 42.4074288, 'longitude': -88.0039165}",{}
KFC (1504 Nations Drive),https://www.ubereats.com/chicago/food-delivery/kfc-1504-nations-drive/mIxXj7K3SPCvo3lpxS6S0Q,round-lake-heights-illinois,"['American', 'Fast Food', 'wings']",4.0,26,$,42.38007080000001,-87.9405075,+17166748886,60031,1504 Nations Drive,Gurnee,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gurnee', 'addressRegion': 'IL', 'postalCode': '60031', 'addressCountry': 'US', 'streetAddress': '1504 Nations Drive'}","{'@type': 'GeoCoordinates', 'latitude': 42.38007080000001, 'longitude': -87.9405075}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '26'}"
