name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
O'MARES IRISH PUB,https://www.ubereats.com/philadelphia/food-delivery/omares-irish-pub/KcuAcYANQjWuLPB3AdL7dw,rydal-pennsylvania,"['Burgers', 'American', 'Sandwiches']",,,$,40.109048,-75.02549619999999,+12156767282,19116,10253 Bustleton Ave,Philadelphia,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Philadelphia', 'addressRegion': 'PA', 'postalCode': '19116', 'addressCountry': 'US', 'streetAddress': '10253 Bustleton Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.109048, 'longitude': -75.02549619999999}",{}
"TGI Friday's (659 - WILLOW GROVE, PA)",https://www.ubereats.com/philadelphia/food-delivery/tgi-fridays-659-willow-grove-pa/wzFCt7YFQL6Nhnyce4yhsQ,rydal-pennsylvania,"['Burgers', 'Bar Food', 'American', 'Family Meals']",4.0,294,$$,40.1400892,-75.1233894,+12156571597,19090,2500 W Moreland Rd,Willow Grove,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Willow Grove', 'addressRegion': 'PA', 'postalCode': '19090', 'addressCountry': 'US', 'streetAddress': '2500 W Moreland Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.1400892, 'longitude': -75.1233894}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '294'}"
Dunkin' (5301 Chew Ave),https://www.ubereats.com/philadelphia/food-delivery/dunkin-5301-chew-ave/fClIvHnNSoCM-eNWpGirIg,rydal-pennsylvania,"['Breakfast and Brunch', 'Donuts']",4.1,77,$,40.04184000000001,-75.1588,+12158441290,19138,5301 Chew Ave,Philadelphia,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Philadelphia', 'addressRegion': 'PA', 'postalCode': '19138', 'addressCountry': 'US', 'streetAddress': '5301 Chew Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.04184000000001, 'longitude': -75.1588}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '77'}"
Don Chile Mexican Restaurant,https://www.ubereats.com/philadelphia/food-delivery/don-chile-mexican-restaurant/dVwpKsuKQKGcx7I3FPJIBg,rydal-pennsylvania,"['Mexican', 'Latin American', 'New Mexican', 'Salads', 'Chicken', 'Allergy Friendly']",4.6,33,$,40.2064179,-75.10281119999999,+12678036902,18974,768 Street Rd,Warminster,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Warminster', 'addressRegion': 'PA', 'postalCode': '18974', 'addressCountry': 'US', 'streetAddress': '768 Street Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.2064179, 'longitude': -75.10281119999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '33'}"
Dunkin' (2327 Cottman Ave),https://www.ubereats.com/philadelphia/food-delivery/dunkin-2327-cottman-ave/rcs9fmCKQTe39nOoPwx4UQ,rydal-pennsylvania,"['Breakfast and Brunch', 'Donuts']",4.5,34,$,40.0481848,-75.0562778,+12157080585,19149,2327 Cottman Ave,Philadelphia,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '23:57'}]","{'@type': 'PostalAddress', 'addressLocality': 'Philadelphia', 'addressRegion': 'PA', 'postalCode': '19149', 'addressCountry': 'US', 'streetAddress': '2327 Cottman Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.0481848, 'longitude': -75.0562778}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '34'}"
Nemi Mexican Restaurant,https://www.ubereats.com/philadelphia/food-delivery/nemi-mexican-restaurant/WezxoaP6S7Wzs3GgA19JmQ,rydal-pennsylvania,"['Mexican', 'Latin American', 'New Mexican']",4.5,56,$,39.981674,-75.10903069999999,+12675190713,19134,2636 E Ann St.,Philadelphia,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '0:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '0:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Philadelphia', 'addressRegion': 'PA', 'postalCode': '19134', 'addressCountry': 'US', 'streetAddress': '2636 E Ann St.'}","{'@type': 'GeoCoordinates', 'latitude': 39.981674, 'longitude': -75.10903069999999}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '56'}"
Iron Hill Brewery & Restaurant (Chestnut Hill),https://www.ubereats.com/philadelphia/food-delivery/iron-hill-brewery-%26-restaurant-chestnut-hill/vYmb2NZGQPi3wYZRMqHFFg,rydal-pennsylvania,"['Burgers', 'American', 'Sandwiches']",,,$,40.0750694,-75.2055144,+12159485600,19118,8400 Germantown Ave,Philadelphia,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Philadelphia', 'addressRegion': 'PA', 'postalCode': '19118', 'addressCountry': 'US', 'streetAddress': '8400 Germantown Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.0750694, 'longitude': -75.2055144}",{}
Ogontz Kitchen Chinese Restaurant,https://www.ubereats.com/philadelphia/food-delivery/ogontz-kitchen-chinese-restaurant/JGkiOrBHSWyJDqWNua3u4w,rydal-pennsylvania,"['New On UberEATS!', 'Chinese', 'Family Meals']",4.2,331,$,40.070426,-75.156927,+12159271380,19150,7613 Ogontz Ave,Philadelphia,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:30', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:30', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Philadelphia', 'addressRegion': 'PA', 'postalCode': '19150', 'addressCountry': 'US', 'streetAddress': '7613 Ogontz Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.070426, 'longitude': -75.156927}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '331'}"
Palace of Asia PA,https://www.ubereats.com/philadelphia/food-delivery/palace-of-asia-pa/Uhlq9fxeQOmt1Pt9OwdDUQ,rydal-pennsylvania,"['Indian', 'Allergy Friendly']",4.7,52,$$,40.1353329,-75.1994752,+12156462133,19034,285 Commerce Dr,Fort Washington,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fort Washington', 'addressRegion': 'PA', 'postalCode': '19034', 'addressCountry': 'US', 'streetAddress': '285 Commerce Dr'}","{'@type': 'GeoCoordinates', 'latitude': 40.1353329, 'longitude': -75.1994752}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '52'}"
The Burger Joint,https://www.ubereats.com/philadelphia/food-delivery/the-burger-joint/FAexWekxRjmFmvKNjigTOw,rydal-pennsylvania,"['American', 'Burgers', 'Steak', 'BBQ', 'Bar Food']",4.4,36,$,40.0357067,-75.0424475,+12153302500,19135,7161 Frankford Ave,Philadelphia,Pennsylvania,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '23:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '0:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Philadelphia', 'addressRegion': 'Pennsylvania', 'postalCode': '19135', 'addressCountry': 'US', 'streetAddress': '7161 Frankford Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.0357067, 'longitude': -75.0424475}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '36'}"
