name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Chuck E. Cheese (2254 South Bradley Rd),https://www.ubereats.com/santa-barbara/food-delivery/chuck-e-cheese-2254-south-bradley-rd/mbwRbMWxSqWn_cHpTGgf1A,santa-maria-california,['Pizza'],,,$,34.918819,-120.421134,+18056146801,93455,2254 South Bradley Rd,Santa Maria,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Maria', 'addressRegion': 'CA', 'postalCode': '93455', 'addressCountry': 'US', 'streetAddress': '2254 South Bradley Rd'}","{'@type': 'GeoCoordinates', 'latitude': 34.918819, 'longitude': -120.421134}",{}
Chick-fil-A  (605 E Betteravia Rd),https://www.ubereats.com/santa-barbara/food-delivery/chick-fil-a-605-e-betteravia-rd/U3ZMPgkKQHmOdmUhxpiFwg,santa-maria-california,"['American', 'Fried Chicken']",4.7,36,$,34.9241294,-120.4252079,+18053471044,93454,605 E Betteravia Rd,Santa Maria,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:30', 'closes': '10:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Maria', 'addressRegion': 'CA', 'postalCode': '93454', 'addressCountry': 'US', 'streetAddress': '605 E Betteravia Rd'}","{'@type': 'GeoCoordinates', 'latitude': 34.9241294, 'longitude': -120.4252079}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '36'}"
Popeyes Louisiana Kitchen (930 E. Betteravia Rd.),https://www.ubereats.com/santa-barbara/food-delivery/popeyes-louisiana-kitchen-930-e-betteravia-rd/uP-QehOBRla4FTp5aKu-eg,santa-maria-california,"['American', 'Fast Food', 'Southern', 'Wings']",4.1,31,$,34.9231173,-120.4208641,+18058624401,93454,930 E. Betteravia Rd.,Santa Maria,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Maria', 'addressRegion': 'CA', 'postalCode': '93454', 'addressCountry': 'US', 'streetAddress': '930 E. Betteravia Rd.'}","{'@type': 'GeoCoordinates', 'latitude': 34.9231173, 'longitude': -120.4208641}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '31'}"
Hot Dog on a Stick (197 Santa Maria Town Center East),https://www.ubereats.com/santa-barbara/food-delivery/hot-dog-on-a-stick-197-santa-maria-town-center-east/O_KPWFa1R0KAf6voFf6Zmw,santa-maria-california,"['Fast Food', 'American', 'Hot Dog']",,,$,34.9513949,-120.4337136,+18059284685,93454,197,Santa Maria,CA,[],"{'@type': 'PostalAddress', 'addressLocality': 'Santa Maria', 'addressRegion': 'CA', 'postalCode': '93454', 'addressCountry': 'US', 'streetAddress': '197'}","{'@type': 'GeoCoordinates', 'latitude': 34.9513949, 'longitude': -120.4337136}",{}
"Jamba Juice (530 E. Betteravia Rd., Ste.. A-3)",https://www.ubereats.com/santa-barbara/food-delivery/jamba-juice-530-e-betteravia-rd-ste-a-3/N7nqIk8gQB6p6awhgHFV1g,santa-maria-california,"['Juice Bars', 'Healthy', 'Sandwich']",,,$,34.9231504,-120.4269859,+18059223240,93455,"530 E. Betteravia Rd., Ste.. A-3",Santa Maria,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:30', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Maria', 'addressRegion': 'CA', 'postalCode': '93455', 'addressCountry': 'US', 'streetAddress': '530 E. Betteravia Rd., Ste.. A-3'}","{'@type': 'GeoCoordinates', 'latitude': 34.9231504, 'longitude': -120.4269859}",{}
Burger King (1864 North Broadway),https://www.ubereats.com/santa-barbara/food-delivery/burger-king-1864-north-broadway/Srofd12RQNm7OD2q7kz86w,santa-maria-california,"['American', 'burger', 'Fast Food']",4.8,28,$,34.974107599999996,-120.4352005,+18059287396,93454,1864 North Broadway,Santa Maria,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '0:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '6:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '6:30', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:30', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:0', 'closes': '0:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Maria', 'addressRegion': 'CA', 'postalCode': '93454', 'addressCountry': 'US', 'streetAddress': '1864 North Broadway'}","{'@type': 'GeoCoordinates', 'latitude': 34.974107599999996, 'longitude': -120.4352005}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '28'}"
Bites Factory Mediterranean Oven,https://www.ubereats.com/santa-barbara/food-delivery/bites-factory-mediterranean-oven/ARFUnQaJQfmJgRdd7bbojQ,santa-maria-california,"['Mediterranean', 'Healthy', 'Kids Friendly']",,,$$,34.9513524,-120.4342087,+18053108811,93454,371 Town Center E,Santa Maria,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday'], 'opens': '8:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '8:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '8:15', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Maria', 'addressRegion': 'CA', 'postalCode': '93454', 'addressCountry': 'US', 'streetAddress': '371 Town Center E'}","{'@type': 'GeoCoordinates', 'latitude': 34.9513524, 'longitude': -120.4342087}",{}
Jersey Mike's (1140 E Clark Ave),https://www.ubereats.com/santa-barbara/food-delivery/jersey-mikes-1140-e-clark-ave/De8T6vzVS3OlBFL9xBlJEQ,santa-maria-california,"['Sandwich', 'American']",4.4,14,$,34.864283,-120.416244,+18059341124,93455,1140 E Clark Ave,Santa Maria,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Maria', 'addressRegion': 'CA', 'postalCode': '93455', 'addressCountry': 'US', 'streetAddress': '1140 E Clark Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.864283, 'longitude': -120.416244}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '14'}"
Burgerim (Santa Maria),https://www.ubereats.com/santa-barbara/food-delivery/burgerim-santa-maria/Uz5XXzH4TfCcHpNboY6mog,santa-maria-california,"['Burgers', 'Chicken', 'Wings']",,,$$,34.8951573,-120.4379132,+18053323283,93455,"3564 SKYWAY DRIVE BLDG 3, SUITE A",Santa Maria,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Maria', 'addressRegion': 'CA', 'postalCode': '93455', 'addressCountry': 'US', 'streetAddress': '3564 SKYWAY DRIVE BLDG 3, SUITE A'}","{'@type': 'GeoCoordinates', 'latitude': 34.8951573, 'longitude': -120.4379132}",{}
"El Pollo Loco (305 E Betteravia Rd,3739)",https://www.ubereats.com/santa-barbara/food-delivery/el-pollo-loco-305-e-betteravia-rd3739/2G3IAfgvQAaX3Ps0JLrxdg,santa-maria-california,"['Latin American', 'Mexican', 'New American']",4.4,27,$,34.9222878,-120.4324548,+18053471201,93454,305 E Betteravia Rd,Santa Maria,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Maria', 'addressRegion': 'CA', 'postalCode': '93454', 'addressCountry': 'US', 'streetAddress': '305 E Betteravia Rd'}","{'@type': 'GeoCoordinates', 'latitude': 34.9222878, 'longitude': -120.4324548}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '27'}"
