name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Amy's Drive-Thru,https://www.ubereats.com/san-francisco/food-delivery/amys-drive-thru/PQ5r3-RARSeXtBRHvKCSkg,sebastopol-california,"['Vegetarian', 'Vegan', 'Healthy', 'OrganicProducts']",4.8,145,$,38.36307740000001,-122.7157362,+17077553629,94928,58 Golf Course Dr W,"Rohnert Park,",CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rohnert Park,', 'addressRegion': 'CA', 'postalCode': '94928', 'addressCountry': 'US', 'streetAddress': '58 Golf Course Dr W'}","{'@type': 'GeoCoordinates', 'latitude': 38.36307740000001, 'longitude': -122.7157362}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '145'}"
El Coqui Puerto Rican Cuisine,https://www.ubereats.com/san-francisco/food-delivery/el-coqui-puerto-rican-cuisine/3CDPBcc9SKCk-C93PAt4LQ,sebastopol-california,"['Caribbean', 'Seafood', 'Latin American', 'Allergy Friendly']",4.8,51,$,38.4413253,-122.7143509,+17075428868,95401,400 Mendocino Ave,Santa Rosa,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Rosa', 'addressRegion': 'CA', 'postalCode': '95401', 'addressCountry': 'US', 'streetAddress': '400 Mendocino Ave'}","{'@type': 'GeoCoordinates', 'latitude': 38.4413253, 'longitude': -122.7143509}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '51'}"
Cafe Des Croissants,https://www.ubereats.com/san-francisco/food-delivery/cafe-des-croissants/ROZoodSNSHOKCHdhs8y-Cg,sebastopol-california,"['American', 'Sandwich', 'Breakfast and Brunch']",,,$,38.3943345,-122.8192261,+17078292160,95472,796 Gravenstein Ave,Sebastopol,ca,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sebastopol', 'addressRegion': 'ca', 'postalCode': '95472', 'addressCountry': 'US', 'streetAddress': '796 Gravenstein Ave'}","{'@type': 'GeoCoordinates', 'latitude': 38.3943345, 'longitude': -122.8192261}",{}
Pieology Pizzeria (2280 Mendocino Ave),https://www.ubereats.com/san-francisco/food-delivery/pieology-pizzeria-2280-mendocino-ave/KwTf-vW-S1qVSL7__OxQJg,sebastopol-california,"['Pizza', 'Gluten Free', 'Salads', 'Desserts']",4.7,32,$,38.4623151,-122.7167627,+17075416380,95403,2280 Mendocino Ave Suite B-3b,Santa Rosa,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Rosa', 'addressRegion': 'CA', 'postalCode': '95403', 'addressCountry': 'US', 'streetAddress': '2280 Mendocino Ave Suite B-3b'}","{'@type': 'GeoCoordinates', 'latitude': 38.4623151, 'longitude': -122.7167627}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '32'}"
Krispy Kreme (5090 Redwood Dr.),https://www.ubereats.com/san-francisco/food-delivery/krispy-kreme-5090-redwood-dr/AW0XRcG8SK6hcvND78hv8w,sebastopol-california,"['Breakfast and Brunch', 'Bakery', 'Desserts']",4.8,39,$,38.362025,-122.713874,+17075219154,94928,5090 Redwood Dr.,Rohnert Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:15', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rohnert Park', 'addressRegion': 'CA', 'postalCode': '94928', 'addressCountry': 'US', 'streetAddress': '5090 Redwood Dr.'}","{'@type': 'GeoCoordinates', 'latitude': 38.362025, 'longitude': -122.713874}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '39'}"
Corks & Taps,https://www.ubereats.com/san-francisco/food-delivery/corks-%26-taps/z_WOe7H3Sgyfon-8iBto4g,sebastopol-california,"['Bar Food', 'American']",,,,38.5484385,-122.8162732,+17078375654,95492,1001 McClelland Dr,Windsor,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday'], 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Windsor', 'addressRegion': 'CA', 'postalCode': '95492', 'addressCountry': 'US', 'streetAddress': '1001 McClelland Dr'}","{'@type': 'GeoCoordinates', 'latitude': 38.5484385, 'longitude': -122.8162732}",{}
Sam's Donuts,https://www.ubereats.com/san-francisco/food-delivery/sams-donuts/dl6uR7VZTlCQOUQ60_5HeQ,sebastopol-california,"['Desserts', 'Breakfast and Brunch', 'Bakery']",,,$,38.427904,-122.710765,+17075219303,95404,1031 Petaluma Hill Rd,Santa Rosa,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Rosa', 'addressRegion': 'California', 'postalCode': '95404', 'addressCountry': 'US', 'streetAddress': '1031 Petaluma Hill Rd'}","{'@type': 'GeoCoordinates', 'latitude': 38.427904, 'longitude': -122.710765}",{}
Round Table Pizza (775 Gravenstein Hwy S),https://www.ubereats.com/san-francisco/food-delivery/round-table-pizza-775-gravenstein-hwy-s/_OIhzG6TQpSG-LdtwBpN3w,sebastopol-california,"['Pizza', 'Pasta', 'Salads', 'Sandwich', 'Wings', 'Desserts']",,,$,38.3950055,-122.8188816,+17078244400,95472,775 Gravenstein Hwy S,Sebastopol,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sebastopol', 'addressRegion': 'CA', 'postalCode': '95472', 'addressCountry': 'US', 'streetAddress': '775 Gravenstein Hwy S'}","{'@type': 'GeoCoordinates', 'latitude': 38.3950055, 'longitude': -122.8188816}",{}
"El Pollo Loco (5225 Redwood Dr,3714)",https://www.ubereats.com/san-francisco/food-delivery/el-pollo-loco-5225-redwood-dr3714/SUYlqSdRSg6TI-ZZv61B6Q,sebastopol-california,"['Latin American', 'Mexican', 'New American', 'Family Meals']",4.3,19,$,38.3598184,-122.7139096,+17075848677,94928,5225 Redwood Dr,Rohnert Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rohnert Park', 'addressRegion': 'CA', 'postalCode': '94928', 'addressCountry': 'US', 'streetAddress': '5225 Redwood Dr'}","{'@type': 'GeoCoordinates', 'latitude': 38.3598184, 'longitude': -122.7139096}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '19'}"
Chipotle Mexican Grill (2182 Santa Rosa Ave),https://www.ubereats.com/san-francisco/food-delivery/chipotle-mexican-grill-2182-santa-rosa-ave/Ir49O-KnR1mPb2GySnT8IQ,sebastopol-california,"['Healthy', 'Mexican']",4.6,58,$,38.4179112,-122.71238,+17072281023,95407,2182,Santa Rosa,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Rosa', 'addressRegion': 'CA', 'postalCode': '95407', 'addressCountry': 'US', 'streetAddress': '2182'}","{'@type': 'GeoCoordinates', 'latitude': 38.4179112, 'longitude': -122.71238}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '58'}"
