name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Starbucks (1604 & NW Military),https://www.ubereats.com/san-antonio/food-delivery/starbucks-1604-%26-nw-military/N9kBbN4MSGqsfbYPmcrs9A,shavano-park-texas,"['Bakery', 'Breakfast and Brunch', 'Cafe', 'Coffee & Tea']",4.7,142,$,29.5990086,-98.5627665,+12104921188,78231,16852 Nw Military Hwy,Shavano Park,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '5:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Shavano Park', 'addressRegion': 'TX', 'postalCode': '78231', 'addressCountry': 'US', 'streetAddress': '16852 Nw Military Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 29.5990086, 'longitude': -98.5627665}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '142'}"
Las Palapas (Castle Hill),https://www.ubereats.com/san-antonio/food-delivery/las-palapas-castle-hill/Z7Fhm_l5QSCpAidr1H6UKg,shavano-park-texas,"['Mexican', 'Latin American', 'New Mexican']",4.5,22,$$,29.51626599999999,-98.5264883,+12104370361,78213,6007 West Avenue,Castle Hills,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Castle Hills', 'addressRegion': 'TX', 'postalCode': '78213', 'addressCountry': 'US', 'streetAddress': '6007 West Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 29.51626599999999, 'longitude': -98.5264883}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '22'}"
"Zoe's Kitchen (427 N. Loop 1604 W. Bldg 2, Suite 210)",https://www.ubereats.com/san-antonio/food-delivery/zoes-kitchen-427-n-loop-1604-w-bldg-2-suite-210/zVay32NjS9ml6BqvpC9SqA,shavano-park-texas,"['Healthy', 'Family Meals']",4.7,137,$$,29.6099748,-98.4996395,+12104049119,78258,427 N. Loop 1604 W. Bldg 2,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78258', 'addressCountry': 'US', 'streetAddress': '427 N. Loop 1604 W. Bldg 2'}","{'@type': 'GeoCoordinates', 'latitude': 29.6099748, 'longitude': -98.4996395}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '137'}"
Which Wich (1203 N. Loop 1604 West # 109),https://www.ubereats.com/san-antonio/food-delivery/which-wich-1203-n-loop-1604-west-%23-109/bFBXBScHRqqT6rndH81LUg,shavano-park-texas,"['Sandwich', 'American']",,,$,29.60949600000001,-98.5104147,+12104939424,78258,1203 N Loop 1604 W,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78258', 'addressCountry': 'US', 'streetAddress': '1203 N Loop 1604 W'}","{'@type': 'GeoCoordinates', 'latitude': 29.60949600000001, 'longitude': -98.5104147}",{}
First Watch (Thousand Oaks),https://www.ubereats.com/san-antonio/food-delivery/first-watch-thousand-oaks/3WMJb0Y1Si6C8q8TVfboAA,shavano-park-texas,"['American', 'Breakfast and Brunch', 'Juice and Smoothies', 'Healthy']",4.7,61,$$,29.5943207,-98.47177149999999,+12104953447,78232,16668 San Pedro Ave,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '14:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78232', 'addressCountry': 'US', 'streetAddress': '16668 San Pedro Ave'}","{'@type': 'GeoCoordinates', 'latitude': 29.5943207, 'longitude': -98.47177149999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '61'}"
Luciano Neighborhood Pizzeria- Stone Oak (Stone Oak Parkway),https://www.ubereats.com/san-antonio/food-delivery/luciano-neighborhood-pizzeria-stone-oak-stone-oak-parkway/SI0LG52MSb2ZhGF8KUF2PQ,shavano-park-texas,"['Italian', 'Pizza']",4.8,64,$$,29.6149773,-98.4931218,+12105451300,78258,18866 Stone Oak Parkway,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78258', 'addressCountry': 'US', 'streetAddress': '18866 Stone Oak Parkway'}","{'@type': 'GeoCoordinates', 'latitude': 29.6149773, 'longitude': -98.4931218}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '64'}"
McDonald's® (11700 Blanco Rd),https://www.ubereats.com/san-antonio/food-delivery/mcdonalds-11700-blanco-rd/RYP5yY8QR8Kq9cVeAbBDCw,shavano-park-texas,"['American', 'Fast Food', 'Burgers']",4.2,500,$,29.547034,-98.5086772,+12103449709,78216,11700 Blanco Rd,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '4:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '3:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78216', 'addressCountry': 'US', 'streetAddress': '11700 Blanco Rd'}","{'@type': 'GeoCoordinates', 'latitude': 29.547034, 'longitude': -98.5086772}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '500'}"
"Taco Cabana (1130 N Loop 1604 W, Ste 105)",https://www.ubereats.com/san-antonio/food-delivery/taco-cabana-1130-n-loop-1604-w-ste-105/WcUtsZP-Q26d90BSH3F0jg,shavano-park-texas,"['Mexican', 'Tex Mex', 'Breakfast and Brunch', 'Family Meals']",,,$,29.60781410000001,-98.5096374,+12107641348,78248,1130 N Loop 1604 W Ste 105,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '11:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '9:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '11:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78248', 'addressCountry': 'US', 'streetAddress': '1130 N Loop 1604 W Ste 105'}","{'@type': 'GeoCoordinates', 'latitude': 29.60781410000001, 'longitude': -98.5096374}",{}
Saltgrass (11812 Bandera Road),https://www.ubereats.com/san-antonio/food-delivery/saltgrass-11812-bandera-road/NpoSZ572RGCTERmoGOaCRQ,shavano-park-texas,"['Steak', 'American', 'Fast Food', 'Family Meals']",4.3,88,$,29.5556343,-98.6681808,+12103720795,78023,11812 Bandera Road,Helotes,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Helotes', 'addressRegion': 'TX', 'postalCode': '78023', 'addressCountry': 'US', 'streetAddress': '11812 Bandera Road'}","{'@type': 'GeoCoordinates', 'latitude': 29.5556343, 'longitude': -98.6681808}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '88'}"
Thai Topaz (Castle Hills),https://www.ubereats.com/san-antonio/food-delivery/thai-topaz-castle-hills/AtuSEHWZT-aqFS1DwXHPhw,shavano-park-texas,"['Thai', 'Noodles', 'Asian', 'Asian Fusion']",4.6,270,$,29.532677,-98.52177,+12102909833,78213,2177A NW Military Hwy,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '14:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '14:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78213', 'addressCountry': 'US', 'streetAddress': '2177A NW Military Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 29.532677, 'longitude': -98.52177}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '270'}"
