name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Jamerican Bar And Grill,https://www.ubereats.com/atlanta/food-delivery/jamerican-bar-and-grill/6TysF_TSThKEQkEMZWNxrA,south-fulton-georgia,"['Caribbean', 'Southern', 'Soul Food', 'Wings', 'Comfort Food', 'Jamaican']",3.8,69,$,33.6222188,-84.4744051,+14703550904,30337,4847 Old National Hwy,College Park,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '3:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'College Park', 'addressRegion': 'GA', 'postalCode': '30337', 'addressCountry': 'US', 'streetAddress': '4847 Old National Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 33.6222188, 'longitude': -84.4744051}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '69'}"
Taqueria Margarita,https://www.ubereats.com/atlanta/food-delivery/taqueria-margarita/3fqHFLqTQtOKfyPGAkwqnQ,south-fulton-georgia,"['American', 'New Mexican', 'Gourmet']",,,$,33.7523232,-84.5812163,+14049347571,30168,860 Six Flags Rd,Austell,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Austell', 'addressRegion': 'GA', 'postalCode': '30168', 'addressCountry': 'US', 'streetAddress': '860 Six Flags Rd'}","{'@type': 'GeoCoordinates', 'latitude': 33.7523232, 'longitude': -84.5812163}",{}
Ahfimi Authentic Jamaican,https://www.ubereats.com/atlanta/food-delivery/ahfimi-authentic-jamaican/RE6ROvshTymgS9sayoolBg,south-fulton-georgia,"['Caribbean', 'Seafood', 'Latin American']",,,$,33.5569197,-84.5825629,+17703766629,30123,274 Senoia Rd #3,Fairburn,Georgia,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fairburn', 'addressRegion': 'Georgia', 'postalCode': '30123', 'addressCountry': 'US', 'streetAddress': '274 Senoia Rd #3'}","{'@type': 'GeoCoordinates', 'latitude': 33.5569197, 'longitude': -84.5825629}",{}
Best Burgers ,https://www.ubereats.com/atlanta/food-delivery/best-burgers/uhwOlIiOQvidloLh59xulg,south-fulton-georgia,"['Burgers', 'American', 'Sandwiches']",,,$,33.651354,-84.4812432,+14047653610,30337,2818 Camp Creek Pkwy,Atlanta,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Atlanta', 'addressRegion': 'GA', 'postalCode': '30337', 'addressCountry': 'US', 'streetAddress': '2818 Camp Creek Pkwy'}","{'@type': 'GeoCoordinates', 'latitude': 33.651354, 'longitude': -84.4812432}",{}
Floyd Wings & Grill,https://www.ubereats.com/atlanta/food-delivery/floyd-wings-%26-grill/tPesucPiSs-KC0yQjqfgpQ,south-fulton-georgia,"['American', 'Wings', 'Family Meals']",4.4,143,$$,33.8244959,-84.5747062,+17706757267,30126,5345 Floyd Rd SW,Mableton,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:29'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mableton', 'addressRegion': 'GA', 'postalCode': '30126', 'addressCountry': 'US', 'streetAddress': '5345 Floyd Rd SW'}","{'@type': 'GeoCoordinates', 'latitude': 33.8244959, 'longitude': -84.5747062}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '143'}"
Plated Lounge,https://www.ubereats.com/atlanta/food-delivery/plated-lounge/2fM0BipzRPGRQDjBRkfRDw,south-fulton-georgia,"['American', 'Comfort Food', 'Chicken', 'Allergy Friendly']",,,$$,33.6788816,-84.44219629999999,+14048555844,30344,2801 E Point St,East Point,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '15:45', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'East Point', 'addressRegion': 'GA', 'postalCode': '30344', 'addressCountry': 'US', 'streetAddress': '2801 E Point St'}","{'@type': 'GeoCoordinates', 'latitude': 33.6788816, 'longitude': -84.44219629999999}",{}
Spice House Cascade,https://www.ubereats.com/atlanta/food-delivery/spice-house-cascade/GCzohB1dQgG7WB6-26SqxQ,south-fulton-georgia,"['Caribbean', 'Seafood', 'Latin American']",,,$,33.7227143,-84.46203779999999,+16789747231,30311,2247 Cascade Rd SW,Atlanta,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Atlanta', 'addressRegion': 'GA', 'postalCode': '30311', 'addressCountry': 'US', 'streetAddress': '2247 Cascade Rd SW'}","{'@type': 'GeoCoordinates', 'latitude': 33.7227143, 'longitude': -84.46203779999999}",{}
Hooters (6855 Douglas Blvd),https://www.ubereats.com/atlanta/food-delivery/hooters-6855-douglas-blvd/kiuYcx5QSDan05AvgHmooQ,south-fulton-georgia,"['American', 'Barfood', 'Wings']",3.8,116,$,33.728382,-84.7558,+16787150821,30135,6855 Douglas Blvd,Douglasville,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Douglasville', 'addressRegion': 'GA', 'postalCode': '30135', 'addressCountry': 'US', 'streetAddress': '6855 Douglas Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.728382, 'longitude': -84.7558}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '116'}"
Touray Kunda Cafe,https://www.ubereats.com/atlanta/food-delivery/touray-kunda-cafe/pNjAU8nTSDSnpUXebAgfAg,south-fulton-georgia,"['African', 'Comfort Food', 'Steak']",,,$,33.6154439,-84.47119099999999,+16784999660,30349,5134 Old National Hwy,Atlanta,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '14:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '13:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Atlanta', 'addressRegion': 'GA', 'postalCode': '30349', 'addressCountry': 'US', 'streetAddress': '5134 Old National Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 33.6154439, 'longitude': -84.47119099999999}",{}
Subway (5370 Campbellton Fairburn Rd),https://www.ubereats.com/atlanta/food-delivery/subway-5370-campbellton-fairburn-rd/N_G9ZX7HQkyQwdLps3SL6A,south-fulton-georgia,"['Fast Food', 'Sandwich', 'American']",,,$,33.611845200000005,-84.6093816,+17707744152,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '18:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 33.611845200000005, 'longitude': -84.6093816}",{}
