name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Hacienda De Los Perez,https://www.ubereats.com/chicago/food-delivery/hacienda-de-los-perez/uiMUgu-iQUehnumBj9rbNQ,st-charles-illinois,"['Mexican', 'Latin American', 'New Mexican']",4.4,23,$,42.10149690000001,-88.37852149999999,+18478444191,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '22:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.10149690000001, 'longitude': -88.37852149999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '23'}"
Potbelly Sandwich Shop (Orchard & Bushwood DT | 499),https://www.ubereats.com/chicago/food-delivery/potbelly-sandwich-shop-orchard-%26-bushwood-dt-%7C-499/D79MwMWHSYaO38nG-Y85RA,st-charles-illinois,"['Sandwich', 'Deli', 'Salads']",4.4,72,$,41.79064229999999,-88.3765121,+16303975137,60506,1720 N. Orchard Rd. Ste. 100,Aurora,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Aurora', 'addressRegion': 'IL', 'postalCode': '60506', 'addressCountry': 'US', 'streetAddress': '1720 N. Orchard Rd. Ste. 100'}","{'@type': 'GeoCoordinates', 'latitude': 41.79064229999999, 'longitude': -88.3765121}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '72'}"
Windmill Ginger Brew,https://www.ubereats.com/chicago/food-delivery/windmill-ginger-brew/vRfOcYDzTw6F3b7f-ZW2Mw,st-charles-illinois,"['Juice and Smoothies', 'American']",,,$,41.882709999999996,-88.34444219999999,+16306772850,60134,2600 Keslinger Rd,Geneva,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Geneva', 'addressRegion': 'IL', 'postalCode': '60134', 'addressCountry': 'US', 'streetAddress': '2600 Keslinger Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.882709999999996, 'longitude': -88.34444219999999}",{}
Fannie May (Batavia),https://www.ubereats.com/chicago/food-delivery/fannie-may-batavia/pMc_eSMgSpa7Yy-HKnJ73A,st-charles-illinois,"['Desserts', 'chocolatier']",,,$,41.8493862,-88.3411558,+16308793539,60510,2012 W Wilson St,Batavia,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Batavia', 'addressRegion': 'IL', 'postalCode': '60510', 'addressCountry': 'US', 'streetAddress': '2012 W Wilson St'}","{'@type': 'GeoCoordinates', 'latitude': 41.8493862, 'longitude': -88.3411558}",{}
Taco Bell (490 Randall Road),https://www.ubereats.com/chicago/food-delivery/taco-bell-490-randall-road/A32jDrArQp6J3dyr_D8_oA,st-charles-illinois,"['Burritos', 'Fast Food', 'Mexican']",4.0,50,$,41.9771044,-88.3413702,+18477415275,60177,490 Randall Road,South Elgin,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '1:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'South Elgin', 'addressRegion': 'IL', 'postalCode': '60177', 'addressCountry': 'US', 'streetAddress': '490 Randall Road'}","{'@type': 'GeoCoordinates', 'latitude': 41.9771044, 'longitude': -88.3413702}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '50'}"
Dunkin' (1711 W Main St),https://www.ubereats.com/chicago/food-delivery/dunkin-1711-w-main-st/lubVsmZVTKGqIT-cVFbw4A,st-charles-illinois,"['Breakfast and Brunch', 'Donuts']",4.9,31,$,41.9122596,-88.3356022,+16303770544,60174,1711 W Main St,Saint Charles,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '4:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Saint Charles', 'addressRegion': 'IL', 'postalCode': '60174', 'addressCountry': 'US', 'streetAddress': '1711 W Main St'}","{'@type': 'GeoCoordinates', 'latitude': 41.9122596, 'longitude': -88.3356022}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '31'}"
Portillo’s Hot Dogs (1020 S. Randall Rd.),https://www.ubereats.com/chicago/food-delivery/portillos-hot-dogs-1020-s-randall-rd/L-m9tT0DSc6YCQD8wRE60g,st-charles-illinois,"['Burgers', 'American', 'Sandwiches']",4.4,323,$,42.0064315,-88.3368735,+18476958884,60123,1020 S. Randall Rd.,Elgin,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Elgin', 'addressRegion': 'IL', 'postalCode': '60123', 'addressCountry': 'US', 'streetAddress': '1020 S. Randall Rd.'}","{'@type': 'GeoCoordinates', 'latitude': 42.0064315, 'longitude': -88.3368735}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '323'}"
Dunkin' (514 Randall Rd),https://www.ubereats.com/chicago/food-delivery/dunkin-514-randall-rd/-gRUu1QzS1GmQ2XDSrBFMw,st-charles-illinois,"['Breakfast and Brunch', 'Donuts']",,,$,41.9763705,-88.3414841,+18472143602,60177,514 Randall Rd,South Elgin,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'South Elgin', 'addressRegion': 'IL', 'postalCode': '60177', 'addressCountry': 'US', 'streetAddress': '514 Randall Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.9763705, 'longitude': -88.3414841}",{}
Dunkin' (257 Genesis Dr),https://www.ubereats.com/chicago/food-delivery/dunkin-257-genesis-dr/rrRy_fu2SA-XJP27HNi-qA,st-charles-illinois,"['Breakfast and Brunch', 'Donuts']",4.2,17,$,41.80028639999999,-88.37596239999999,+16307012463,60542,257 Genesis Dr,North Aurora,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '4:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'North Aurora', 'addressRegion': 'IL', 'postalCode': '60542', 'addressCountry': 'US', 'streetAddress': '257 Genesis Dr'}","{'@type': 'GeoCoordinates', 'latitude': 41.80028639999999, 'longitude': -88.37596239999999}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '17'}"
Bulldog Ale House - North Aurora,https://www.ubereats.com/chicago/food-delivery/bulldog-ale-house-north-aurora/ZcadEN8YR6uY2AS9s6QFXg,st-charles-illinois,"['Bar Food', 'Burgers', 'Sandwich']",4.5,76,$$,41.813129,-88.349243,+16302640333,60542,459 S Randall Road,North Aurora,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'North Aurora', 'addressRegion': 'IL', 'postalCode': '60542', 'addressCountry': 'US', 'streetAddress': '459 S Randall Road'}","{'@type': 'GeoCoordinates', 'latitude': 41.813129, 'longitude': -88.349243}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '76'}"
Starbucks (Randall & North),https://www.ubereats.com/chicago/food-delivery/starbucks-randall-%26-north/NDyxgq-_T9q55Crz9AD3wg,st-charles-illinois,"['Cafe', 'Coffee & Tea', 'Breakfast and Brunch', 'Bakery']",4.7,49,$,41.91314564,-88.33732243,+16305840048,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '5:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '5:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.91314564, 'longitude': -88.33732243}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '49'}"
Osteria trulli st charles,https://www.ubereats.com/chicago/food-delivery/osteria-trulli-st-charles/3usXQYGcSOOYfE1IQVH_dg,st-charles-illinois,"['Italian', 'Pasta', 'Comfort Food']",5.0,13,$,41.9145407,-88.316547,+16307975566,60174,210 Cedar St,St. Charles,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'St. Charles', 'addressRegion': 'IL', 'postalCode': '60174', 'addressCountry': 'US', 'streetAddress': '210 Cedar St'}","{'@type': 'GeoCoordinates', 'latitude': 41.9145407, 'longitude': -88.316547}","{'@type': 'AggregateRating', 'ratingValue': 5, 'reviewCount': '13'}"
Lao & Thai spicy noodle,https://www.ubereats.com/chicago/food-delivery/lao-%26-thai-spicy-noodle/wYEzeelPROyqElL3eNfI1A,st-charles-illinois,"['Thai', 'Asian', 'Noodles', 'Kids Friendly']",4.8,29,$,41.97255789999999,-88.34282189999999,+12248299771,60177,612 Randall Rd,South Elgin,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '15:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'South Elgin', 'addressRegion': 'IL', 'postalCode': '60177', 'addressCountry': 'US', 'streetAddress': '612 Randall Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.97255789999999, 'longitude': -88.34282189999999}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '29'}"
Steak 'N Shake (1901 McKee Street),https://www.ubereats.com/chicago/food-delivery/steak-n-shake-1901-mckee-street/UJknB_DIRI2zBQUzvglbmg,st-charles-illinois,['American'],4.4,51,$$,41.854658,-88.33839139999999,+16304829846,60510,1901 McKee Street,Batavia,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Batavia', 'addressRegion': 'IL', 'postalCode': '60510', 'addressCountry': 'US', 'streetAddress': '1901 McKee Street'}","{'@type': 'GeoCoordinates', 'latitude': 41.854658, 'longitude': -88.33839139999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '51'}"
DRM Cafe & Delicatessen,https://www.ubereats.com/chicago/food-delivery/drm-cafe-%26-delicatessen/_d-DNiJcR--afKCIb01xRA,st-charles-illinois,"['Cafe', 'Coffee and Tea', 'Allergy Friendly']",4.8,25,$,41.915173,-88.307587,+16309402882,60174,610 E Main St,St. Charles,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday'], 'opens': '9:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday'], 'opens': '10:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '9:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '14:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'St. Charles', 'addressRegion': 'IL', 'postalCode': '60174', 'addressCountry': 'US', 'streetAddress': '610 E Main St'}","{'@type': 'GeoCoordinates', 'latitude': 41.915173, 'longitude': -88.307587}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '25'}"
McDonald's® (South Elgin),https://www.ubereats.com/chicago/food-delivery/mcdonalds-south-elgin/M9t7EgKfRDKoZx33P0Ax4g,st-charles-illinois,"['American', 'Fast Food', 'Burgers']",4.4,200,$,41.9966821,-88.31664289999999,+18479319966,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '0:44'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '4:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '3:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '3:59'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.9966821, 'longitude': -88.31664289999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '200'}"
