name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
,https://www.ubereats.com/orange-county/food-delivery/kokio-chicken-cerritos/1RSnGKg2QW2b4mn1eQuo5w,stanton-california,,,,,,,,,,,,,,,
Burger Boss (Cypress),https://www.ubereats.com/orange-county/food-delivery/burger-boss-cypress/QQFNuQviRCqdyH1zfJPGfw,stanton-california,"['Burgers', 'American', 'Sandwiches']",,,$,33.8226958,-118.0286264,+17142365110,90630,9571 Valley View Street,Cypress,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cypress', 'addressRegion': 'CA', 'postalCode': '90630', 'addressCountry': 'US', 'streetAddress': '9571 Valley View Street'}","{'@type': 'GeoCoordinates', 'latitude': 33.8226958, 'longitude': -118.0286264}",{}
Angelo's Burgers,https://www.ubereats.com/orange-county/food-delivery/angelos-burgers/8OKSj9XuS8Cb3eG8cmov5w,stanton-california,"['Burgers', 'American', 'Sandwiches']",4.6,143,$,33.7599844,-117.928676,+17146360277,92843,11511 Westminster Avenue,Garden Grove,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Garden Grove', 'addressRegion': 'CA', 'postalCode': '92843', 'addressCountry': 'US', 'streetAddress': '11511 Westminster Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 33.7599844, 'longitude': -117.928676}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '143'}"
,https://www.ubereats.com/los-angeles/food-delivery/la-pollada-peruvian-grill/p5DuC_PWRm6reIqaGcyvbQ,stanton-california,,,,,,,,,,,,,,,
,https://www.ubereats.com/los-angeles/food-delivery/subway-5899-lincoln-ave-unit-d/OdxndY_oTMONU4Ml_8jpzA,stanton-california,,,,,,,,,,,,,,,
The Flame Broiler (11891 Del Amo Blvd),https://www.ubereats.com/los-angeles/food-delivery/the-flame-broiler-11891-del-amo-blvd/WTcXPzlWQ2WOs0c1dGYItg,stanton-california,"['Korean', 'Asian', 'Asian Fusion']",4.5,17,$,33.8464751,-118.0800653,+15628606417,90703,11891 Del Amo Blvd,Cerritos,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cerritos', 'addressRegion': 'CA', 'postalCode': '90703', 'addressCountry': 'US', 'streetAddress': '11891 Del Amo Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.8464751, 'longitude': -118.0800653}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '17'}"
Jack in the Box (4901 Lincoln Ave),https://www.ubereats.com/orange-county/food-delivery/jack-in-the-box-4901-lincoln-ave/XRHL3W_CQfa-vAzcIK-QUw,stanton-california,"['American', 'burger', 'Fast Food']",4.2,119,$,33.8321016,-118.0471965,+17149521632,90630,4901 Lincoln Ave,Cypress,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '2:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cypress', 'addressRegion': 'CA', 'postalCode': '90630', 'addressCountry': 'US', 'streetAddress': '4901 Lincoln Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.8321016, 'longitude': -118.0471965}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '119'}"
,https://www.ubereats.com/los-angeles/food-delivery/viiva/9SvsJutIS42LNsmD6eM2uw,stanton-california,,,,,,,,,,,,,,,
Arby's (6801 Beach Blvd),https://www.ubereats.com/orange-county/food-delivery/arbys-6801-beach-blvd/z43aiGIwRc6QkF3eIwV5Wg,stanton-california,"['American', 'Sandwich', 'Salads', 'Fast Food', 'Kids Friendly']",4.6,125,$,33.8614504,-117.9985488,+17149940899,90620,6801 BEACH BLVD,Buena Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Buena Park', 'addressRegion': 'CA', 'postalCode': '90620', 'addressCountry': 'US', 'streetAddress': '6801 BEACH BLVD'}","{'@type': 'GeoCoordinates', 'latitude': 33.8614504, 'longitude': -117.9985488}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '125'}"
,https://www.ubereats.com/los-angeles/food-delivery/pho-nguyen-hue/MyIePuLATUeiCvj1ZRKgxA,stanton-california,,,,,,,,,,,,,,,
,https://www.ubereats.com/los-angeles/food-delivery/starbucks-beach-%26-91-fwy/yRgduEbTQOKUSa5FVjVK0w,stanton-california,,,,,,,,,,,,,,,
Ziings Bistro & Bar,https://www.ubereats.com/orange-county/food-delivery/ziings-bistro-%26-bar/zIkTBjbnSsiZEWOKegQrPg,stanton-california,"['Seafood', 'Asian Fusion']",,,$$,33.871792,-117.924508,+17145265777,92832,209 N Harbor Blvd,Fullerton,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fullerton', 'addressRegion': 'CA', 'postalCode': '92832', 'addressCountry': 'US', 'streetAddress': '209 N Harbor Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.871792, 'longitude': -117.924508}",{}
Panda Express (Buena Park) 8317 La Palma Ave.,https://www.ubereats.com/orange-county/food-delivery/panda-express-buena-park-8317-la-palma-ave/HNozwsIaRiWKDM1lwmCdHw,stanton-california,"['Chinese', 'Family Meals']",4.6,150,$,33.846987,-117.988714,+17145237134,90620,8317 La Palma Ave.,Buena Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Buena Park', 'addressRegion': 'CA', 'postalCode': '90620', 'addressCountry': 'US', 'streetAddress': '8317 La Palma Ave.'}","{'@type': 'GeoCoordinates', 'latitude': 33.846987, 'longitude': -117.988714}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '150'}"
Lantern Garden,https://www.ubereats.com/orange-county/food-delivery/lantern-garden/WjxxO3l-TPiGxFIbyUzxaw,stanton-california,"['Chinese', 'Asian', 'Asian Fusion']",4.8,200,$,33.8349612,-117.9154488,+17147783113,92805,170 W Lincoln Ave,Anaheim,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anaheim', 'addressRegion': 'CA', 'postalCode': '92805', 'addressCountry': 'US', 'streetAddress': '170 W Lincoln Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.8349612, 'longitude': -117.9154488}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '200'}"
,https://www.ubereats.com/los-angeles/food-delivery/mcdonalds-hntg-bch1-16bch/uEsElxGLQD-da0Au36tmcw,stanton-california,,,,,,,,,,,,,,,
Freshco Kitchen & Juicery,https://www.ubereats.com/orange-county/food-delivery/freshco-kitchen-%26-juicery/j5u-WuGETEKmwBiCteOC3w,stanton-california,"['Mexican', 'Salads', 'Comfort Food']",3.7,11,,33.7584143,-118.0254683,+17146225341,92683,5954,Westminster,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Westminster', 'addressRegion': 'CA', 'postalCode': '92683', 'addressCountry': 'US', 'streetAddress': '5954'}","{'@type': 'GeoCoordinates', 'latitude': 33.7584143, 'longitude': -118.0254683}","{'@type': 'AggregateRating', 'ratingValue': 3.7, 'reviewCount': '11'}"
Lorena's Mexican Food,https://www.ubereats.com/orange-county/food-delivery/lorenas-mexican-food/sHTz2qfcQxCCei6_yLaK1Q,stanton-california,"['Mexican', 'Latin American', 'New Mexican']",4.9,26,$,33.73058799999999,-117.9708226,+17146224651,92683,9061 Edinger Ave,Westminster,Ca,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '8:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '10:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '8:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '10:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '7:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '8:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '8:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '13:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Westminster', 'addressRegion': 'Ca', 'postalCode': '92683', 'addressCountry': 'US', 'streetAddress': '9061 Edinger Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.73058799999999, 'longitude': -117.9708226}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '26'}"
Sweet Rolled Tacos,https://www.ubereats.com/orange-county/food-delivery/sweet-rolled-tacos/nPJEzWZzQTiZnjJ9TWG6uw,stanton-california,"['Ice Cream & Frozen Yogurt', 'Comfort Food', 'Desserts']",,,$,33.7736971,-117.9592861,+17143004607,92844,9930,Garden Grove,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Garden Grove', 'addressRegion': 'CA', 'postalCode': '92844', 'addressCountry': 'US', 'streetAddress': '9930'}","{'@type': 'GeoCoordinates', 'latitude': 33.7736971, 'longitude': -117.9592861}",{}
