name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
The Captain's Boil (195 Northside Drive East),https://www.ubereats.com/savannah/food-delivery/the-captains-boil-195-northside-drive-east/Bk1_1eX1SKed5Y2L4N2NMw,statesboro-georgia,"['Seafood', 'American', 'Southern']",,,$,32.4358959,-81.7597739,+19127644333,30458,195 Northside Drive East,Statesboro,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Statesboro', 'addressRegion': 'GA', 'postalCode': '30458', 'addressCountry': 'US', 'streetAddress': '195 Northside Drive East'}","{'@type': 'GeoCoordinates', 'latitude': 32.4358959, 'longitude': -81.7597739}",{}
Loc's Chicken & Waffles,https://www.ubereats.com/savannah/food-delivery/locs-chicken-%26-waffles/HShJkkWnReCVrVi69JiNGg,statesboro-georgia,"['Comfort Food', 'American', 'Wings']",4.3,27,$,32.4393573,-81.7605043,+19126811668,30458,430 Northside Dr E #168,Statesboro,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Statesboro', 'addressRegion': 'GA', 'postalCode': '30458', 'addressCountry': 'US', 'streetAddress': '430 Northside Dr E #168'}","{'@type': 'GeoCoordinates', 'latitude': 32.4393573, 'longitude': -81.7605043}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '27'}"
Wingz University,https://www.ubereats.com/savannah/food-delivery/wingz-university/LOPaPU5bQxaE0b9YdHDHMA,statesboro-georgia,"['Comfort Food', 'American', 'Wings']",4.4,10,$,32.4381759,-81.7841004,+19124890815,30458,407 Fair Rd,Statesboro,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:46'}]","{'@type': 'PostalAddress', 'addressLocality': 'Statesboro', 'addressRegion': 'GA', 'postalCode': '30458', 'addressCountry': 'US', 'streetAddress': '407 Fair Rd'}","{'@type': 'GeoCoordinates', 'latitude': 32.4381759, 'longitude': -81.7841004}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '10'}"
The Southern Pony Cafe,https://www.ubereats.com/savannah/food-delivery/the-southern-pony-cafe/o7aeMg5_SWaoNphzCJb8mQ,statesboro-georgia,"['Burgers', 'American', 'Sandwiches']",,,$,32.4260081,-81.79001009999999,+19122253743,30458,721 S Main St,Statesboro,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Statesboro', 'addressRegion': 'GA', 'postalCode': '30458', 'addressCountry': 'US', 'streetAddress': '721 S Main St'}","{'@type': 'GeoCoordinates', 'latitude': 32.4260081, 'longitude': -81.79001009999999}",{}
Statesboro Sweets and Cafe,https://www.ubereats.com/savannah/food-delivery/statesboro-sweets-and-cafe/zaHOVzAxTOuN3U4Ya3uNhA,statesboro-georgia,"['American', 'Sandwich', 'Salads']",,,$,32.4587172,-81.7799197,+19126889092,30458,"107 E Parrish St, C",Statesboro,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Statesboro', 'addressRegion': 'GA', 'postalCode': '30458', 'addressCountry': 'US', 'streetAddress': '107 E Parrish St, C'}","{'@type': 'GeoCoordinates', 'latitude': 32.4587172, 'longitude': -81.7799197}",{}
Jersey Mike’s Subs (721 South Main Street),https://www.ubereats.com/savannah/food-delivery/jersey-mikes-subs-721-south-main-street/JK77kryMS_ezKZvwjTBLfw,statesboro-georgia,"['Sandwich', 'American', 'Desserts']",4.5,47,$,32.425608,-81.790536,+19122439066,30458,721 South Main Street,Statesboro,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Statesboro', 'addressRegion': 'GA', 'postalCode': '30458', 'addressCountry': 'US', 'streetAddress': '721 South Main Street'}","{'@type': 'GeoCoordinates', 'latitude': 32.425608, 'longitude': -81.790536}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '47'}"
Shane's Rib Shack (1100 Brampton),https://www.ubereats.com/savannah/food-delivery/shanes-rib-shack-1100-brampton/7PxsflDLTWa-pZXz5cSnGg,statesboro-georgia,"['BBQ', 'American', 'Burgers']",4.4,108,$,32.41152009999999,-81.77131090000002,+19126814227,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 32.41152009999999, 'longitude': -81.77131090000002}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '108'}"
Steak n Shake (244 Henry Boulevard),https://www.ubereats.com/savannah/food-delivery/steak-n-shake-244-henry-boulevard/VkZIoMs8TkqHb57-2Lw61w,statesboro-georgia,"['American', 'Burgers', 'Salads']",,,$$,32.4293529,-81.7578082,+19122123500,30458,244 Henry Boulevard,Statesboro,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Statesboro', 'addressRegion': 'GA', 'postalCode': '30458', 'addressCountry': 'US', 'streetAddress': '244 Henry Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 32.4293529, 'longitude': -81.7578082}",{}
Zaxby's (1605 Chandler Rd),https://www.ubereats.com/savannah/food-delivery/zaxbys-1605-chandler-rd/aMhXNvd3QmKN-OaFZBRkTg,statesboro-georgia,"['American', 'Wings', 'Salads']",4.3,145,$,32.4223168,-81.77948359999999,+19124892811,30458,1605 Chandler Rd,Statesboro,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Statesboro', 'addressRegion': 'GA', 'postalCode': '30458', 'addressCountry': 'US', 'streetAddress': '1605 Chandler Rd'}","{'@type': 'GeoCoordinates', 'latitude': 32.4223168, 'longitude': -81.77948359999999}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '145'}"
Sugar Magnolia Bakery & Cafe,https://www.ubereats.com/savannah/food-delivery/sugar-magnolia-bakery-%26-cafe/tJj0H5IZQt2pJjnExsTUYg,statesboro-georgia,"['Other', 'Mexican', 'Kids Friendly']",,,,32.4481155,-81.7800346,+19122599900,30458,106 Savannah Ave,Statesboro,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '10:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '10:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '17:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Statesboro', 'addressRegion': 'GA', 'postalCode': '30458', 'addressCountry': 'US', 'streetAddress': '106 Savannah Ave'}","{'@type': 'GeoCoordinates', 'latitude': 32.4481155, 'longitude': -81.7800346}",{}
Shuckin' Shack,https://www.ubereats.com/savannah/food-delivery/shuckin-shack/9UPqwpqJSPGXOSLKIdj5MQ,statesboro-georgia,"['Seafood', 'American', 'Southern']",,,$,32.4014235,-81.7578041,+19122599393,30458,26 Independence Way,Statesboro,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '15:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Statesboro', 'addressRegion': 'GA', 'postalCode': '30458', 'addressCountry': 'US', 'streetAddress': '26 Independence Way'}","{'@type': 'GeoCoordinates', 'latitude': 32.4014235, 'longitude': -81.7578041}",{}
Sonic (322 S. Main Street),https://www.ubereats.com/savannah/food-delivery/sonic-322-s-main-street/Q1wz8uNSSNimzXRuabZcJQ,statesboro-georgia,"['American', 'Burgers', 'Breakfast and Brunch', 'Fast Food']",4.1,76,$$,32.44074949999999,-81.7837538,+19124894544,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '0:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 32.44074949999999, 'longitude': -81.7837538}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '76'}"
