name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Winners Circle Bar & Grill,https://www.ubereats.com/chicago/food-delivery/winners-circle-bar-%26-grill/olVVvvOqSy-D9xGQh7zZAw,sycamore-illinois,['Bar Food'],,,$$,41.96893801429551,-88.59037921559143,+18158952676,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '10:5'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.96893801429551, 'longitude': -88.59037921559143}",{}
,https://www.ubereats.com/chicago/food-delivery/subway-452-e-lincoln-hwy/ZbUixrGqQz2hote7YccPLA,sycamore-illinois,,,,,,,,,,,,,,,
Steak 'N Shake (2380 Sycamore Road),https://www.ubereats.com/chicago/food-delivery/steak-n-shake-2380-sycamore-road/tDeTPOCySP-33hD11lPdfw,sycamore-illinois,['American'],4.1,23,$$,41.9524565,-88.7243239,+18157585582,60115,2380 Sycamore Road,DeKalb,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'DeKalb', 'addressRegion': 'IL', 'postalCode': '60115', 'addressCountry': 'US', 'streetAddress': '2380 Sycamore Road'}","{'@type': 'GeoCoordinates', 'latitude': 41.9524565, 'longitude': -88.7243239}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '23'}"
Marco’s Pizza (456 E Lincoln Hwy),https://www.ubereats.com/chicago/food-delivery/marcos-pizza-456-e-lincoln-hwy/ur7sVkm1SaOXDY7cbxgB7Q,sycamore-illinois,"['Pizza', 'Salads', 'Sandwich']",4.6,18,$,41.92913230000001,-88.74905439999999,+18159818888,60115,456 E Lincoln Hwy,DeKalb,Illinois,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:1', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:1', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:1', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'DeKalb', 'addressRegion': 'Illinois', 'postalCode': '60115', 'addressCountry': 'US', 'streetAddress': '456 E Lincoln Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 41.92913230000001, 'longitude': -88.74905439999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '18'}"
Smoke Signal BBQ & Burgers,https://www.ubereats.com/chicago/food-delivery/smoke-signal-bbq-%26-burgers/8uU-74UxSC-Nui1wSyLlxw,sycamore-illinois,"['American', 'BBQ']",,,$,41.9366989,-88.7714556,+16309730422,60115,901 Lucinda Ave,DeKalb,Illinois,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'DeKalb', 'addressRegion': 'Illinois', 'postalCode': '60115', 'addressCountry': 'US', 'streetAddress': '901 Lucinda Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.9366989, 'longitude': -88.7714556}",{}
Chipotle Mexican Grill (1013 W Lincoln Hwy Ste A),https://www.ubereats.com/chicago/food-delivery/chipotle-mexican-grill-1013-w-lincoln-hwy-ste-a/JZzH78RVQueVR_BPDMjDQw,sycamore-illinois,"['Healthy', 'Mexican']",4.6,111,$,41.9314407,-88.7715446,+18157563715,60115,1013 W Lincoln Hwy Ste A,Dekalb,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dekalb', 'addressRegion': 'IL', 'postalCode': '60115', 'addressCountry': 'US', 'streetAddress': '1013 W Lincoln Hwy Ste A'}","{'@type': 'GeoCoordinates', 'latitude': 41.9314407, 'longitude': -88.7715446}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '111'}"
Hardee's (1645 Dekalb Ave),https://www.ubereats.com/chicago/food-delivery/hardees-1645-dekalb-ave/rokN3CVMT2u8XxBFNaIs2g,sycamore-illinois,"['American', 'Breakfast and Brunch', 'Fast Food']",4.0,14,$,41.975087,-88.716842,+17792224971,60178,1645 Dekalb Ave,Sycamore,Illinois,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sycamore', 'addressRegion': 'Illinois', 'postalCode': '60178', 'addressCountry': 'US', 'streetAddress': '1645 Dekalb Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.975087, 'longitude': -88.716842}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '14'}"
Chipotle Mexican Grill (2383 Sycamore Rd),https://www.ubereats.com/chicago/food-delivery/chipotle-mexican-grill-2383-sycamore-rd/0Y2jCYzNSGyTtqGS6C83bQ,sycamore-illinois,"['Healthy', 'Mexican']",4.7,41,$,41.95325829999999,-88.7254299,+18157540379,60115,2383 Sycamore Rd,Dekalb,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dekalb', 'addressRegion': 'IL', 'postalCode': '60115', 'addressCountry': 'US', 'streetAddress': '2383 Sycamore Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.95325829999999, 'longitude': -88.7254299}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '41'}"
Panda Express (2434 Sycamore Road),https://www.ubereats.com/chicago/food-delivery/panda-express-2434-sycamore-road/m3RM0MXSQHusMaprf33Mkg,sycamore-illinois,"['Chinese', 'Family Meals']",4.3,81,$,41.9542188,-88.7226408,+18157483333,60115,2434 Sycamore Road,Dekalb,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dekalb', 'addressRegion': 'IL', 'postalCode': '60115', 'addressCountry': 'US', 'streetAddress': '2434 Sycamore Road'}","{'@type': 'GeoCoordinates', 'latitude': 41.9542188, 'longitude': -88.7226408}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '81'}"
Huddle Restaurant,https://www.ubereats.com/chicago/food-delivery/huddle-restaurant/1zj8GVZiSVWBelNqf3ZFBQ,sycamore-illinois,"['Burgers', 'American', 'Sandwiches']",4.7,25,$,41.9317123,-88.7689012,+18157588899,60115,817 W Lincoln Hwy Ste I,Dekalb,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dekalb', 'addressRegion': 'IL', 'postalCode': '60115', 'addressCountry': 'US', 'streetAddress': '817 W Lincoln Hwy Ste I'}","{'@type': 'GeoCoordinates', 'latitude': 41.9317123, 'longitude': -88.7689012}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '25'}"
