name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Daikokuya El Monte,https://www.ubereats.com/los-angeles/food-delivery/daikokuya-el-monte/wZRFTIhfSpGCF11CfgX0rw,temple-city-california,"['Japanese', 'Noodles', 'Sushi']",4.6,84,$,34.0629901,-118.0524333,+16265423285,91733,9911 Garvey Ave,El Monte,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'El Monte', 'addressRegion': 'CA', 'postalCode': '91733', 'addressCountry': 'US', 'streetAddress': '9911 Garvey Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.0629901, 'longitude': -118.0524333}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '84'}"
"Tacos Mexico - Atlantic Blvd, East LA, CA",https://www.ubereats.com/los-angeles/food-delivery/tacos-mexico-atlantic-blvd-east-la-ca/hq6WZ19HTk28yyLfzfCvBA,temple-city-california,"['Mexican', 'Latin American', 'New Mexican']",4.7,15,$,34.03072,-118.1543936,+13232642634,90022,355 S Atlantic Blvd,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90022', 'addressCountry': 'US', 'streetAddress': '355 S Atlantic Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.03072, 'longitude': -118.1543936}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '15'}"
Cafe D.er,https://www.ubereats.com/los-angeles/food-delivery/cafe-der/Zhlfs5kvTICAMAJ-oEc80w,temple-city-california,"['Desserts', 'Vegetarian', 'Coffee and Tea']",,,$,34.0778519,-118.1231945,+16262427311,91801,1411 S Garfield Ave,Alhambra,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:30', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '8:30', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Alhambra', 'addressRegion': 'CA', 'postalCode': '91801', 'addressCountry': 'US', 'streetAddress': '1411 S Garfield Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.0778519, 'longitude': -118.1231945}",{}
Hk cafe,https://www.ubereats.com/los-angeles/food-delivery/hk-cafe/jT9u97SaS_uC_qOCMnKvwA,temple-city-california,"['Chinese', 'Noodles', 'BBQ']",,,$,34.0770195,-118.068408,+16263736688,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '18:0', 'closes': '0:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '18:0', 'closes': '1:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 34.0770195, 'longitude': -118.068408}",{}
Pho LTK,https://www.ubereats.com/los-angeles/food-delivery/pho-ltk/5dMG-ZEYRwujcC-5DtjLnQ,temple-city-california,"['Vietnamese', 'Noodles', 'Chicken']",,,$,34.09164199999999,-118.0394994,+16264165599,91731,10512 Lower Azusa Road,El Monte,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'El Monte', 'addressRegion': 'CA', 'postalCode': '91731', 'addressCountry': 'US', 'streetAddress': '10512 Lower Azusa Road'}","{'@type': 'GeoCoordinates', 'latitude': 34.09164199999999, 'longitude': -118.0394994}",{}
"Starbucks (Arrow Hwy & 4th, Irwindale)",https://www.ubereats.com/los-angeles/food-delivery/starbucks-arrow-hwy-%26-4th-irwindale/ety7r1ufSLq-PWKyJ_wYOw,temple-city-california,"['Cafe', 'Coffee & Tea', 'Breakfast and Brunch', 'Bakery']",4.6,188,$,34.1064807,-117.9383289,+16269606132,91706,15700 Arrow Highway,Irwindale,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '5:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '4:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '5:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Irwindale', 'addressRegion': 'CA', 'postalCode': '91706', 'addressCountry': 'US', 'streetAddress': '15700 Arrow Highway'}","{'@type': 'GeoCoordinates', 'latitude': 34.1064807, 'longitude': -117.9383289}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '188'}"
Jack in the Box (10699 Valley Blvd),https://www.ubereats.com/los-angeles/food-delivery/jack-in-the-box-10699-valley-blvd/TmPleO_5QCWgHUCNaxicvg,temple-city-california,"['American', 'burger', 'Fast Food']",4.2,32,$,34.0768253,-118.0395812,+16264443629,91731,10699 Valley Blvd,El Monte,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'El Monte', 'addressRegion': 'CA', 'postalCode': '91731', 'addressCountry': 'US', 'streetAddress': '10699 Valley Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.0768253, 'longitude': -118.0395812}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '32'}"
King's Grill,https://www.ubereats.com/los-angeles/food-delivery/kings-grill/UUsBFkjLTRimgd7CVVNKVQ,temple-city-california,['Asian Fusion'],,,$,34.0864057,-117.9664395,+16269624140,91706,14103 Ramona Blvd,Baldwin Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:20'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Baldwin Park', 'addressRegion': 'CA', 'postalCode': '91706', 'addressCountry': 'US', 'streetAddress': '14103 Ramona Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.0864057, 'longitude': -117.9664395}",{}
dan modern chinese - pasadena,https://www.ubereats.com/los-angeles/food-delivery/dan-modern-chinese-pasadena/sLzdREXqS4iCcB-FeNLKVA,temple-city-california,"['Chinese', 'Noodles', 'Vegetarian', 'Vegetarian Friendly']",4.7,176,$$,34.1430732,-118.1320401,+16268179799,91101,146 South Lake Avenue,Pasadena,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pasadena', 'addressRegion': 'CA', 'postalCode': '91101', 'addressCountry': 'US', 'streetAddress': '146 South Lake Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 34.1430732, 'longitude': -118.1320401}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '176'}"
Mint Leaf Indian Cuisine,https://www.ubereats.com/los-angeles/food-delivery/mint-leaf-indian-cuisine/bR0rpHvjQdq75v1gVqIX-w,temple-city-california,"['Indian', 'Vegetarian', 'Asian']",4.8,49,$,34.169285,-118.0980951,+16264608776,91107,2535 E Washington Blvd,Pasadena,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pasadena', 'addressRegion': 'CA', 'postalCode': '91107', 'addressCountry': 'US', 'streetAddress': '2535 E Washington Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.169285, 'longitude': -118.0980951}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '49'}"
