name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Pizza Hut (1980 N Olden Avenue Ext Ste 6),https://www.ubereats.com/new-jersey/food-delivery/pizza-hut-1980-n-olden-avenue-ext-ste-6/THopIUPsROSICWEpE0HvOA,trenton-new-jersey,"['Fast Food', 'Italian', 'pizza', 'wings']",4.3,31,$,40.2526527,-74.78838089999999,+16098834881,8618,1980 N Olden Avenue Ext Ste 6,Trenton,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Trenton', 'addressRegion': 'NJ', 'postalCode': '8618', 'addressCountry': 'US', 'streetAddress': '1980 N Olden Avenue Ext Ste 6'}","{'@type': 'GeoCoordinates', 'latitude': 40.2526527, 'longitude': -74.78838089999999}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '31'}"
Subway (700 Marketplace Blvd),https://www.ubereats.com/new-jersey/food-delivery/subway-700-marketplace-blvd/vMNikzudTQ-bDZQ49McKHQ,trenton-new-jersey,"['Fast Food', 'Sandwich', 'American']",,,$,40.1947173,-74.6343705,+16095816800,8691,700 Marketplace Blvd,Hamilton,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '17:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hamilton', 'addressRegion': 'NJ', 'postalCode': '8691', 'addressCountry': 'US', 'streetAddress': '700 Marketplace Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 40.1947173, 'longitude': -74.6343705}",{}
The Ice Cream Shop (Ewing),https://www.ubereats.com/new-jersey/food-delivery/the-ice-cream-shop-ewing/L7iTUxTkQ9CH5C3wgvXRzg,trenton-new-jersey,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,40.2512233,-74.7769996,+16098829722,8618,1535 Pennington Rd,Ewing,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ewing', 'addressRegion': 'NJ', 'postalCode': '8618', 'addressCountry': 'US', 'streetAddress': '1535 Pennington Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.2512233, 'longitude': -74.7769996}",{}
Trent City Pizzeria,https://www.ubereats.com/new-jersey/food-delivery/trent-city-pizzeria/NKZpXIo3RdGj2G_1J1hTCQ,trenton-new-jersey,"['Pizza', 'Spanish', 'Pasta']",4.6,94,$,40.2056547,-74.7598804,+16095711148,08611,687 Lamberton St,Trenton,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Trenton', 'addressRegion': 'NJ', 'postalCode': '08611', 'addressCountry': 'US', 'streetAddress': '687 Lamberton St'}","{'@type': 'GeoCoordinates', 'latitude': 40.2056547, 'longitude': -74.7598804}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '94'}"
BAGELS N CREAM,https://www.ubereats.com/new-jersey/food-delivery/bagels-n-cream/QWKMQVsRRb-bRnxk1ctBJA,trenton-new-jersey,"['Burgers', 'American', 'Sandwiches']",4.8,53,$,40.2226703,-74.6368991,+16095773301,08691,1051 Washington Boulevard,Robbinsville Township,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Robbinsville Township', 'addressRegion': 'NJ', 'postalCode': '08691', 'addressCountry': 'US', 'streetAddress': '1051 Washington Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 40.2226703, 'longitude': -74.6368991}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '53'}"
Dunkin' (47 E. State St.),https://www.ubereats.com/new-jersey/food-delivery/dunkin-47-e-state-st/o1zCx7V3Tbq6gScKnIHhPA,trenton-new-jersey,"['Breakfast and Brunch', 'Donuts']",4.8,12,$,40.21998869999999,-74.7643489,+16096950200,8608,47 E. State St.,Trenton,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:30', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Trenton', 'addressRegion': 'NJ', 'postalCode': '8608', 'addressCountry': 'US', 'streetAddress': '47 E. State St.'}","{'@type': 'GeoCoordinates', 'latitude': 40.21998869999999, 'longitude': -74.7643489}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '12'}"
McDonald's® (855 MARKETPLACE BLVD),https://www.ubereats.com/new-jersey/food-delivery/mcdonalds-855-marketplace-blvd/hNdSUYidQJCMRxVli6Cm-w,trenton-new-jersey,"['American', 'Burgers', 'Fast Food']",,,$,40.198376,-74.637592,+16095819600,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '22:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.198376, 'longitude': -74.637592}",{}
San Jose pizzeria and Restaurant,https://www.ubereats.com/new-jersey/food-delivery/san-jose-pizzeria-and-restaurant/ph5tvX3UR-SyXsk_GCANnA,trenton-new-jersey,"['Pizza', 'American', 'Italian', 'Family Meals']",,,$,40.2224116,-74.7217731,+16095708047,8629,1633 Hamilton Ave,Hamilton Township,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hamilton Township', 'addressRegion': 'NJ', 'postalCode': '8629', 'addressCountry': 'US', 'streetAddress': '1633 Hamilton Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.2224116, 'longitude': -74.7217731}",{}
Five Guys NJ-1450 3100 Quakerbridge Rd,https://www.ubereats.com/new-jersey/food-delivery/five-guys-nj-1450-3100-quakerbridge-rd/e-7uNS-WRt6wGlykxgFG6w,trenton-new-jersey,"['American', 'Burgers']",4.7,90,$,40.2482434,-74.6889585,+16098900327,08619,3100 Quakerbridge Rd.,Mercerville,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mercerville', 'addressRegion': 'NJ', 'postalCode': '08619', 'addressCountry': 'US', 'streetAddress': '3100 Quakerbridge Rd.'}","{'@type': 'GeoCoordinates', 'latitude': 40.2482434, 'longitude': -74.6889585}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '90'}"
Burger King (2700 South Broad Street),https://www.ubereats.com/new-jersey/food-delivery/burger-king-2700-south-broad-street/1Lz_sng-QkOOGnJTA2pthg,trenton-new-jersey,"['American', 'burger', 'Fast Food']",4.5,80,$,40.1917797,-74.7125461,+16098883652,8610,2700 South Broad Street,Trenton,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '6:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '6:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '10:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Trenton', 'addressRegion': 'NJ', 'postalCode': '8610', 'addressCountry': 'US', 'streetAddress': '2700 South Broad Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.1917797, 'longitude': -74.7125461}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '80'}"
