name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Pearls n Swirls,https://www.ubereats.com/connecticut/food-delivery/pearls-n-swirls/kZqYfkpvQe66emVgONa_Bg,trumbull-connecticut,"['Bubble Tea', 'Ice Cream and Frozen Yogurt', 'Desserts']",4.7,221,$,41.176902,-73.22672,+12035405501,06825,200 Tunxis Hill Rd,Fairfield,Connecticut,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fairfield', 'addressRegion': 'Connecticut', 'postalCode': '06825', 'addressCountry': 'US', 'streetAddress': '200 Tunxis Hill Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.176902, 'longitude': -73.22672}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '221'}"
Open Door Tea,https://www.ubereats.com/connecticut/food-delivery/open-door-tea/dCB6RTdXT0yx8-JjROZYRQ,trumbull-connecticut,"['American', 'Sandwich', 'Pastry', 'Allergy Friendly', 'Healthy']",4.9,24,$,41.209015,-73.1303322,+12033459659,06614,3552 Main St,Stratford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Stratford', 'addressRegion': 'CT', 'postalCode': '06614', 'addressCountry': 'US', 'streetAddress': '3552 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 41.209015, 'longitude': -73.1303322}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '24'}"
Bert's Deli,https://www.ubereats.com/connecticut/food-delivery/berts-deli/cjG7dmQdStuq1Z9b9c7DlQ,trumbull-connecticut,"['Sandwiches', 'American', 'Healthy']",4.7,25,$,41.2267249,-73.07104369999999,+12037138880,06460,400 Boston Post Rd,Milford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Milford', 'addressRegion': 'CT', 'postalCode': '06460', 'addressCountry': 'US', 'streetAddress': '400 Boston Post Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.2267249, 'longitude': -73.07104369999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '25'}"
Bridgeport halal fish &chips hot fried chicken,https://www.ubereats.com/connecticut/food-delivery/bridgeport-halal-fish-%26chips-hot-fried-chicken/4bjeElKOSXKAIr6cB6tAVg,trumbull-connecticut,"['Chicken', 'Burgers', 'Sandwich']",3.8,30,$,41.17775690000001,-73.2014143,+12035720844,06604,1255 Park Ave,Bridgeport,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '2:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '3:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bridgeport', 'addressRegion': 'CT', 'postalCode': '06604', 'addressCountry': 'US', 'streetAddress': '1255 Park Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.17775690000001, 'longitude': -73.2014143}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '30'}"
House Of Pho,https://www.ubereats.com/connecticut/food-delivery/house-of-pho/CRsSYRvrSdyQz-6wNobm9A,trumbull-connecticut,"['Vietnamese', 'Noodles', 'Desserts']",4.7,15,$$,41.2539625,-73.1008855,+12032904912,06614,7365 Main St,Stratford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Stratford', 'addressRegion': 'CT', 'postalCode': '06614', 'addressCountry': 'US', 'streetAddress': '7365 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 41.2539625, 'longitude': -73.1008855}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '15'}"
Boston Market (935 Barnum Avenue Cut Off),https://www.ubereats.com/connecticut/food-delivery/boston-market-935-barnum-avenue-cut-off/8AcGShAiQLKApj_hgrjULg,trumbull-connecticut,"['American', 'Fast Food', 'Comfort Food', 'Fried Chicken', 'Family Meals']",4.6,154,$,41.1986372,-73.13041100000001,+12033788508,6614,935 Barnum Avenue Cut Off,Stratford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Stratford', 'addressRegion': 'CT', 'postalCode': '6614', 'addressCountry': 'US', 'streetAddress': '935 Barnum Avenue Cut Off'}","{'@type': 'GeoCoordinates', 'latitude': 41.1986372, 'longitude': -73.13041100000001}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '154'}"
Capital Pizza,https://www.ubereats.com/connecticut/food-delivery/capital-pizza/z_7IyGLtTiOTnDL3c8eSzw,trumbull-connecticut,"['Pizza', 'Wings', 'Italian']",,,$$,41.18703,-73.219646,+12033607749,06604,666 Brooklawn Ave,Bridgeport,Connecticut,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bridgeport', 'addressRegion': 'Connecticut', 'postalCode': '06604', 'addressCountry': 'US', 'streetAddress': '666 Brooklawn Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.18703, 'longitude': -73.219646}",{}
Primo Pizza,https://www.ubereats.com/connecticut/food-delivery/primo-pizza/Z4TTpgDsTZSR5dQmm3t67A,trumbull-connecticut,"['Pizza', 'American', 'Italian']",4.8,58,$,41.18411602996207,-73.2553763300596,+12033742400,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.18411602996207, 'longitude': -73.2553763300596}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '58'}"
Zohra Deli ,https://www.ubereats.com/connecticut/food-delivery/zohra-deli/2hEKeb24TO6Ez8iOWhmeDg,trumbull-connecticut,"['Burgers', 'American', 'Sandwiches']",,,$,41.1655932,-73.2181562,+12035451708,06605-2246,2091 Fairfield Ave,Bridgeport,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bridgeport', 'addressRegion': 'CT', 'postalCode': '06605-2246', 'addressCountry': 'US', 'streetAddress': '2091 Fairfield Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.1655932, 'longitude': -73.2181562}",{}
JC's Sports Bar & Grill,https://www.ubereats.com/connecticut/food-delivery/jcs-sports-bar-%26-grill/y5o2WGjaQ1eIXc5fYcMJcQ,trumbull-connecticut,"['American', 'New On UberEATS!', 'Bar Food']",,,$$,41.315132,-73.091577,+12039245821,06484,330 Howe Ave,Shelton,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '16:0', 'closes': '19:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '11:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Shelton', 'addressRegion': 'CT', 'postalCode': '06484', 'addressCountry': 'US', 'streetAddress': '330 Howe Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.315132, 'longitude': -73.091577}",{}
