name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Shima Japanese Restaurant,https://www.ubereats.com/inland-empire/food-delivery/shima-japanese-restaurant/HN--begtSGa6LwEUz-RVWA,upland-california,"['Japanese', 'Sushi', 'Seafood']",4.7,16,$$,34.004019,-117.722148,+19095910175,91710,13700 Roswell Ave,Chino,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:30', 'closes': '14:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '17:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '11:30', 'closes': '14:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:30', 'closes': '14:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '17:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '14:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '17:0', 'closes': '22:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '12:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '22:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chino', 'addressRegion': 'CA', 'postalCode': '91710', 'addressCountry': 'US', 'streetAddress': '13700 Roswell Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.004019, 'longitude': -117.722148}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '16'}"
Caked Up - Natural Dessert Bar,https://www.ubereats.com/inland-empire/food-delivery/caked-up-natural-dessert-bar/aHpIdGbDRtCPKdoxSoR__w,upland-california,"['Desserts', 'Cupcakes']",,,$,34.1058,-117.5784,+19094761884,91730,8200 Haven Ave,Rancho Cucamonga,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '15:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rancho Cucamonga', 'addressRegion': 'CA', 'postalCode': '91730', 'addressCountry': 'US', 'streetAddress': '8200 Haven Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.1058, 'longitude': -117.5784}",{}
Dunkin' (11995 E Foothill Blvd),https://www.ubereats.com/inland-empire/food-delivery/dunkin-11995-e-foothill-blvd/2G9sXqutRpeZ1Mgp569wRw,upland-california,"['Breakfast and Brunch', 'Donuts', 'Sandwich']",3.7,27,$,34.1058244,-117.543286,+19094812888,91730,11995 E Foothill Blvd,Rancho Cucamonga,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rancho Cucamonga', 'addressRegion': 'CA', 'postalCode': '91730', 'addressCountry': 'US', 'streetAddress': '11995 E Foothill Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.1058244, 'longitude': -117.543286}","{'@type': 'AggregateRating', 'ratingValue': 3.7, 'reviewCount': '27'}"
Kung Fu Tea (12732 Foothill Blvd),https://www.ubereats.com/inland-empire/food-delivery/kung-fu-tea-12732-foothill-blvd/S43s3rYGSZeeLsrNdc9a-g,upland-california,"['Bubble Tea', 'Coffee and Tea', 'Juice']",4.8,58,$,34.1076132,-117.5273504,+19099228888,91739,12732 Foothill Blvd,Rancho Cucamonga,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rancho Cucamonga', 'addressRegion': 'CA', 'postalCode': '91739', 'addressCountry': 'US', 'streetAddress': '12732 Foothill Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.1076132, 'longitude': -117.5273504}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '58'}"
"Tropical Smoothie Cafe (891 W. Foothill Blvd., Suit 891)",https://www.ubereats.com/inland-empire/food-delivery/tropical-smoothie-cafe-891-w-foothill-blvd-suit-891/rhs14_D4TfKkifvck750Eg,upland-california,"['Juice and Smoothies', 'Healthy', 'Sandwich']",4.8,21,$,34.1081635,-117.6626598,+19092564004,91786,891 W. Foothill Blvd. Suit 891,Upland,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Upland', 'addressRegion': 'CA', 'postalCode': '91786', 'addressCountry': 'US', 'streetAddress': '891 W. Foothill Blvd. Suit 891'}","{'@type': 'GeoCoordinates', 'latitude': 34.1081635, 'longitude': -117.6626598}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '21'}"
Chipotle Mexican Grill (One Mills Cir),https://www.ubereats.com/inland-empire/food-delivery/chipotle-mexican-grill-one-mills-cir/tbxU3ulPSY6NBjpPpKtnEg,upland-california,"['Healthy', 'Mexican']",,,$,34.0729887,-117.5520272,+19096942357,91764,One Mills Cir,Ontario,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ontario', 'addressRegion': 'CA', 'postalCode': '91764', 'addressCountry': 'US', 'streetAddress': 'One Mills Cir'}","{'@type': 'GeoCoordinates', 'latitude': 34.0729887, 'longitude': -117.5520272}",{}
Mariscos Baja (Ontario),https://www.ubereats.com/inland-empire/food-delivery/mariscos-baja-ontario/BbilKIIaRxa9HJuVO4H7rw,upland-california,"['Mexican', 'Latin American', 'New Mexican']",,,$,34.0637322,-117.6802888,+19097295050,91762,1542 West Holt Boulevard,Ontario,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ontario', 'addressRegion': 'CA', 'postalCode': '91762', 'addressCountry': 'US', 'streetAddress': '1542 West Holt Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 34.0637322, 'longitude': -117.6802888}",{}
The Poke Place,https://www.ubereats.com/inland-empire/food-delivery/the-poke-place/EMP2LkI6TmGzRGIZ_JWzJg,upland-california,"['Seafood', 'Coffee and Tea', 'Ice Cream and Frozen Yogurt']",,,,34.10769439999999,-117.5713813,+15012888178,91730,"10710 Foothill Blvd, Ste 120 Ste 120",Rancho Cucamonga,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rancho Cucamonga', 'addressRegion': 'CA', 'postalCode': '91730', 'addressCountry': 'US', 'streetAddress': '10710 Foothill Blvd, Ste 120 Ste 120'}","{'@type': 'GeoCoordinates', 'latitude': 34.10769439999999, 'longitude': -117.5713813}",{}
Zaky Mediterranean Grill (Upland),https://www.ubereats.com/inland-empire/food-delivery/zaky-mediterranean-grill-upland/hcNR2CvkQgSdxzkSo_GApg,upland-california,['Mediterranean'],4.7,37,$,34.1073502,-117.6657145,+19099820700,91786,1013 W Foothill Blvd,Upland,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Upland', 'addressRegion': 'CA', 'postalCode': '91786', 'addressCountry': 'US', 'streetAddress': '1013 W Foothill Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.1073502, 'longitude': -117.6657145}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '37'}"
,https://www.ubereats.com/inland-empire/food-delivery/jamba-juice-175-n-indian-hill-blvd-ste-101-b/RtBeCNYPRF66KWBptsksQw,upland-california,,,,,,,,,,,,,,,
