name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Berkshire House,https://www.ubereats.com/los-angeles/food-delivery/berkshire-house/iDp5_Pz7TRWT2lSYXJNMeA,valley-village-california,"['American', 'Pizza', 'Wings']",,,,34.074787,-118.344347,+13232973006,90036,143 N La Brea Ave,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90036', 'addressCountry': 'US', 'streetAddress': '143 N La Brea Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.074787, 'longitude': -118.344347}",{}
Go Greek Yogurt - Beverly Hills,https://www.ubereats.com/los-angeles/food-delivery/go-greek-yogurt-beverly-hills/3StJdMTDSGCr7xKVPdtzQw,valley-village-california,"['Ice Cream and Frozen Yogurt', 'Desserts']",4.7,153,$,34.068978,-118.405789,+13108592711,90210,452 N Bedford Dr,Beverly Hills,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Beverly Hills', 'addressRegion': 'CA', 'postalCode': '90210', 'addressCountry': 'US', 'streetAddress': '452 N Bedford Dr'}","{'@type': 'GeoCoordinates', 'latitude': 34.068978, 'longitude': -118.405789}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '153'}"
Burgerim (4806 Laurel Canyon Blvd),https://www.ubereats.com/los-angeles/food-delivery/burgerim-4806-laurel-canyon-blvd/jSf6PvfJTrOM1KBGDQAmGg,valley-village-california,"['Burgers', 'Chicken', 'Wings']",,,$$,34.1579944,-118.3962169,+18186913430,91607,4806 Laurel Canyon Blvd,Valley Village,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Valley Village', 'addressRegion': 'CA', 'postalCode': '91607', 'addressCountry': 'US', 'streetAddress': '4806 Laurel Canyon Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.1579944, 'longitude': -118.3962169}",{}
Lala's Argentine Grill (Melrose),https://www.ubereats.com/los-angeles/food-delivery/lalas-argentine-grill-melrose/t4swUsXsR0mePWERNwSa6A,valley-village-california,"['Argentinian', 'BBQ', 'Seafood', 'Steak']",4.7,486,$$,34.0837004,-118.347275,+13239346838,90046,7229 Melrose Ave,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90046', 'addressCountry': 'US', 'streetAddress': '7229 Melrose Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.0837004, 'longitude': -118.347275}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '486'}"
Fresh Brothers - Burbank,https://www.ubereats.com/los-angeles/food-delivery/fresh-brothers-burbank/xiebYKALQiemegej7i_bbg,valley-village-california,"['Pizza', 'Italian', 'American']",4.5,25,$,34.151964,-118.342925,+18188581800,91505,4005 Riverside Dr,Burbank,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Burbank', 'addressRegion': 'CA', 'postalCode': '91505', 'addressCountry': 'US', 'streetAddress': '4005 Riverside Dr'}","{'@type': 'GeoCoordinates', 'latitude': 34.151964, 'longitude': -118.342925}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '25'}"
Trattoria Del Sole & Pizzeria,https://www.ubereats.com/los-angeles/food-delivery/trattoria-del-sole-%26-pizzeria/SSmiRmfCStCwwkvVPzXSfw,valley-village-california,['Italian'],4.4,34,$$,34.149824,-118.442999,+18185010017,91423,14228 Ventura Blvd,Los Angeles,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '23:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '0:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:30', 'closes': '23:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'California', 'postalCode': '91423', 'addressCountry': 'US', 'streetAddress': '14228 Ventura Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.149824, 'longitude': -118.442999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '34'}"
Foodlab,https://www.ubereats.com/los-angeles/food-delivery/foodlab/djyxZzRjSKmtQZBL1FqhRw,valley-village-california,"['Coffee and Tea', 'Sandwich', 'Breakfast and Brunch']",,,$$,34.0844623,-118.3382046,+13238517120,90038,732 N Highland Ave,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90038', 'addressCountry': 'US', 'streetAddress': '732 N Highland Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.0844623, 'longitude': -118.3382046}",{}
Meshuga 4 Sushi - La Brea,https://www.ubereats.com/los-angeles/food-delivery/meshuga-4-sushi-la-brea/4E7p-L_8SlOAXleQcfc1jQ,valley-village-california,"['Kosher', 'Sushi']",4.8,70,$$,34.081098,-118.343745,+13239649985,90036,526 N La Brea Ave,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '14:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90036', 'addressCountry': 'US', 'streetAddress': '526 N La Brea Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.081098, 'longitude': -118.343745}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '70'}"
JeJe Chicken,https://www.ubereats.com/los-angeles/food-delivery/jeje-chicken/IYQpM2unQPSurMgae8Cz9Q,valley-village-california,"['Mediterranean', 'Halal', 'Burgers', 'Desserts']",,,$,34.165792,-118.3747855,+17472559945,91601,5230 Lankershim Blvd,North Holywood,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '9:20'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '10:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '9:20'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '12:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'North Holywood', 'addressRegion': 'CA', 'postalCode': '91601', 'addressCountry': 'US', 'streetAddress': '5230 Lankershim Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.165792, 'longitude': -118.3747855}",{}
pineapple hill saloon and grill,https://www.ubereats.com/los-angeles/food-delivery/pineapple-hill-saloon-and-grill/PpyDqlYBQDCXIVGQEqmqfg,valley-village-california,"['American', 'Burgers', 'Sandwiches']",,,$,34.1524008,-118.448557,+18569053388,91403,4454 Van Nuys Blvd suite N,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:30', 'closes': '22:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '12:0', 'closes': '22:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:30', 'closes': '22:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '91403', 'addressCountry': 'US', 'streetAddress': '4454 Van Nuys Blvd suite N'}","{'@type': 'GeoCoordinates', 'latitude': 34.1524008, 'longitude': -118.448557}",{}
