name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Lobster & Beer,https://www.ubereats.com/los-angeles/food-delivery/lobster-%26-beer/PAVddqUYQV2SIRH0v23z1Q,venice-california,"['Seafood', 'American']",4.5,318,$$,34.026701,-118.408486,+14242988106,90034,3456 Motor Ave,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90034', 'addressCountry': 'US', 'streetAddress': '3456 Motor Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.026701, 'longitude': -118.408486}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '318'}"
Maria's Ricos Tacos,https://www.ubereats.com/los-angeles/food-delivery/marias-ricos-tacos/oUY82NV_RBWeOZY5IPv_Vw,venice-california,['Mexican'],4.7,214,$,33.961994,-118.3667971,+13106728226,90301,613 W Manchester Blvd,Inglewood,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Inglewood', 'addressRegion': 'CA', 'postalCode': '90301', 'addressCountry': 'US', 'streetAddress': '613 W Manchester Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.961994, 'longitude': -118.3667971}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '214'}"
Dunkin' (1132 Wilshire Blvd),https://www.ubereats.com/los-angeles/food-delivery/dunkin-1132-wilshire-blvd/F5j8OhI6S6ic_-O_a1mhjQ,venice-california,"['Breakfast and Brunch', 'Donuts']",4.6,105,$,34.0249468,-118.4906635,+13105769200,90401,1132 Wilshire Blvd,Santa Monica,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Santa Monica', 'addressRegion': 'CA', 'postalCode': '90401', 'addressCountry': 'US', 'streetAddress': '1132 Wilshire Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.0249468, 'longitude': -118.4906635}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '105'}"
Starbucks (Wilshire & Santa Monica),https://www.ubereats.com/los-angeles/food-delivery/starbucks-wilshire-%26-santa-monica/6SAQ6WkzRKqrqgsYt9ESKA,venice-california,"['Cafe', 'Coffee & Tea', 'Breakfast and Brunch', 'Bakery']",4.6,51,$,34.0667255,-118.4101925,+13105523133,90210,9811 S. Santa Monica Blvd,Beverly Hills,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '5:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '5:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '5:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Beverly Hills', 'addressRegion': 'CA', 'postalCode': '90210', 'addressCountry': 'US', 'streetAddress': '9811 S. Santa Monica Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.0667255, 'longitude': -118.4101925}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '51'}"
Subway (4730 Inglewood Blvd),https://www.ubereats.com/los-angeles/food-delivery/subway-4730-inglewood-blvd/NqTaWBN5SsiS7ywtd-evvg,venice-california,"['Fast Food', 'Sandwich', 'American']",4.7,10,$,33.993057,-118.414415,+13103981515,90230,4730 Inglewood Blvd.,Culver City,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Culver City', 'addressRegion': 'CA', 'postalCode': '90230', 'addressCountry': 'US', 'streetAddress': '4730 Inglewood Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 33.993057, 'longitude': -118.414415}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '10'}"
Shake Ramen Food Truck,https://www.ubereats.com/los-angeles/food-delivery/shake-ramen-food-truck/lYB25l7ZQ3mrX4u3rqfXhg,venice-california,['Japanese'],,,$$,33.9933565,-118.3950294,+13108530316,90230,5500 Sepulveda Blvd,Culver City,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Culver City', 'addressRegion': 'CA', 'postalCode': '90230', 'addressCountry': 'US', 'streetAddress': '5500 Sepulveda Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.9933565, 'longitude': -118.3950294}",{}
Between the Bread,https://www.ubereats.com/los-angeles/food-delivery/between-the-bread/0j8eXMqDRYiVnXwPeyJzeA,venice-california,"['Burgers', 'American', 'Sandwiches', 'Bakery', 'Desserts', 'Vegetarian', 'Vegetarian Friendly', 'Pastry', 'BBQ', 'Comfort Food', 'Deli', 'Seafood', 'Chicken']",,,$,34.0289764,-118.3908649,+13109575451,90034,3380 South Robertson Boulevard,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90034', 'addressCountry': 'US', 'streetAddress': '3380 South Robertson Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 34.0289764, 'longitude': -118.3908649}",{}
"Cinnabon  (6000 S. Sepulveda Blvd., No. 2410)",https://www.ubereats.com/los-angeles/food-delivery/cinnabon-6000-s-sepulveda-blvd-no-2410/NKJt8eGYR4yxBKEOvvLkrw,venice-california,"['Bakery', 'Desserts']",,,$,33.9854102,-118.3940029,+13103913503,90230,6000 S. Sepulveda Blvd. No. 2410,Culver City,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Culver City', 'addressRegion': 'CA', 'postalCode': '90230', 'addressCountry': 'US', 'streetAddress': '6000 S. Sepulveda Blvd. No. 2410'}","{'@type': 'GeoCoordinates', 'latitude': 33.9854102, 'longitude': -118.3940029}",{}
Shake Shack  (2171 Rosecrans Avenue),https://www.ubereats.com/los-angeles/food-delivery/shake-shack-2171-rosecrans-avenue/0ha_0bPxTgGA7uTAqz_Smw,venice-california,"['American', 'Burgers']",4.4,500,$,33.9022705,-118.3859463,+14243972171,90245,2171 Rosecrans Avenue,El Segundo,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '16:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'El Segundo', 'addressRegion': 'CA', 'postalCode': '90245', 'addressCountry': 'US', 'streetAddress': '2171 Rosecrans Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 33.9022705, 'longitude': -118.3859463}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '500'}"
All India Cafe,https://www.ubereats.com/los-angeles/food-delivery/all-india-cafe/HhHnxXl9TWuFw3tZx4EpYA,venice-california,['Indian'],4.8,45,$,34.040676,-118.463984,+13104425250,90025,12113 Santa Monica Blvd,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:30', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90025', 'addressCountry': 'US', 'streetAddress': '12113 Santa Monica Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.040676, 'longitude': -118.463984}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '45'}"
