name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Midland Park Food Mart,https://www.ubereats.com/new-jersey/food-delivery/midland-park-food-mart/3EYQ-A7BSICgNwgzookujg,waldwick-new-jersey,"['Salad / Sandwiches', 'American', 'Comfort Food']",,,$,40.9879683,-74.1400382,+12013896803,07432,184 Godwin Ave,Midland Park,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Midland Park', 'addressRegion': 'NJ', 'postalCode': '07432', 'addressCountry': 'US', 'streetAddress': '184 Godwin Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.9879683, 'longitude': -74.1400382}",{}
Jersey Mike's Subs - Rochelle Park,https://www.ubereats.com/new-jersey/food-delivery/jersey-mikes-subs-rochelle-park/i-_hF59HRnCa0clEn_Fu7w,waldwick-new-jersey,"['Sandwich', 'Italian', 'Deli']",4.6,491,$,40.894356,-74.076213,+12018430020,07662,60 Essex St #104,Rochelle Park,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rochelle Park', 'addressRegion': 'NJ', 'postalCode': '07662', 'addressCountry': 'US', 'streetAddress': '60 Essex St #104'}","{'@type': 'GeoCoordinates', 'latitude': 40.894356, 'longitude': -74.076213}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '491'}"
Rita's Italian Ice,https://www.ubereats.com/new-jersey/food-delivery/ritas-italian-ice/s-CEAIBkSGyXHj-ElCHr4w,waldwick-new-jersey,"['Ice Cream & Frozen Yogurt', 'Desserts', 'American']",4.9,28,$$,41.0944684,-74.14631480000001,+18457294964,7430,3 Miller Rd,Mahwah,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '14:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mahwah', 'addressRegion': 'NJ', 'postalCode': '7430', 'addressCountry': 'US', 'streetAddress': '3 Miller Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.0944684, 'longitude': -74.14631480000001}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '28'}"
Mr. Wok & Sushi,https://www.ubereats.com/new-jersey/food-delivery/mr-wok-%26-sushi/7il9GBvjSYSjsEPQ4LH4vw,waldwick-new-jersey,"['Sushi', 'Asian', 'Comfort Food']",4.7,111,$$,40.92596,-73.96394,+12015693969,07670,1 Highwood Ave,Tenafly,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Tenafly', 'addressRegion': 'NJ', 'postalCode': '07670', 'addressCountry': 'US', 'streetAddress': '1 Highwood Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.92596, 'longitude': -73.96394}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '111'}"
Steel Wheel Tavern,https://www.ubereats.com/new-jersey/food-delivery/steel-wheel-tavern/ACUEfoikRsqQYwCM0SPlXg,waldwick-new-jersey,['American'],,,$$,40.980864,-74.119768,+12018821800,7450,51 N Broad St,Ridgewood,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '19:42'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '15:0', 'closes': '19:42'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '15:0', 'closes': '19:42'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:30', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ridgewood', 'addressRegion': 'NJ', 'postalCode': '7450', 'addressCountry': 'US', 'streetAddress': '51 N Broad St'}","{'@type': 'GeoCoordinates', 'latitude': 40.980864, 'longitude': -74.119768}",{}
Rosario's Trattoria,https://www.ubereats.com/new-jersey/food-delivery/rosarios-trattoria/Gmw1cRW2Q7mCjFp5t5IghQ,waldwick-new-jersey,"['Italian', 'Pizza', 'Desserts']",,,,40.99783,-74.15227,+12018522288,07432,29 Central Avenue,Midland Park,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Midland Park', 'addressRegion': 'NJ', 'postalCode': '07432', 'addressCountry': 'US', 'streetAddress': '29 Central Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 40.99783, 'longitude': -74.15227}",{}
Rita's Italian Ice - Glen Rock,https://www.ubereats.com/new-jersey/food-delivery/ritas-italian-ice-glen-rock/kzlI3gv5S3-AHRkelaCnLw,waldwick-new-jersey,"['Italian', 'Ice Cream and Frozen Yogurt', 'Desserts']",4.8,133,$,40.952194,-74.13656,+12014474827,07452,1020 Maple Ave,Glen Rock,New Jersey,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Glen Rock', 'addressRegion': 'New Jersey', 'postalCode': '07452', 'addressCountry': 'US', 'streetAddress': '1020 Maple Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.952194, 'longitude': -74.13656}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '133'}"
Naru Sushi Hibachi,https://www.ubereats.com/new-jersey/food-delivery/naru-sushi-hibachi/cq6Y1dHxSEa1IJfudYzeXA,waldwick-new-jersey,"['Japanese', 'Asian', 'Sushi']",4.7,189,$,41.0196174,-74.20488960000002,+12019042401,07417,754-B Franklin Avenue,Franklin Lakes,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Franklin Lakes', 'addressRegion': 'NJ', 'postalCode': '07417', 'addressCountry': 'US', 'streetAddress': '754-B Franklin Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 41.0196174, 'longitude': -74.20488960000002}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '189'}"
"TGI Friday's (625 - HACKENSACK, NJ)",https://www.ubereats.com/new-jersey/food-delivery/tgi-fridays-625-hackensack-nj/Ti0Fm16QSkOzsG1tjcZI8w,waldwick-new-jersey,"['Burgers', 'Bar Food', 'American', 'Family Meals']",4.2,500,$$,40.909039,-74.03376,+12013427107,7601,411,Hackensack,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hackensack', 'addressRegion': 'NJ', 'postalCode': '7601', 'addressCountry': 'US', 'streetAddress': '411'}","{'@type': 'GeoCoordinates', 'latitude': 40.909039, 'longitude': -74.03376}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '500'}"
Boston Market (20 Wyckoff Avenue),https://www.ubereats.com/new-jersey/food-delivery/boston-market-20-wyckoff-avenue/F8ceLKa2QwuE2L3xdJ0pig,waldwick-new-jersey,"['American', 'Fast Food', 'Comfort Food', 'Fried Chicken', 'Family Meals']",4.4,16,$,41.008577,-74.12094499999999,+12014473300,7463,20 Wyckoff Avenue,Waldwick,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Waldwick', 'addressRegion': 'NJ', 'postalCode': '7463', 'addressCountry': 'US', 'streetAddress': '20 Wyckoff Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 41.008577, 'longitude': -74.12094499999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '16'}"
Delhi Accent: Innovative Indian Dining (By Khyber Grill Caterers),https://www.ubereats.com/new-jersey/food-delivery/delhi-accent%3A-innovative-indian-dining-by-khyber-grill-caterers/fsQ7IvxnRECqreKDjLzKlg,waldwick-new-jersey,"['Indian', 'Vegetarian', 'Asian', 'Allergy Friendly']",4.5,87,$,40.98046110000001,-74.1189729,+12014444910,07450,37 Chestnut St,Ridgewood,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ridgewood', 'addressRegion': 'NJ', 'postalCode': '07450', 'addressCountry': 'US', 'streetAddress': '37 Chestnut St'}","{'@type': 'GeoCoordinates', 'latitude': 40.98046110000001, 'longitude': -74.1189729}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '87'}"
B.GOOD (Ridgewood),https://www.ubereats.com/new-jersey/food-delivery/bgood-ridgewood/hUwTCNhmQGGgH-pbXINOUA,waldwick-new-jersey,"['American', 'Sandwich', 'Healthy']",,,$$,40.98153,-74.086765,+12018790879,,381 NJ-17,Ridgewood,New Jersey,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ridgewood', 'addressRegion': 'New Jersey', 'postalCode': '', 'addressCountry': 'US', 'streetAddress': '381 NJ-17'}","{'@type': 'GeoCoordinates', 'latitude': 40.98153, 'longitude': -74.086765}",{}
Dunkin' (80 Godwin Ave),https://www.ubereats.com/new-jersey/food-delivery/dunkin-80-godwin-ave/BBfFTPZuQQ2sAHPmpYjg_Q,waldwick-new-jersey,"['Breakfast and Brunch', 'Donuts']",4.4,16,$,40.9855092,-74.13748389999999,+12014471550,7432,80 Godwin Ave,Midland Park,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:30', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Midland Park', 'addressRegion': 'NJ', 'postalCode': '7432', 'addressCountry': 'US', 'streetAddress': '80 Godwin Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.9855092, 'longitude': -74.13748389999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '16'}"
Mike's Delicatessen,https://www.ubereats.com/new-jersey/food-delivery/mikes-delicatessen/Uvf6SOSaTZiyPcgvkzT1DA,waldwick-new-jersey,"['Salads', 'Sandwich', 'Breakfast and Brunch']",,,$,41.0026399,-74.0489458,+12016649696,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:30', 'closes': '18:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.0026399, 'longitude': -74.0489458}",{}
Seafood King ,https://www.ubereats.com/new-jersey/food-delivery/seafood-king/cTW3UJpYTfOMAsexKzrBNw,waldwick-new-jersey,"['Seafood', 'American', 'Southern']",,,$,40.93938739999999,-74.1186366,+12019233333,07410,24-12,Fair Lawn,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fair Lawn', 'addressRegion': 'NJ', 'postalCode': '07410', 'addressCountry': 'US', 'streetAddress': '24-12'}","{'@type': 'GeoCoordinates', 'latitude': 40.93938739999999, 'longitude': -74.1186366}",{}
Lee Garden,https://www.ubereats.com/new-jersey/food-delivery/lee-garden/VJiJ1fYbRT2rAzQOfE5Wmw,waldwick-new-jersey,"['Chinese', 'Asian', 'Seafood']",,,$,40.99635329999999,-74.1106562,+12019255684,07423,604 N Maple Ave,Ho-Ho-Kus,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:20'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:20'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ho-Ho-Kus', 'addressRegion': 'NJ', 'postalCode': '07423', 'addressCountry': 'US', 'streetAddress': '604 N Maple Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.99635329999999, 'longitude': -74.1106562}",{}
Delicias peruanas,https://www.ubereats.com/new-jersey/food-delivery/delicias-peruanas/AByLWTKfS6yO_WpGRbPgag,waldwick-new-jersey,"['Spanish', 'Seafood', 'Mediterranean']",,,$,40.93489139999999,-74.15525989999999,+19733413073,7524,627 River St 1 floor,Paterson,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '12:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Paterson', 'addressRegion': 'NJ', 'postalCode': '7524', 'addressCountry': 'US', 'streetAddress': '627 River St 1 floor'}","{'@type': 'GeoCoordinates', 'latitude': 40.93489139999999, 'longitude': -74.15525989999999}",{}
Taka Japanese,https://www.ubereats.com/new-jersey/food-delivery/taka-japanese/elUjPGBfSqiya8c77XQUDQ,waldwick-new-jersey,"['Japanese', 'Sushi']",4.3,57,$$,40.9559663,-74.22527699999999,+19736969559,7470,787 Hamburg Tpke,Wayne,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wayne', 'addressRegion': 'NJ', 'postalCode': '7470', 'addressCountry': 'US', 'streetAddress': '787 Hamburg Tpke'}","{'@type': 'GeoCoordinates', 'latitude': 40.9559663, 'longitude': -74.22527699999999}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '57'}"
Sweetberry Bowls (Glen Rock),https://www.ubereats.com/new-jersey/food-delivery/sweetberry-bowls-glen-rock/NrSLsSV_Tm6UkOYruG1elw,waldwick-new-jersey,"['Vegan', 'Vegetarian Friendly', 'Juice and Smoothies', 'Healthy', 'Breakfast and Brunch', 'Salads']",4.7,14,$,40.962333,-74.132007,+12014447018,07452,208 Rock Rd,Glen Rock,New Jersey,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '0:0', 'closes': '0:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Glen Rock', 'addressRegion': 'New Jersey', 'postalCode': '07452', 'addressCountry': 'US', 'streetAddress': '208 Rock Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.962333, 'longitude': -74.132007}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '14'}"
Panera (770 Route 17 North),https://www.ubereats.com/new-jersey/food-delivery/panera-770-route-17-north/nNEU-VYaSM2fOoei5Q4dKQ,waldwick-new-jersey,"['Breakfast and Brunch', 'salad', 'Sandwich', 'Family Meals']",4.5,75,$,40.97199529999999,-74.0795339,+12013890503,7652,770 Route 17 North,Paramus,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Paramus', 'addressRegion': 'NJ', 'postalCode': '7652', 'addressCountry': 'US', 'streetAddress': '770 Route 17 North'}","{'@type': 'GeoCoordinates', 'latitude': 40.97199529999999, 'longitude': -74.0795339}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '75'}"
Pappy’s Juice Bar,https://www.ubereats.com/new-jersey/food-delivery/pappys-juice-bar/IkCLdopBQieZD6sW3p6zjA,waldwick-new-jersey,"['Burgers', 'Healthy', 'Vegan', 'Juice and Smoothies']",,,$,40.9491494,-74.154789,+19739493551,07506,193 Diamond Bridge Ave,Hawthorne,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hawthorne', 'addressRegion': 'NJ', 'postalCode': '07506', 'addressCountry': 'US', 'streetAddress': '193 Diamond Bridge Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.9491494, 'longitude': -74.154789}",{}
KFC / Taco Bell (Rt 17 N),https://www.ubereats.com/new-jersey/food-delivery/kfc-taco-bell-rt-17-n/AGvav3kqS0qJblZZ8DY2Dg,waldwick-new-jersey,"['Wings', 'American', 'Southern', 'Mexican']",4.6,96,$,41.070968,-74.13782359999999,+18168365591,7446,1246 New Jersey 17,Ramsey,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ramsey', 'addressRegion': 'NJ', 'postalCode': '7446', 'addressCountry': 'US', 'streetAddress': '1246 New Jersey 17'}","{'@type': 'GeoCoordinates', 'latitude': 41.070968, 'longitude': -74.13782359999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '96'}"
Italian Riviera,https://www.ubereats.com/new-jersey/food-delivery/italian-riviera/xixWGKM0T0aOcRFx9I1bMw,waldwick-new-jersey,"['Italian', 'American', 'Vegan Friendly']",,,$$,41.01083010000001,-74.11894029999999,+12016529415,7463,8 E Prospect St,Waldwick,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:30', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Waldwick', 'addressRegion': 'NJ', 'postalCode': '7463', 'addressCountry': 'US', 'streetAddress': '8 E Prospect St'}","{'@type': 'GeoCoordinates', 'latitude': 41.01083010000001, 'longitude': -74.11894029999999}",{}
BrickLane Curry House,https://www.ubereats.com/new-jersey/food-delivery/bricklane-curry-house/QMNDBNc2Q3K6hh1rdNxRxQ,waldwick-new-jersey,"['Indian', 'Indian Curry', 'Vegetarian', 'Vegetarian Friendly']",,,$$,40.980908,-74.118548,+12016707311,07450,34 Franklin Ave,Ridgewood,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ridgewood', 'addressRegion': 'NJ', 'postalCode': '07450', 'addressCountry': 'US', 'streetAddress': '34 Franklin Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.980908, 'longitude': -74.118548}",{}
Baci Gelato,https://www.ubereats.com/new-jersey/food-delivery/baci-gelato/r-ib4LmURhuE2RZpmS7znQ,waldwick-new-jersey,"['Ice Cream & Frozen Yogurt', 'Comfort Food', 'Desserts']",4.9,194,$,40.9432562,-73.9742278,+19176036082,07626,344 11th St,Cresskill,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '0:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cresskill', 'addressRegion': 'NJ', 'postalCode': '07626', 'addressCountry': 'US', 'streetAddress': '344 11th St'}","{'@type': 'GeoCoordinates', 'latitude': 40.9432562, 'longitude': -73.9742278}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '194'}"
