name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Yogurtland (1955 41st Ave),https://www.ubereats.com/san-francisco/food-delivery/yogurtland-1955-41st-ave/kJw5qSuuTvqAiGrRYAy6pQ,watsonville-california,"['Desserts', 'Ice Cream and Frozen Yogurt']",4.8,20,$,36.9779925,-121.9669516,+18314623100,95010,1955 41st Ave,Capitola,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Capitola', 'addressRegion': 'CA', 'postalCode': '95010', 'addressCountry': 'US', 'streetAddress': '1955 41st Ave'}","{'@type': 'GeoCoordinates', 'latitude': 36.9779925, 'longitude': -121.9669516}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '20'}"
Mangiamo Pizza ,https://www.ubereats.com/san-francisco/food-delivery/mangiamo-pizza/Y6_dWi4BTYqfsgpLBGHQsA,watsonville-california,['Pizza'],,,$$,36.9742187,-121.8895781,+19036817855,95003,783 Rio Del Mar Blvd,Aptos,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '16:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Aptos', 'addressRegion': 'CA', 'postalCode': '95003', 'addressCountry': 'US', 'streetAddress': '783 Rio Del Mar Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 36.9742187, 'longitude': -121.8895781}",{}
The Ice Cream Shop ,https://www.ubereats.com/san-francisco/food-delivery/the-ice-cream-shop/RTZwNLzuQiaSNLEQJi5Ktw,watsonville-california,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,36.9384458,-121.7771722,+18317223555,95019,2026,Freedom,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Freedom', 'addressRegion': 'CA', 'postalCode': '95019', 'addressCountry': 'US', 'streetAddress': '2026'}","{'@type': 'GeoCoordinates', 'latitude': 36.9384458, 'longitude': -121.7771722}",{}
Pizza lovers &more,https://www.ubereats.com/san-francisco/food-delivery/pizza-lovers-%26more/lPA69V3NR5Ok25EgPQ9e_w,watsonville-california,"['Pizza', 'Sandwich', 'Italian']",,,$,36.915294,-121.7750587,+18315365400,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 36.915294, 'longitude': -121.7750587}",{}
TOGOs (1985 Main St),https://www.ubereats.com/san-francisco/food-delivery/togos-1985-main-st/mMPiSrwsTYq47Chp-GeKhA,watsonville-california,"['Sandwich', 'American']",4.7,14,$,36.9180264,-121.7827396,+18317618744,95076,1985 Main St,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '19:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076', 'addressCountry': 'US', 'streetAddress': '1985 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 36.9180264, 'longitude': -121.7827396}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '14'}"
Rebecas bakery,https://www.ubereats.com/san-francisco/food-delivery/rebecas-bakery/R4r9PbPbRkOPz9_xdolwXw,watsonville-california,"['American', 'Mexican', 'Bakery', 'Latin American', 'Pastry', 'Sandwich', 'Desserts']",,,$,36.906826,-121.7543191,+18317869664,95076,15 1st St,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '17:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076', 'addressCountry': 'US', 'streetAddress': '15 1st St'}","{'@type': 'GeoCoordinates', 'latitude': 36.906826, 'longitude': -121.7543191}",{}
ELLA'S AT THE AIRPORT,https://www.ubereats.com/san-francisco/food-delivery/ellas-at-the-airport/QKrfKG66Sgen4K3LlPIARQ,watsonville-california,['American'],4.4,13,,36.93418880000001,-121.7880248,+18317283282,95076,100 Aviation Way,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '13:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076', 'addressCountry': 'US', 'streetAddress': '100 Aviation Way'}","{'@type': 'GeoCoordinates', 'latitude': 36.93418880000001, 'longitude': -121.7880248}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '13'}"
Popeyes (590 Auto Center Dr.),https://www.ubereats.com/san-francisco/food-delivery/popeyes-590-auto-center-dr/HlNA8jTsQoCwnItmab3X-w,watsonville-california,"['American', 'Fast Food', 'Southern', 'Wings']",4.2,32,$,36.9167721,-121.768074,+18313194424,95076,1000 N Main St,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076', 'addressCountry': 'US', 'streetAddress': '1000 N Main St'}","{'@type': 'GeoCoordinates', 'latitude': 36.9167721, 'longitude': -121.768074}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '32'}"
Panda Express (20 Ohlone Pkwy Space #202),https://www.ubereats.com/san-francisco/food-delivery/panda-express-20-ohlone-pkwy-space-%23202/dcZeRh8KSNuBIYm2OinMnQ,watsonville-california,"['Chinese', 'Family Meals']",4.3,99,$,36.9161539,-121.7780265,+18317221787,95076,20 Ohlone Pkwy Space #202,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076', 'addressCountry': 'US', 'streetAddress': '20 Ohlone Pkwy Space #202'}","{'@type': 'GeoCoordinates', 'latitude': 36.9161539, 'longitude': -121.7780265}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '99'}"
KFC (1610 Freedom Boulevard),https://www.ubereats.com/san-francisco/food-delivery/kfc-1610-freedom-boulevard/esr0YJgCQEW_10Qe8F1TaA,watsonville-california,"['American', 'Fast Food', 'wings']",4.6,34,$,36.932539,-121.7700721,+12818559979,95076,1610 Freedom Boulevard,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076', 'addressCountry': 'US', 'streetAddress': '1610 Freedom Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 36.932539, 'longitude': -121.7700721}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '34'}"
Yogurtland (1487 Main St),https://www.ubereats.com/san-francisco/food-delivery/yogurtland-1487-main-st/Bm29e1VnTPmmw6ulXy6vnQ,watsonville-california,"['Desserts', 'Ice Cream and Frozen Yogurt', 'Kids Friendly', 'Comfort Food']",,,$,36.9156759,-121.7774083,+18317611500,95076-3765,1487 Main St,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '2:0', 'closes': '2:1'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076-3765', 'addressCountry': 'US', 'streetAddress': '1487 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 36.9156759, 'longitude': -121.7774083}",{}
Burger King (142 Main Street),https://www.ubereats.com/san-francisco/food-delivery/burger-king-142-main-street/Lclvv8yPQKG4ZFcR8No6mQ,watsonville-california,"['American', 'burger', 'Fast Food']",4.6,11,$,36.9071045,-121.752951,+18317680570,95076,142 Main Street,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076', 'addressCountry': 'US', 'streetAddress': '142 Main Street'}","{'@type': 'GeoCoordinates', 'latitude': 36.9071045, 'longitude': -121.752951}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '11'}"
"TOGOs (445 Main Street, Suite 104)",https://www.ubereats.com/san-francisco/food-delivery/togos-445-main-street-suite-104/dKpryoz5SSGj8SWVEoZVMA,watsonville-california,"['Sandwich', 'American', 'Salads']",,,$,36.91106869999999,-121.7580273,+18313224800,95076,445 Main Street,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '19:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076', 'addressCountry': 'US', 'streetAddress': '445 Main Street'}","{'@type': 'GeoCoordinates', 'latitude': 36.91106869999999, 'longitude': -121.7580273}",{}
Sanderlings Restaurant ,https://www.ubereats.com/san-francisco/food-delivery/sanderlings-restaurant/GwC54imgRYyMyN0nfMCAsA,watsonville-california,"['Seafood', 'American', 'Burgers']",,,$,36.95056,-121.87709,+18312019447,95003,1 Seascape Resort Drive,Rio del Mar,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rio del Mar', 'addressRegion': 'CA', 'postalCode': '95003', 'addressCountry': 'US', 'streetAddress': '1 Seascape Resort Drive'}","{'@type': 'GeoCoordinates', 'latitude': 36.95056, 'longitude': -121.87709}",{}
Burger King (1403 Freedom Boulevard),https://www.ubereats.com/san-francisco/food-delivery/burger-king-1403-freedom-boulevard/GA7EV7cCT-qPQIARUaKS6g,watsonville-california,"['American', 'burger', 'Fast Food']",4.5,12,$,36.9267709,-121.7653588,+18317282496,95076,1403 Freedom Boulevard,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076', 'addressCountry': 'US', 'streetAddress': '1403 Freedom Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 36.9267709, 'longitude': -121.7653588}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '12'}"
Taco Bell (14 Green Valley Road),https://www.ubereats.com/san-francisco/food-delivery/taco-bell-14-green-valley-road/ze6IiAbzQtCxKCnkfm2yHQ,watsonville-california,"['Burritos', 'Fast Food', 'Mexican']",4.5,105,$,36.9354136,-121.7724509,+18317613991,95019,14 Green Valley Road,Freedom,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '0:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '1:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Freedom', 'addressRegion': 'CA', 'postalCode': '95019', 'addressCountry': 'US', 'streetAddress': '14 Green Valley Road'}","{'@type': 'GeoCoordinates', 'latitude': 36.9354136, 'longitude': -121.7724509}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '105'}"
Taco Bell (17533 VIERRA CANYON RD),https://www.ubereats.com/san-francisco/food-delivery/taco-bell-17533-vierra-canyon-rd/vNeCX2_1TTmpSvhDOeFO9g,watsonville-california,"['Burritos', 'Fast Food', 'Mexican']",4.5,16,$,36.7922762,-121.6654057,+18316633876,93907,17533 VIERRA CANYON RD,Prunedale,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:0', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Prunedale', 'addressRegion': 'CA', 'postalCode': '93907', 'addressCountry': 'US', 'streetAddress': '17533 VIERRA CANYON RD'}","{'@type': 'GeoCoordinates', 'latitude': 36.7922762, 'longitude': -121.6654057}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '16'}"
Mr. Z’s Crêpes & Teas,https://www.ubereats.com/san-francisco/food-delivery/mr-zs-crepes-%26-teas/29DzYZ8cTHqhSrgIkhgEdw,watsonville-california,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",,,$,36.93374000000001,-121.786054,+18314069229,95076,45 Aviation Way 2,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '11:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076', 'addressCountry': 'US', 'streetAddress': '45 Aviation Way 2'}","{'@type': 'GeoCoordinates', 'latitude': 36.93374000000001, 'longitude': -121.786054}",{}
Fat Boy Burgers And Grill,https://www.ubereats.com/san-francisco/food-delivery/fat-boy-burgers-and-grill/qscKp2sSSlWmRJ1h7GZjTw,watsonville-california,"['Burgers', 'American', 'Sandwiches']",4.2,13,$,36.9285492,-121.7670976,+18313194221,95076,1467 Freedom Boulevard,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076', 'addressCountry': 'US', 'streetAddress': '1467 Freedom Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 36.9285492, 'longitude': -121.7670976}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '13'}"
El Michoacano - Freedom,https://www.ubereats.com/san-francisco/food-delivery/el-michoacano-freedom/5py0dmxXSzKtqrg2gBrCQA,watsonville-california,"['Mexican', 'Latin American', 'New Mexican']",4.2,28,$,36.9393591,-121.775349,+18317688279,95019,1998,Freedom,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Freedom', 'addressRegion': 'CA', 'postalCode': '95019', 'addressCountry': 'US', 'streetAddress': '1998'}","{'@type': 'GeoCoordinates', 'latitude': 36.9393591, 'longitude': -121.775349}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '28'}"
Five Guys CA-1742 1855 41st Ave,https://www.ubereats.com/san-francisco/food-delivery/five-guys-ca-1742-1855-41st-ave/vrdfimI-ScCfCGtHF6GXwg,watsonville-california,"['American', 'Burgers']",4.6,133,$,36.9759809,-121.9668627,+18314751948,95010,1855 41st Avenue,Capitola,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Capitola', 'addressRegion': 'CA', 'postalCode': '95010', 'addressCountry': 'US', 'streetAddress': '1855 41st Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 36.9759809, 'longitude': -121.9668627}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '133'}"
Las Islitas Mariscos,https://www.ubereats.com/san-francisco/food-delivery/las-islitas-mariscos/glhsf6WzSBehEqAWm5sInw,watsonville-california,"['Mexican', 'Seafood']",,,$,36.9170179,-121.770471,+18317248448,95076,1230 Main St,Watsonville,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Watsonville', 'addressRegion': 'CA', 'postalCode': '95076', 'addressCountry': 'US', 'streetAddress': '1230 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 36.9170179, 'longitude': -121.770471}",{}
