name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Pozzetto Italian Dining,https://www.ubereats.com/los-angeles/food-delivery/pozzetto-italian-dining/VLaKgUhySauGMCCEyHVVvQ,west-covina-california,"['Italian', 'Pasta', 'Comfort Food']",4.5,58,$,34.1063576,-117.8078701,+19093059797,91773,114 W Bonita Ave,San Dimas,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '12:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '17:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '17:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Dimas', 'addressRegion': 'CA', 'postalCode': '91773', 'addressCountry': 'US', 'streetAddress': '114 W Bonita Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.1063576, 'longitude': -117.8078701}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '58'}"
cow up,https://www.ubereats.com/los-angeles/food-delivery/cow-up/h-GJPZ3oRbOsRhz_QQXQSg,west-covina-california,"['BBQ', 'American', 'Burgers']",,,$,33.9922218,-117.890937,+16268007776,91748,18888 Labin Ct C209,Rowland Heights,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rowland Heights', 'addressRegion': 'CA', 'postalCode': '91748', 'addressCountry': 'US', 'streetAddress': '18888 Labin Ct C209'}","{'@type': 'GeoCoordinates', 'latitude': 33.9922218, 'longitude': -117.890937}",{}
Superior Wok,https://www.ubereats.com/los-angeles/food-delivery/superior-wok/egs7PFD-RkmZy2BhjduW2g,west-covina-california,"['Chinese', 'Asian', 'Asian Fusion']",4.6,55,$,34.0223476,-117.9591144,+16264353097,91745,165 S Hacienda Blvd,City of Industry,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'City of Industry', 'addressRegion': 'CA', 'postalCode': '91745', 'addressCountry': 'US', 'streetAddress': '165 S Hacienda Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.0223476, 'longitude': -117.9591144}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '55'}"
Even Life,https://www.ubereats.com/los-angeles/food-delivery/even-life/r-wkB_KaRH6L5op6aFYgtQ,west-covina-california,"['Bubble Tea', 'Taiwanese', 'Noodles']",4.4,61,$$,33.9902131,-117.9231933,+16269658398,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '23:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 33.9902131, 'longitude': -117.9231933}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '61'}"
Nano Cafe,https://www.ubereats.com/los-angeles/food-delivery/nano-cafe/mFRjo6D6TTOkQYBfgaONoQ,west-covina-california,"['Burgers', 'American', 'Sandwiches']",4.8,45,$,34.1324026,-118.0089565,+16263572659,91016,441 W Duarte Rd,Monrovia,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Monrovia', 'addressRegion': 'CA', 'postalCode': '91016', 'addressCountry': 'US', 'streetAddress': '441 W Duarte Rd'}","{'@type': 'GeoCoordinates', 'latitude': 34.1324026, 'longitude': -118.0089565}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '45'}"
"WaBa Grill (245 N Barranca, West Covina)",https://www.ubereats.com/los-angeles/food-delivery/waba-grill-245-n-barranca-west-covina/XUkMYHGtQn-bE6edRBDw2Q,west-covina-california,"['Asian Fusion', 'Asian', 'Fast Food']",4.7,134,$,34.074636710828706,-117.88168242630972,+16263398666,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:10'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:10'}]",,"{'@type': 'GeoCoordinates', 'latitude': 34.074636710828706, 'longitude': -117.88168242630972}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '134'}"
Chuan Men Er (Industry),https://www.ubereats.com/los-angeles/food-delivery/chuan-men-er-industry/263cpOWuQeusTn3oDuYJKA,west-covina-california,"['Chinese', 'Asian', 'Asian Fusion']",,,$,33.9954144,-117.9111234,+19802888777,91748,18007 Gale Ave,City of Industry,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '17:0', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'City of Industry', 'addressRegion': 'CA', 'postalCode': '91748', 'addressCountry': 'US', 'streetAddress': '18007 Gale Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.9954144, 'longitude': -117.9111234}",{}
McDonald's® (Glendora-Arrow),https://www.ubereats.com/los-angeles/food-delivery/mcdonalds-glendora-arrow/JgAj8Yk3REGq0-XBdGcgTg,west-covina-california,"['American', 'Fast Food', 'Burgers']",4.6,259,$,34.107026,-117.864636,+16269632210,91740-5963,117 W ARROW HWY,GLENDORA,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '3:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '4:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '3:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '3:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'GLENDORA', 'addressRegion': 'CA', 'postalCode': '91740-5963', 'addressCountry': 'US', 'streetAddress': '117 W ARROW HWY'}","{'@type': 'GeoCoordinates', 'latitude': 34.107026, 'longitude': -117.864636}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '259'}"
Sandy's Cocina,https://www.ubereats.com/los-angeles/food-delivery/sandys-cocina/gRwQjcY-TL-TytdnmBL2Qg,west-covina-california,"['Mexican', 'Latin American', 'New Mexican']",,,$,34.1332008,-117.9093755,+16268128339,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '15:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 34.1332008, 'longitude': -117.9093755}",{}
Mariscos Rocamar,https://www.ubereats.com/los-angeles/food-delivery/mariscos-rocamar/4hCyuaj-S0e5kKT-Po6HXw,west-covina-california,"['Mexican', 'Japanese', 'Seafood']",4.6,11,$$,34.041737,-117.948578,+16269173803,91744,15424 Fairgrove Ave,La Puente,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'La Puente', 'addressRegion': 'California', 'postalCode': '91744', 'addressCountry': 'US', 'streetAddress': '15424 Fairgrove Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.041737, 'longitude': -117.948578}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '11'}"
