name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Sindie's Designs,https://www.ubereats.com/miami/food-delivery/sindies-designs/__XVO38sT3SQ9w2DNvgVYA,west-palm-beach-florida,"['American', 'Desserts', 'Kids Friendly']",,,$,26.7153424,-80.0533746,+15613056177,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 26.7153424, 'longitude': -80.0533746}",{}
Romeo's Famous Pizza,https://www.ubereats.com/miami/food-delivery/romeos-famous-pizza/D42oaIsbSsC_qCLgU4m7nA,west-palm-beach-florida,"['Pizza', 'Salads', 'Chicken', 'Wings', 'Pasta']",4.5,30,$,26.7084572,-80.1512753,+15617129310,33411,6917 Okeechobee Blvd,West Palm Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Palm Beach', 'addressRegion': 'FL', 'postalCode': '33411', 'addressCountry': 'US', 'streetAddress': '6917 Okeechobee Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 26.7084572, 'longitude': -80.1512753}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '30'}"
Brio (550 S. Rosemary Ave),https://www.ubereats.com/miami/food-delivery/brio-550-s-rosemary-ave/rYE08PNIQNmk1MSIncsClA,west-palm-beach-florida,"['Italian', 'Pasta', 'Kids Friendly']",4.6,23,$$,26.7089641,-80.0563737,+15618351511,33401,550 S. Rosemary Ave,West Palm,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Palm', 'addressRegion': 'FL', 'postalCode': '33401', 'addressCountry': 'US', 'streetAddress': '550 S. Rosemary Ave'}","{'@type': 'GeoCoordinates', 'latitude': 26.7089641, 'longitude': -80.0563737}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '23'}"
Sloan's Ice Cream (Rosemary Ave),https://www.ubereats.com/miami/food-delivery/sloans-ice-cream-rosemary-ave/0WKXm_gXQSi5FEL86ydL6A,west-palm-beach-florida,"['Ice Cream & Frozen Yogurt', 'Desserts', 'chocolatier']",4.9,11,$$,26.708142,-80.056506,+15618334303,33401,700 S Rosemary Ave,West Palm Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Palm Beach', 'addressRegion': 'FL', 'postalCode': '33401', 'addressCountry': 'US', 'streetAddress': '700 S Rosemary Ave'}","{'@type': 'GeoCoordinates', 'latitude': 26.708142, 'longitude': -80.056506}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '11'}"
Copper Blues Live,https://www.ubereats.com/miami/food-delivery/copper-blues-live/qq9rKtLDQhWw5XRIIRAgSw,west-palm-beach-florida,"['Burgers', 'American', 'Sandwiches']",,,$,26.7089641,-80.0563737,+15614045918,33401,550 South Rosemary Avenue,West Palm Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Palm Beach', 'addressRegion': 'FL', 'postalCode': '33401', 'addressCountry': 'US', 'streetAddress': '550 South Rosemary Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 26.7089641, 'longitude': -80.0563737}",{}
Carvel (5901 S Dixie Hwy),https://www.ubereats.com/miami/food-delivery/carvel-5901-s-dixie-hwy/1bUAvrM_RbWuXefxcvEL-g,west-palm-beach-florida,"['Ice Cream and Frozen Yogurt', 'Desserts', 'Comfort Food']",4.7,97,$,26.6614885,-80.05599169999999,+15615887853,33405,5901 S Dixie Hwy,West Palm Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Palm Beach', 'addressRegion': 'FL', 'postalCode': '33405', 'addressCountry': 'US', 'streetAddress': '5901 S Dixie Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 26.6614885, 'longitude': -80.05599169999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '97'}"
The India palace,https://www.ubereats.com/miami/food-delivery/the-india-palace/ovYT9RQ3SYKPKQrPcI3nDg,west-palm-beach-florida,"['Halal', 'Indian', 'Desserts']",,,$$,26.706329,-80.11575309999999,+15614785606,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 26.706329, 'longitude': -80.11575309999999}",{}
McKenna's Place,https://www.ubereats.com/miami/food-delivery/mckennas-place/O1SYdyEVQsSO5jtHZGXmQA,west-palm-beach-florida,"['Burgers', 'American', 'Sandwiches']",4.5,39,$$,26.6501474,-80.1046884,+15619680032,33406,4068 Forest Hill Blvd,West Palm Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '23:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '0:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '0:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Palm Beach', 'addressRegion': 'FL', 'postalCode': '33406', 'addressCountry': 'US', 'streetAddress': '4068 Forest Hill Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 26.6501474, 'longitude': -80.1046884}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '39'}"
Sticky Rice Thai & Sushi,https://www.ubereats.com/miami/food-delivery/sticky-rice-thai-%26-sushi/YOkCqQsxTduhF2lt5wX5tg,west-palm-beach-florida,"['Thai', 'Sushi']",4.7,349,$$,26.620246,-80.136961,+15618554388,33463,5885 Lake Worth Rd,Greenacres,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Greenacres', 'addressRegion': 'FL', 'postalCode': '33463', 'addressCountry': 'US', 'streetAddress': '5885 Lake Worth Rd'}","{'@type': 'GeoCoordinates', 'latitude': 26.620246, 'longitude': -80.136961}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '349'}"
Le bistro,https://www.ubereats.com/miami/food-delivery/le-bistro/0l4Z_vRgQcWaVWe8s_julQ,west-palm-beach-florida,"['European', 'Modern European', 'Seafood']",,,$,26.8480609,-80.093499,+19546872632,33410,"11701 Lake Victoria Gardens Ave, 4101 4101",Palm Beach Gardens,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Palm Beach Gardens', 'addressRegion': 'FL', 'postalCode': '33410', 'addressCountry': 'US', 'streetAddress': '11701 Lake Victoria Gardens Ave, 4101 4101'}","{'@type': 'GeoCoordinates', 'latitude': 26.8480609, 'longitude': -80.093499}",{}
