name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Nature's Table Rocky Point,https://www.ubereats.com/tampa/food-delivery/natures-table-rocky-point/9snZcn0uQ920SoQf9Nh_UQ,westchase-florida,"['Salad / Sandwiches', 'Healthy', 'Juice and Smoothies']",,,$$,27.96449759999999,-82.56877209999999,+18132075070,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:31', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:30', 'closes': '10:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 27.96449759999999, 'longitude': -82.56877209999999}",{}
Pepe’s Latin Cafe,https://www.ubereats.com/tampa/food-delivery/pepes-latin-cafe/TGuaV0ZXTdyjWMNiv7eS0Q,westchase-florida,"['Latin American', 'Cafe']",,,$,28.070117,-82.57649,+18139266533,33625,8013 Citrus Park Town Center Mall,Tampa,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Tampa', 'addressRegion': 'FL', 'postalCode': '33625', 'addressCountry': 'US', 'streetAddress': '8013 Citrus Park Town Center Mall'}","{'@type': 'GeoCoordinates', 'latitude': 28.070117, 'longitude': -82.57649}",{}
La Cabana Restaurant (Seminole Heights),https://www.ubereats.com/tampa/food-delivery/la-cabana-restaurant-seminole-heights/8Yoi6pMySIuI_BKICAFU-A,westchase-florida,"['Spanish', 'Latin American', 'Colombian', 'Seafood', 'Desserts', 'Family Meals']",4.7,273,$$,27.995255,-82.484731,+181393600780,33603,5302 N Armenia Ave,Tampa,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday'], 'opens': '11:30', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Tampa', 'addressRegion': 'FL', 'postalCode': '33603', 'addressCountry': 'US', 'streetAddress': '5302 N Armenia Ave'}","{'@type': 'GeoCoordinates', 'latitude': 27.995255, 'longitude': -82.484731}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '273'}"
Pita's Republic - Carrollwood,https://www.ubereats.com/tampa/food-delivery/pitas-republic-carrollwood/dxnP3PArR2Kra5tTiUU6TA,westchase-florida,"['Mediterranean', 'Sandwich']",4.3,35,$,28.0811,-82.5076,+18139604976,33618,14614 N Dale Mabry Hwy,Tampa,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '16:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '18:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Tampa', 'addressRegion': 'FL', 'postalCode': '33618', 'addressCountry': 'US', 'streetAddress': '14614 N Dale Mabry Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 28.0811, 'longitude': -82.5076}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '35'}"
Krispy Kreme (W Kennedy Blvd & N Macdill Ave),https://www.ubereats.com/tampa/food-delivery/krispy-kreme-w-kennedy-blvd-%26-n-macdill-ave/hKB5LLXERPabyTAg_wn2ag,westchase-florida,"['Desserts', 'Bakery', 'Breakfast & Brunch']",4.9,74,$,27.945068,-82.493909,+18138728315,33609,3113 W Kennedy Blvd,Tampa,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:15', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Tampa', 'addressRegion': 'FL', 'postalCode': '33609', 'addressCountry': 'US', 'streetAddress': '3113 W Kennedy Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 27.945068, 'longitude': -82.493909}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '74'}"
Burger Monger (Safety Harbor),https://www.ubereats.com/tampa/food-delivery/burger-monger-safety-harbor/eKjVIrnSToeDLkIRL_eYQg,westchase-florida,"['Burgers', 'Family Meals']",4.6,302,$$,28.011104,-82.707829,+17277264001,33759,2454 N McMullen Booth Rd,Clearwater,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Clearwater', 'addressRegion': 'FL', 'postalCode': '33759', 'addressCountry': 'US', 'streetAddress': '2454 N McMullen Booth Rd'}","{'@type': 'GeoCoordinates', 'latitude': 28.011104, 'longitude': -82.707829}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '302'}"
Church's Chicken (7502 West Waters Ave.),https://www.ubereats.com/tampa/food-delivery/churchs-chicken-7502-west-waters-ave/wXlbMY03RT-_syJ_DE-XFQ,westchase-florida,"['Fast Food', 'Family Meals']",4.2,90,$,28.025487,-82.562767,+18138887200,33615,7502 West Waters Ave.,Tampa,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '16:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Tampa', 'addressRegion': 'FL', 'postalCode': '33615', 'addressCountry': 'US', 'streetAddress': '7502 West Waters Ave.'}","{'@type': 'GeoCoordinates', 'latitude': 28.025487, 'longitude': -82.562767}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '90'}"
Starbucks (Waters & Anderson),https://www.ubereats.com/tampa/food-delivery/starbucks-waters-%26-anderson/oAe_C7lAQ96WNTJZ6bGYzg,westchase-florida,"['Bakery', 'Breakfast and Brunch', 'Cafe']",4.5,77,$,28.0329736,-82.5430263,+18138908718,33634,9222 Anderson Road AMC Veteran 24,Tampa,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Tampa', 'addressRegion': 'FL', 'postalCode': '33634', 'addressCountry': 'US', 'streetAddress': '9222 Anderson Road AMC Veteran 24'}","{'@type': 'GeoCoordinates', 'latitude': 28.0329736, 'longitude': -82.5430263}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '77'}"
Perkins Restaurant & Bakery (Clearwater),https://www.ubereats.com/tampa/food-delivery/perkins-restaurant-%26-bakery-clearwater/LRqZBggSSd20ls3PPHewLg,westchase-florida,"['Bakery', 'American', 'Family Meals']",4.7,218,$$,27.960995,-82.729381,+17277992019,33759,2626 Gulf to Bay Blvd,Clearwater,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '23:25'}]","{'@type': 'PostalAddress', 'addressLocality': 'Clearwater', 'addressRegion': 'Florida', 'postalCode': '33759', 'addressCountry': 'US', 'streetAddress': '2626 Gulf to Bay Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 27.960995, 'longitude': -82.729381}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '218'}"
Bay Leaves,https://www.ubereats.com/tampa/food-delivery/bay-leaves/nCGOYf95QM-TGKq5TiycBQ,westchase-florida,"['Indian', 'Alcohol']",4.8,181,$$,28.025885,-82.5104,+18135132505,33614,4023 W Waters Ave,Tampa,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Tampa', 'addressRegion': 'FL', 'postalCode': '33614', 'addressCountry': 'US', 'streetAddress': '4023 W Waters Ave'}","{'@type': 'GeoCoordinates', 'latitude': 28.025885, 'longitude': -82.5104}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '181'}"
