name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Dairy Queen   (3112 Kemp Blvd),https://www.ubereats.com/wichita-falls/food-delivery/dairy-queen-3112-kemp-blvd/_EPA6NzzQpq6TvGH6RPPnw,wichita-falls,"['American', 'Fast Food', 'Ice Cream & Frozen Yogurt']",4.5,39,$,33.88089160000001,-98.5293839,+19402649907,76308,3112 Kemp Blvd,Wichita Falls,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wichita Falls', 'addressRegion': 'TX', 'postalCode': '76308', 'addressCountry': 'US', 'streetAddress': '3112 Kemp Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.88089160000001, 'longitude': -98.5293839}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '39'}"
Er Cafe,https://www.ubereats.com/wichita-falls/food-delivery/er-cafe/3hDwqYs3QMeQAGgAq1Ad_Q,wichita-falls,"['Mexican', 'Breakfast and Brunch']",,,$,33.9034333,-98.50269490000001,+19405004420,76301,1616 10th St,Wichita Falls,Texas,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:30', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:30', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:30', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:30', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wichita Falls', 'addressRegion': 'Texas', 'postalCode': '76301', 'addressCountry': 'US', 'streetAddress': '1616 10th St'}","{'@type': 'GeoCoordinates', 'latitude': 33.9034333, 'longitude': -98.50269490000001}",{}
Go Loco Street Tacos & Burritos (Wichita Falls),https://www.ubereats.com/wichita-falls/food-delivery/go-loco-street-tacos-%26-burritos-wichita-falls/c7tg_jfURfWlGPNb24PwQg,wichita-falls,"['Mexican', 'Latin American', 'New Mexican']",3.3,16,$,33.886501,-98.4669479,+19402642000,76301,1208 Central East Freeway,Wichita Falls,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '10:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wichita Falls', 'addressRegion': 'TX', 'postalCode': '76301', 'addressCountry': 'US', 'streetAddress': '1208 Central East Freeway'}","{'@type': 'GeoCoordinates', 'latitude': 33.886501, 'longitude': -98.4669479}","{'@type': 'AggregateRating', 'ratingValue': 3.3, 'reviewCount': '16'}"
Juan & Juanita's,https://www.ubereats.com/wichita-falls/food-delivery/juan-%26-juanitas/ukfvsXkBS0aNfmsrRy8jOQ,wichita-falls,"['Mexican', 'Tex Mex']",,,$$,33.9136359,-98.49154109999999,+19402200414,76301,612 7th St,Wichita Falls,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wichita Falls', 'addressRegion': 'TX', 'postalCode': '76301', 'addressCountry': 'US', 'streetAddress': '612 7th St'}","{'@type': 'GeoCoordinates', 'latitude': 33.9136359, 'longitude': -98.49154109999999}",{}
Chuck E. Cheese (2935 S W Parkway),https://www.ubereats.com/wichita-falls/food-delivery/chuck-e-cheese-2935-s-w-parkway/aqfzMgudTcyycNBp_FitLg,wichita-falls,['Pizza'],,,$,33.857041,-98.541338,+19406926945,76308,2935 S W Parkway,Wichita Fall,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wichita Fall', 'addressRegion': 'TX', 'postalCode': '76308', 'addressCountry': 'US', 'streetAddress': '2935 S W Parkway'}","{'@type': 'GeoCoordinates', 'latitude': 33.857041, 'longitude': -98.541338}",{}
Golden Chick (2409 5th Street),https://www.ubereats.com/wichita-falls/food-delivery/golden-chick-2409-5th-street/sxzni6-lSZu1W27iv0N9Yw,wichita-falls,"['American', 'Salads', 'Comfort Food']",,,$,33.9092489,-98.5175663,+19407673509,76301,2409 5th Street,Wichita Falls,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '22:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wichita Falls', 'addressRegion': 'TX', 'postalCode': '76301', 'addressCountry': 'US', 'streetAddress': '2409 5th Street'}","{'@type': 'GeoCoordinates', 'latitude': 33.9092489, 'longitude': -98.5175663}",{}
Hootie's Burger Bar (3701 Call Field Rd),https://www.ubereats.com/wichita-falls/food-delivery/hooties-burger-bar-3701-call-field-rd/6DKaJF15Rm--AjmTLUhr5w,wichita-falls,"['American', 'Bar Food', 'burger']",3.7,22,$$,33.8704857,-98.5374708,+19402576446,76308,3701 Call Field Rd,Wichita Falls,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wichita Falls', 'addressRegion': 'TX', 'postalCode': '76308', 'addressCountry': 'US', 'streetAddress': '3701 Call Field Rd'}","{'@type': 'GeoCoordinates', 'latitude': 33.8704857, 'longitude': -98.5374708}","{'@type': 'AggregateRating', 'ratingValue': 3.7, 'reviewCount': '22'}"
Long John Silver's (4413 Kemp St),https://www.ubereats.com/wichita-falls/food-delivery/long-john-silvers-4413-kemp-st/f1RF9cCRQuWOyNN0lf2xQg,wichita-falls,"['Seafood', 'Chicken']",3.8,12,$,33.8625219,-98.5353042,+19406911761,76308,4413 Kemp St,Wichita Falls,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wichita Falls', 'addressRegion': 'TX', 'postalCode': '76308', 'addressCountry': 'US', 'streetAddress': '4413 Kemp St'}","{'@type': 'GeoCoordinates', 'latitude': 33.8625219, 'longitude': -98.5353042}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '12'}"
Pasqually's Pizza & Wings (2935 S W Parkway),https://www.ubereats.com/wichita-falls/food-delivery/pasquallys-pizza-%26-wings-2935-s-w-parkway/QBioV3WxRI2N-6yIgUXdrA,wichita-falls,"['Pizza', 'Italian', 'Wings']",,,$,33.856888,-98.5413322,+19406926945,76308,2935 S W Parkway,Wichita Fall,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wichita Fall', 'addressRegion': 'TX', 'postalCode': '76308', 'addressCountry': 'US', 'streetAddress': '2935 S W Parkway'}","{'@type': 'GeoCoordinates', 'latitude': 33.856888, 'longitude': -98.5413322}",{}
Stone Oven  Pizza,https://www.ubereats.com/wichita-falls/food-delivery/stone-oven-pizza/Uxf6BwFZR3e02z6RjjjUAg,wichita-falls,"['Pizza', 'American', 'Italian']",,,$,33.8685577,-98.5272176,+19406927768,76308,2617 Plaza Parkway,Wichita Falls,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wichita Falls', 'addressRegion': 'TX', 'postalCode': '76308', 'addressCountry': 'US', 'streetAddress': '2617 Plaza Parkway'}","{'@type': 'GeoCoordinates', 'latitude': 33.8685577, 'longitude': -98.5272176}",{}
