name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Big Chopsticks - Orange,https://www.ubereats.com/orange-county/food-delivery/big-chopsticks-orange/maI1Q6D4RauibhdKg8LFbA,yorba-linda-california,['Chinese'],4.5,72,$$,33.78701970000001,-117.8200597,+17147719738,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '16:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 33.78701970000001, 'longitude': -117.8200597}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '72'}"
Fly to the Chicken,https://www.ubereats.com/orange-county/food-delivery/fly-to-the-chicken/kVEASK4VQTi1NixbLnTIrQ,yorba-linda-california,"['Wings', 'Chicken', 'Korean']",4.6,74,$,33.8185925,-117.8870793,+17148335770,92806,2117 E Ball Rd,Anaheim,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '19:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anaheim', 'addressRegion': 'CA', 'postalCode': '92806', 'addressCountry': 'US', 'streetAddress': '2117 E Ball Rd'}","{'@type': 'GeoCoordinates', 'latitude': 33.8185925, 'longitude': -117.8870793}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '74'}"
PhoReal Kitchen,https://www.ubereats.com/orange-county/food-delivery/phoreal-kitchen/2Dh1nyPLQZWa6b8znKSQSw,yorba-linda-california,"['Vietnamese', 'Noodles', 'Healthy']",4.3,14,$,33.8732345,-117.8876282,+17147700970,92831,2466 E Chapman Ave,Fullerton,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fullerton', 'addressRegion': 'CA', 'postalCode': '92831', 'addressCountry': 'US', 'streetAddress': '2466 E Chapman Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.8732345, 'longitude': -117.8876282}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '14'}"
Lamppost Pizza Yorba Linda,https://www.ubereats.com/orange-county/food-delivery/lamppost-pizza-yorba-linda/6Y5zYSTSTCq7M6v2qQ3MKA,yorba-linda-california,"['Italian', 'Pizza', 'Family Meals']",4.7,49,$,33.8869609,-117.8273016,+17149939930,92886,5091 Richfield Rd,Yorba Linda,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Yorba Linda', 'addressRegion': 'CA', 'postalCode': '92886', 'addressCountry': 'US', 'streetAddress': '5091 Richfield Rd'}","{'@type': 'GeoCoordinates', 'latitude': 33.8869609, 'longitude': -117.8273016}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '49'}"
Tio Chava's Mexican Restaurant,https://www.ubereats.com/orange-county/food-delivery/tio-chavas-mexican-restaurant/qafFs8OvQyW6nCpkKDrVoA,yorba-linda-california,"['Mexican', 'Family Meals']",4.6,87,$,33.888236,-117.81203,+17147779694,92886,18452,Yorba Linda,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Yorba Linda', 'addressRegion': 'California', 'postalCode': '92886', 'addressCountry': 'US', 'streetAddress': '18452'}","{'@type': 'GeoCoordinates', 'latitude': 33.888236, 'longitude': -117.81203}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '87'}"
Creamistry - Anaheim Hills,https://www.ubereats.com/orange-county/food-delivery/creamistry-anaheim-hills/296yUWbHSYix5fkMXM4q-w,yorba-linda-california,['Ice Cream and Frozen Yogurt'],,,$,33.88915100000001,-117.8136562,+17144852220,92886,18349 Imperial Hwy,Yorba Linda,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '14:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '13:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Yorba Linda', 'addressRegion': 'CA', 'postalCode': '92886', 'addressCountry': 'US', 'streetAddress': '18349 Imperial Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 33.88915100000001, 'longitude': -117.8136562}",{}
,https://www.ubereats.com/orange-county/food-delivery/the-noodle/XswZSVRNSkiq1op0V4LsxQ,yorba-linda-california,,,,,,,,,,,,,,,
Choco Fruit,https://www.ubereats.com/orange-county/food-delivery/choco-fruit/AL9qFZQWTSGylrQ7jkS_dA,yorba-linda-california,['Desserts'],,,$$,33.8255553,-117.838103,+13109102772,92865,1500 East Village WaySuite 2229,Orange,CA,[],"{'@type': 'PostalAddress', 'addressLocality': 'Orange', 'addressRegion': 'CA', 'postalCode': '92865', 'addressCountry': 'US', 'streetAddress': '1500 East Village WaySuite 2229'}","{'@type': 'GeoCoordinates', 'latitude': 33.8255553, 'longitude': -117.838103}",{}
,https://www.ubereats.com/inland-empire/food-delivery/the-good-fish/UkD54ySkR2qYFir6T4MsoQ,yorba-linda-california,,,,,,,,,,,,,,,
My Brother Central Kitchen,https://www.ubereats.com/orange-county/food-delivery/my-brother-central-kitchen/6GM53kLLTgm-ErgDD5Xo9A,yorba-linda-california,"['Chinese', 'Chicken', 'Seafood', 'Allergy Friendly']",,,$,33.8676307,-117.8902563,+17144490858,92831,341 S State College Blvd,Orange County,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orange County', 'addressRegion': 'CA', 'postalCode': '92831', 'addressCountry': 'US', 'streetAddress': '341 S State College Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.8676307, 'longitude': -117.8902563}",{}
