name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Capitol Grill - Youngstown,https://www.ubereats.com/youngstown/food-delivery/capitol-grill-youngstown/CBF7_buXR16nx5VVwxdR3w,youngstown,"['Burgers', 'American', 'Sandwiches']",,,$,41.1008916,-80.6494263,+17249828977,44503,20 W Federal St,Youngstown,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Youngstown', 'addressRegion': 'OH', 'postalCode': '44503', 'addressCountry': 'US', 'streetAddress': '20 W Federal St'}","{'@type': 'GeoCoordinates', 'latitude': 41.1008916, 'longitude': -80.6494263}",{}
Applebee's (904 Great East Plaza),https://www.ubereats.com/youngstown/food-delivery/applebees-904-great-east-plaza/7Ni8QxVRSZCj2m8WYVUGkA,youngstown,"['American', 'Burgers', 'Salads']",4.1,46,$$,41.2119986,-80.7483336,+13305440780,44446,904 Great E Plaza,Niles,Ohio,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:29'}]","{'@type': 'PostalAddress', 'addressLocality': 'Niles', 'addressRegion': 'Ohio', 'postalCode': '44446', 'addressCountry': 'US', 'streetAddress': '904 Great E Plaza'}","{'@type': 'GeoCoordinates', 'latitude': 41.2119986, 'longitude': -80.7483336}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '46'}"
Mission Taco (Boardman),https://www.ubereats.com/youngstown/food-delivery/mission-taco-boardman/5bWQjmfERqCTD5n0hGUo-A,youngstown,['Mexican'],,,$,41.0237822,-80.7054149,+13309532392,44512,1393 BOARDMAN-CANFIELD RD.,Boardman,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Boardman', 'addressRegion': 'OH', 'postalCode': '44512', 'addressCountry': 'US', 'streetAddress': '1393 BOARDMAN-CANFIELD RD.'}","{'@type': 'GeoCoordinates', 'latitude': 41.0237822, 'longitude': -80.7054149}",{}
StoneFruit Coffee Company (Canfield Rd.),https://www.ubereats.com/youngstown/food-delivery/stonefruit-coffee-company-canfield-rd/vHZZ0rbSQVWnqpLb8XBd-w,youngstown,['Coffee and Tea'],,,$,41.0634986,-80.7086963,+13304237474,44511,3402 Canfield Rd,Youngstown,Ohio,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:30', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Youngstown', 'addressRegion': 'Ohio', 'postalCode': '44511', 'addressCountry': 'US', 'streetAddress': '3402 Canfield Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.0634986, 'longitude': -80.7086963}",{}
Another Round Bar and Grille,https://www.ubereats.com/youngstown/food-delivery/another-round-bar-and-grille/sCnhAFTQRXe_W2ffuvulkA,youngstown,"['Bar Food', 'Salads', 'Sandwich', 'Burgers']",,,$,40.9845356,-80.64203479999999,+13307583317,44514,625 E Western Reserve Rd,Poland,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '0:1'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '0:0', 'closes': '0:1'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '0:0', 'closes': '0:1'}]","{'@type': 'PostalAddress', 'addressLocality': 'Poland', 'addressRegion': 'OH', 'postalCode': '44514', 'addressCountry': 'US', 'streetAddress': '625 E Western Reserve Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.9845356, 'longitude': -80.64203479999999}",{}
Five Guys OH-1526 107 S Canfield Niles Rd,https://www.ubereats.com/youngstown/food-delivery/five-guys-oh-1526-107-s-canfield-niles-rd/ixgIHIstSxWZy28Ivd49pQ,youngstown,"['American', 'Burgers']",4.6,13,$,41.0983076,-80.762642,+13309532880,44515,107 S Canfield Niles Road,Austintown,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Austintown', 'addressRegion': 'OH', 'postalCode': '44515', 'addressCountry': 'US', 'streetAddress': '107 S Canfield Niles Road'}","{'@type': 'GeoCoordinates', 'latitude': 41.0983076, 'longitude': -80.762642}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '13'}"
Wendy's  (27 S RACCOON RD),https://www.ubereats.com/youngstown/food-delivery/wendys-27-s-raccoon-rd/RZtiC8XRSa2EXVnN-iNa8g,youngstown,"['American', 'Burgers', 'Fast Food']",3.9,13,$,41.1015479,-80.73172749999999,+13307790914,44515,27 S RACCOON RD,AUSTINTOWN,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:30', 'closes': '10:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'AUSTINTOWN', 'addressRegion': 'OH', 'postalCode': '44515', 'addressCountry': 'US', 'streetAddress': '27 S RACCOON RD'}","{'@type': 'GeoCoordinates', 'latitude': 41.1015479, 'longitude': -80.73172749999999}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '13'}"
Ice House Inn,https://www.ubereats.com/youngstown/food-delivery/ice-house-inn/Qm6arNGNTbCCcYulQdxPqw,youngstown,"['Burgers', 'American', 'Sandwiches']",3.6,11,$,41.13038580000001,-80.76937319999999,+13305504280,44515,5516 W Webb Rd,Youngstown,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Youngstown', 'addressRegion': 'OH', 'postalCode': '44515', 'addressCountry': 'US', 'streetAddress': '5516 W Webb Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.13038580000001, 'longitude': -80.76937319999999}","{'@type': 'AggregateRating', 'ratingValue': 3.6, 'reviewCount': '11'}"
Maggies Magic Muffins,https://www.ubereats.com/youngstown/food-delivery/maggies-magic-muffins/Br2b4Wx7QCGOTkp-UteuRg,youngstown,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",,,$,41.0081305,-80.6539129,+13309657400,44512,7932 Southern Boulevard,Boardman,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Boardman', 'addressRegion': 'OH', 'postalCode': '44512', 'addressCountry': 'US', 'streetAddress': '7932 Southern Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 41.0081305, 'longitude': -80.6539129}",{}
Steel City Bar & Grill,https://www.ubereats.com/youngstown/food-delivery/steel-city-bar-%26-grill/2yhoHvhfSuekr50Rz7Y1mw,youngstown,"['American', 'Burgers', 'Wings']",3.9,16,$,41.0609883,-80.6304803,+13307810600,44502,1418 E Midlothian Blvd,Youngstown,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '2:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '15:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Youngstown', 'addressRegion': 'OH', 'postalCode': '44502', 'addressCountry': 'US', 'streetAddress': '1418 E Midlothian Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 41.0609883, 'longitude': -80.6304803}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '16'}"
